n	x	y	z
163 -2.964 -0.167331 -0.403894
164 -2.96894 -0.172093 -0.410184
165 -2.97368 -0.177012 -0.416389
166 -2.97821 -0.182081 -0.422506
167 -2.98254 -0.187296 -0.428533
168 -2.98666 -0.19265 -0.434464
169 -2.99057 -0.198138 -0.440298
170 -2.99425 -0.203753 -0.446031
171 -2.99772 -0.209491 -0.45166
172 -3.00096 -0.215344 -0.457182
173 -3.00397 -0.221307 -0.462594
174 -3.00675 -0.227374 -0.467893
175 -3.0093 -0.23354 -0.473077
176 -3.01162 -0.239797 -0.478142
177 -3.01369 -0.24614 -0.483086
178 -3.01553 -0.252563 -0.487907
179 -3.01713 -0.25906 -0.492602
180 -3.01849 -0.265624 -0.497168
181 -3.0196 -0.272249 -0.501604
182 -3.02047 -0.27893 -0.505906
183 -3.02109 -0.28566 -0.510074
184 -3.02147 -0.292433 -0.514105
185 -3.0216 -0.299242 -0.517996
186 -3.02148 -0.306082 -0.521747
187 -3.02111 -0.312946 -0.525355
188 -3.0205 -0.319828 -0.528818
189 -3.01963 -0.326721 -0.532136
190 -3.01851 -0.33362 -0.535306
191 -3.01715 -0.340517 -0.538327
192 -3.01554 -0.347407 -0.541198
193 -3.01367 -0.354283 -0.543917
194 -3.01156 -0.361139 -0.546485
195 -3.0092 -0.367969 -0.548898
196 -3.0066 -0.374765 -0.551157
197 -3.00375 -0.381522 -0.553261
198 -3.00065 -0.388233 -0.55521
199 -2.99731 -0.394891 -0.557002
200 -2.99373 -0.401491 -0.558637
201 -2.98991 -0.408025 -0.560114
202 -2.98584 -0.414487 -0.561435
203 -2.98154 -0.420871 -0.562597
204 -2.977 -0.427169 -0.563603
205 -2.97223 -0.433376 -0.564451
206 -2.96723 -0.439485 -0.565142
207 -2.96199 -0.445488 -0.565676
208 -2.95653 -0.45138 -0.566055
209 -2.95085 -0.457154 -0.566278
210 -2.94494 -0.462803 -0.566347
211 -2.93882 -0.468321 -0.566262
212 -2.93248 -0.4737 -0.566026
213 -2.92593 -0.478935 -0.565638
214 -2.91917 -0.484018 -0.565101
215 -2.91221 -0.488943 -0.564417
216 -2.90505 -0.493703 -0.563586
217 -2.89769 -0.498291 -0.562612
218 -2.89014 -0.502702 -0.561497
219 -2.88241 -0.506928 -0.560243
220 -2.8745 -0.510964 -0.558852
221 -2.86641 -0.514801 -0.557328
222 -2.85816 -0.518435 -0.555674
223 -2.84974 -0.521859 -0.553893
224 -2.84117 -0.525066 -0.551988
225 -2.83245 -0.52805 -0.549964
226 -2.82358 -0.530806 -0.547824
227 -2.81459 -0.533327 -0.545573
228 -2.80547 -0.535607 -0.543216
229 -2.79623 -0.537641 -0.540756
230 -2.78688 -0.539424 -0.5382
231 -2.77744 -0.54095 -0.535552
232 -2.7679 -0.542214 -0.532819
233 -2.75829 -0.543211 -0.530006
234 -2.74861 -0.543936 -0.527119
235 -2.73888 -0.544386 -0.524166
236 -2.7291 -0.544556 -0.521152
237 -2.71929 -0.544443 -0.518086
238 -2.70946 -0.544044 -0.514975
239 -2.69963 -0.543354 -0.511827
240 -2.6898 -0.542373 -0.508649
241 -2.68 -0.541098 -0.50545
242 -2.67024 -0.539528 -0.50224
243 -2.66054 -0.537661 -0.499027
244 -2.6509 -0.535498 -0.49582
245 -2.64136 -0.533038 -0.49263
246 -2.63192 -0.530284 -0.489465
247 -2.6226 -0.527235 -0.486338
248 -2.61342 -0.523895 -0.483257
249 -2.60441 -0.520267 -0.480234
250 -2.59557 -0.516354 -0.477279
251 -2.58693 -0.512162 -0.474404
252 -2.57851 -0.507696 -0.47162
253 -2.57033 -0.502963 -0.468939
254 -2.5624 -0.497969 -0.466371
255 -2.55476 -0.492725 -0.463928
256 -2.54741 -0.487238 -0.461622
257 -2.54038 -0.481519 -0.459465
258 -2.53368 -0.47558 -0.457467
259 -2.52734 -0.469433 -0.455639
260 -2.52137 -0.463091 -0.453993
261 -2.51579 -0.456569 -0.45254
262 -2.51062 -0.449881 -0.451289
263 -2.50587 -0.443043 -0.45025
264 -2.50155 -0.436073 -0.449434
265 -2.49769 -0.428987 -0.448848
266 -2.49429 -0.421805 -0.448502
267 -2.49136 -0.414545 -0.448402
268 -2.48892 -0.407227 -0.448556
269 -2.48696 -0.399871 -0.44897
270 -2.4855 -0.392497 -0.449649
271 -2.48453 -0.385126 -0.450597
272 -2.48406 -0.377779 -0.451819
273 -2.48409 -0.370478 -0.453317
274 -2.48461 -0.363242 -0.455092
275 -2.48563 -0.356092 -0.457144
276 -2.48713 -0.34905 -0.459474
277 -2.4891 -0.342135 -0.46208
278 -2.49154 -0.335368 -0.46496
279 -2.49444 -0.328766 -0.468109
280 -2.49777 -0.32235 -0.471524
281 -2.50153 -0.316135 -0.4752
282 -2.5057 -0.31014 -0.479128
283 -2.51026 -0.30438 -0.483304
284 -2.5152 -0.29887 -0.487718
285 -2.52048 -0.293624 -0.492361
286 -2.5261 -0.288656 -0.497224
287 -2.53202 -0.283976 -0.502297
288 -2.53823 -0.279596 -0.507569
289 -2.54471 -0.275524 -0.513028
290 -2.55143 -0.271771 -0.518663
291 -2.55838 -0.268342 -0.52446
292 -2.56551 -0.265245 -0.530408
293 -2.57283 -0.262484 -0.536494
294 -2.58029 -0.260063 -0.542703
295 -2.58789 -0.257985 -0.549024
296 -2.59559 -0.256253 -0.555442
297 -2.60338 -0.254867 -0.561943
298 -2.61123 -0.253828 -0.568515
299 -2.61914 -0.253135 -0.575143
300 -2.62707 -0.252786 -0.581814
301 -2.635 -0.252779 -0.588515
302 -2.64293 -0.253111 -0.595232
303 -2.65083 -0.253778 -0.601953
304 -2.65868 -0.254776 -0.608664
305 -2.66648 -0.2561 -0.615354
306 -2.6742 -0.257744 -0.622009
307 -2.68183 -0.259702 -0.628617
308 -2.68936 -0.261968 -0.635168
309 -2.69677 -0.264535 -0.641649
310 -2.70405 -0.267396 -0.64805
311 -2.7112 -0.270542 -0.654359
312 -2.71819 -0.273966 -0.660566
313 -2.72502 -0.277659 -0.666662
314 -2.73168 -0.281614 -0.672636
315 -2.73817 -0.285821 -0.678479
316 -2.74447 -0.290272 -0.684183
317 -2.75057 -0.294957 -0.689738
318 -2.75647 -0.299867 -0.695136
319 -2.76216 -0.304993 -0.70037
320 -2.76764 -0.310325 -0.705432
321 -2.7729 -0.315853 -0.710315
322 -2.77794 -0.321568 -0.715012
323 -2.78274 -0.327461 -0.719516
324 -2.78731 -0.333521 -0.723822
325 -2.79164 -0.339738 -0.727924
326 -2.79574 -0.346103 -0.731816
327 -2.79958 -0.352605 -0.735493
328 -2.80318 -0.359236 -0.73895
329 -2.80654 -0.365984 -0.742184
330 -2.80964 -0.37284 -0.74519
331 -2.81248 -0.379795 -0.747964
332 -2.81507 -0.386837 -0.750502
333 -2.81741 -0.393958 -0.752802
334 -2.81949 -0.401148 -0.754861
335 -2.82131 -0.408396 -0.756675
336 -2.82288 -0.415693 -0.758244
337 -2.82418 -0.423029 -0.759564
338 -2.82523 -0.430395 -0.760634
339 -2.82602 -0.437781 -0.761453
340 -2.82655 -0.445177 -0.762019
341 -2.82682 -0.452573 -0.762332
342 -2.82684 -0.45996 -0.762391
343 -2.82661 -0.467329 -0.762195
344 -2.82612 -0.474671 -0.761746
345 -2.82537 -0.481975 -0.761041
346 -2.82438 -0.489232 -0.760084
347 -2.82314 -0.496434 -0.758873
348 -2.82165 -0.503571 -0.75741
349 -2.81992 -0.510633 -0.755696
350 -2.81794 -0.517613 -0.753733
351 -2.81573 -0.5245 -0.751523
352 -2.81328 -0.531286 -0.749067
353 -2.81059 -0.537962 -0.746368
354 -2.80767 -0.544519 -0.743429
355 -2.80453 -0.550948 -0.740251
356 -2.80116 -0.557242 -0.736839
357 -2.79758 -0.56339 -0.733196
358 -2.79378 -0.569386 -0.729325
359 -2.78976 -0.57522 -0.725229
360 -2.78555 -0.580884 -0.720914
361 -2.78113 -0.586371 -0.716384
362 -2.77651 -0.591672 -0.711643
363 -2.7717 -0.596779 -0.706695
364 -2.76671 -0.601685 -0.701548
365 -2.76154 -0.606383 -0.696204
366 -2.75619 -0.610864 -0.690672
367 -2.75069 -0.615122 -0.684955
368 -2.74502 -0.61915 -0.679062
369 -2.7392 -0.62294 -0.672997
370 -2.73323 -0.626487 -0.666768
371 -2.72713 -0.629784 -0.660383
372 -2.72091 -0.632825 -0.653847
373 -2.71456 -0.635604 -0.647169
374 -2.70811 -0.638116 -0.640357
375 -2.70155 -0.640356 -0.633419
376 -2.69491 -0.642318 -0.626363
377 -2.68819 -0.643999 -0.619197
378 -2.6814 -0.645393 -0.61193
379 -2.67456 -0.646499 -0.604572
380 -2.66767 -0.647311 -0.597131
381 -2.66075 -0.647828 -0.589617
382 -2.65382 -0.648047 -0.58204
383 -2.64688 -0.647966 -0.57441
384 -2.63995 -0.647584 -0.566735
385 -2.63304 -0.646901 -0.559028
386 -2.62617 -0.645916 -0.551297
387 -2.61936 -0.644629 -0.543553
388 -2.61261 -0.643043 -0.535806
389 -2.60595 -0.641159 -0.528068
390 -2.5994 -0.638979 -0.520349
391 -2.59296 -0.636507 -0.512658
392 -2.58667 -0.633747 -0.505007
393 -2.58052 -0.630704 -0.497407
394 -2.57455 -0.627383 -0.489867
395 -2.56877 -0.623791 -0.482398
396 -2.5632 -0.619935 -0.475009
397 -2.55785 -0.615823 -0.467712
398 -2.55275 -0.611465 -0.460515
399 -2.54792 -0.606869 -0.453427
400 -2.54336 -0.602046 -0.446459
401 -2.5391 -0.597009 -0.439617
