n	rho	drho
0 3 5
1 3.00089 3.92885
2 3.00157 2.85644
3 3.00204 1.78329
4 3.00228 0.709916
5 3.00232 -0.363181
6 3.00214 -1.43549
7 3.00175 -2.50649
8 3.00114 -3.57568
9 3.00032 -4.64251
10 2.99928 -5.70647
11 2.99803 -6.767
12 2.99657 -7.82355
13 2.9949 -8.87554
14 2.99302 -9.92238
15 2.99093 -10.9635
16 2.98864 -11.9981
17 2.98613 -13.0258
18 2.98343 -14.0456
19 2.98052 -15.057
20 2.9774 -16.0592
21 2.97409 -17.0515
22 2.97058 -18.0329
23 2.96688 -19.0026
24 2.96298 -19.9598
25 2.9589 -20.9036
26 2.95462 -21.8328
27 2.95016 -22.7465
28 2.94552 -23.6437
29 2.94071 -24.5231
30 2.93571 -25.3837
31 2.93055 -26.2241
32 2.92522 -27.0431
33 2.91973 -27.8394
34 2.91409 -28.6114
35 2.90829 -29.3578
36 2.90234 -30.0771
37 2.89626 -30.7675
38 2.89004 -31.4276
39 2.88369 -32.0555
40 2.87722 -32.6495
41 2.87063 -33.2077
42 2.86393 -33.7284
43 2.85714 -34.2094
44 2.85025 -34.649
45 2.84328 -35.0449
46 2.83623 -35.3951
47 2.82912 -35.6976
48 2.82195 -35.9501
49 2.81474 -36.1506
50 2.80749 -36.2967
51 2.80022 -36.3865
52 2.79294 -36.4176
53 2.78565 -36.3881
54 2.77838 -36.2957
55 2.77114 -36.1384
56 2.76393 -35.9143
57 2.75677 -35.6215
58 2.74968 -35.2582
59 2.74267 -34.8228
60 2.73575 -34.3137
61 2.72894 -33.7298
62 2.72226 -33.0698
63 2.71571 -32.3329
64 2.70932 -31.5185
65 2.70311 -30.6261
66 2.69707 -29.6557
67 2.69124 -28.6075
68 2.68563 -27.4822
69 2.68025 -26.2805
70 2.67512 -25.0038
71 2.67025 -23.6539
72 2.66566 -22.2326
73 2.66136 -20.7427
74 2.65736 -19.1868
75 2.65368 -17.5683
76 2.65033 -15.8909
77 2.64732 -14.1587
78 2.64467 -12.376
79 2.64237 -10.5477
80 2.64045 -8.67875
81 2.6389 -6.77466
82 2.63774 -4.84103
83 2.63697 -2.88371
84 2.63659 -0.908724
85 2.6366 1.07779
86 2.63702 3.06961
87 2.63783 5.06048
88 2.63904 7.04418
89 2.64065 9.01454
90 2.64265 10.9655
91 2.64503 12.8913
92 2.6478 14.786
93 2.65095 16.6445
94 2.65446 18.4614
95 2.65833 20.2319
96 2.66255 21.9517
97 2.66711 23.6164
98 2.672 25.2223
99 2.6772 26.7662
100 2.68271 28.2448
101 2.6885 29.6558
102 2.69457 30.9969
103 2.7009 32.2662
104 2.70748 33.4624
105 2.71428 34.5844
106 2.72131 35.6314
107 2.72854 36.6031
108 2.73595 37.4993
109 2.74354 38.3204
110 2.75128 39.0667
111 2.75916 39.739
112 2.76718 40.3382
113 2.7753 40.8655
114 2.78352 41.3221
115 2.79183 41.7096
116 2.80021 42.0295
117 2.80864 42.2834
118 2.81712 42.4734
119 2.82563 42.6011
120 2.83416 42.6686
121 2.8427 42.6778
122 2.85123 42.6307
123 2.85975 42.5293
124 2.86824 42.3758
125 2.8767 42.1721
126 2.88511 41.9202
127 2.89347 41.6221
128 2.90176 41.2797
129 2.90998 40.8951
130 2.91812 40.4701
131 2.92617 40.0066
132 2.93412 39.5062
133 2.94197 38.9709
134 2.94971 38.4022
135 2.95733 37.8019
136 2.96483 37.1714
137 2.9722 36.5124
138 2.97943 35.8264
139 2.98653 35.1146
140 2.99348 34.3786
141 3.00028 33.6195
142 3.00693 32.8387
143 3.01342 32.0374
144 3.01974 31.2167
145 3.0259 30.3778
146 3.03189 29.5216
147 3.03771 28.6492
148 3.04335 27.7615
149 3.04882 26.8595
150 3.0541 25.944
151 3.05919 25.0159
152 3.0641 24.076
153 3.06882 23.125
154 3.07335 22.1637
155 3.07769 21.1928
156 3.08183 20.2129
157 3.08577 19.2247
158 3.08952 18.2287
159 3.09307 17.2256
160 3.09641 16.2159
161 3.09955 15.2002
162 3.10249 14.1789
163 3.10522 13.1526
164 3.10775 12.1217
165 3.11007 11.0867
166 3.11219 10.0481
167 3.11409 9.00627
168 3.11579 7.96164
169 3.11728 6.91464
170 3.11856 5.86566
171 3.11962 4.8151
172 3.12048 3.76336
173 3.12113 2.7108
174 3.12157 1.65783
175 3.12179 0.604806
176 3.12181 -0.447879
177 3.12161 -1.49985
178 3.12121 -2.55073
179 3.12059 -3.60013
180 3.11977 -4.64766
181 3.11873 -5.69293
182 3.11749 -6.73554
183 3.11604 -7.77507
184 3.11438 -8.81112
185 3.11251 -9.84324
186 3.11044 -10.871
187 3.10817 -11.8939
188 3.10569 -12.9116
189 3.103 -13.9234
190 3.10012 -14.929
191 3.09703 -15.9278
192 3.09374 -16.9191
193 3.09026 -17.9026
194 3.08658 -18.8775
195 3.08271 -19.8433
196 3.07865 -20.7993
197 3.07439 -21.7448
198 3.06995 -22.6792
199 3.06532 -23.6016
200 3.06051 -24.5114
201 3.05552 -25.4077
202 3.05034 -26.2896
203 3.045 -27.1563
204 3.03948 -28.007
205 3.0338 -28.8405
206 3.02795 -29.6559
207 3.02193 -30.4522
208 3.01577 -31.2283
209 3.00944 -31.9831
210 3.00297 -32.7153
211 2.99636 -33.4237
212 2.9896 -34.1071
213 2.98271 -34.7642
214 2.9757 -35.3934
215 2.96856 -35.9936
216 2.9613 -36.563
217 2.95393 -37.1004
218 2.94646 -37.604
219 2.93889 -38.0723
220 2.93123 -38.5036
221 2.92349 -38.8962
222 2.91567 -39.2485
223 2.90779 -39.5585
224 2.89985 -39.8247
225 2.89186 -40.045
226 2.88383 -40.2178
227 2.87577 -40.3412
228 2.86769 -40.4133
229 2.85961 -40.4323
230 2.85152 -40.3964
231 2.84345 -40.3038
232 2.8354 -40.1528
233 2.82739 -39.9416
234 2.81942 -39.6687
235 2.81152 -39.3325
236 2.80369 -38.9315
