n	rho	drho
0 3 100
1 3.01985 98.4965
2 3.0394 96.962
3 3.05864 95.4014
4 3.07756 93.8192
5 3.09616 92.2196
6 3.11445 90.606
7 3.13241 88.9818
8 3.15004 87.3497
9 3.16735 85.7122
10 3.18432 84.0717
11 3.20097 82.4299
12 3.2173 80.7888
13 3.23329 79.1498
14 3.24896 77.5142
15 3.2643 75.8831
16 3.27931 74.2577
17 3.294 72.6387
18 3.30837 71.0269
19 3.32241 69.4229
20 3.33613 67.8272
21 3.34954 66.2402
22 3.36263 64.6624
23 3.37541 63.094
24 3.38787 61.5353
25 3.40002 59.9862
26 3.41186 58.4471
27 3.4234 56.9179
28 3.43463 55.3987
29 3.44556 53.8894
30 3.45619 52.3901
31 3.46651 50.9005
32 3.47655 49.4206
33 3.48628 47.9504
34 3.49573 46.4895
35 3.50488 45.0379
36 3.51374 43.5954
37 3.52232 42.1617
38 3.53061 40.7368
39 3.53861 39.3202
40 3.54633 37.9119
41 3.55378 36.5116
42 3.56094 35.1189
43 3.56782 33.7338
44 3.57443 32.3558
45 3.58077 30.9848
46 3.58683 29.6204
47 3.59261 28.2624
48 3.59813 26.9106
49 3.60338 25.5646
50 3.60836 24.2242
51 3.61307 22.889
52 3.61751 21.5588
53 3.62169 20.2334
54 3.62561 18.9123
55 3.62926 17.5954
56 3.63264 16.2824
57 3.63577 14.9728
58 3.63863 13.6666
59 3.64124 12.3633
60 3.64358 11.0628
61 3.64566 9.76459
62 3.64748 8.46852
63 3.64905 7.17427
64 3.65035 5.88156
65 3.6514 4.59009
66 3.65219 3.29957
67 3.65272 2.00972
68 3.65299 0.720238
69 3.65301 -0.569154
70 3.65277 -1.85875
71 3.65227 -3.14883
72 3.65151 -4.43969
73 3.65049 -5.73162
74 3.64921 -7.0249
75 3.64768 -8.31983
76 3.64589 -9.61669
77 3.64383 -10.9158
78 3.64152 -12.2174
79 3.63895 -13.5217
80 3.63611 -14.8292
81 3.63301 -16.14
82 3.62965 -17.4545
83 3.62603 -18.7729
84 3.62215 -20.0955
85 3.61799 -21.4227
86 3.61358 -22.7546
87 3.60889 -24.0916
88 3.60394 -25.434
89 3.59872 -26.782
90 3.59323 -28.1359
91 3.58746 -29.496
92 3.58143 -30.8625
93 3.57512 -32.2358
94 3.56853 -33.6161
95 3.56167 -35.0035
96 3.55453 -36.3985
97 3.54711 -37.8013
98 3.53941 -39.212
99 3.53143 -40.6309
100 3.52316 -42.0583
101 3.51461 -43.4944
102 3.50576 -44.9393
103 3.49663 -46.3933
104 3.48721 -47.8565
105 3.47749 -49.3291
106 3.46747 -50.8112
107 3.45716 -52.303
108 3.44655 -53.8045
109 3.43564 -55.3159
110 3.42443 -56.8371
111 3.41291 -58.3681
112 3.40108 -59.909
113 3.38894 -61.4597
114 3.37649 -63.02
