n	x	y	z
0 1.48442 -2.60701 0.5
1 1.50149 -2.62478 0.499937
2 1.51886 -2.64211 0.499743
3 1.53649 -2.659 0.499415
4 1.55439 -2.67545 0.498948
5 1.57252 -2.69147 0.498341
6 1.59087 -2.70706 0.49759
7 1.60942 -2.72222 0.496695
8 1.62817 -2.73695 0.495653
9 1.6471 -2.75125 0.494464
10 1.66618 -2.76514 0.493128
11 1.68543 -2.7786 0.491644
12 1.70481 -2.79165 0.490012
13 1.72432 -2.8043 0.488233
14 1.74395 -2.81653 0.486306
15 1.76368 -2.82837 0.484233
16 1.78352 -2.83981 0.482015
17 1.80344 -2.85086 0.479653
18 1.82345 -2.86152 0.477148
19 1.84352 -2.8718 0.4745
20 1.86366 -2.88169 0.471713
21 1.88386 -2.89122 0.468787
22 1.9041 -2.90038 0.465724
23 1.92439 -2.90917 0.462526
24 1.94471 -2.9176 0.459195
25 1.96507 -2.92568 0.455732
26 1.98544 -2.93341 0.452139
27 2.00584 -2.94079 0.448419
28 2.02624 -2.94783 0.444573
29 2.04666 -2.95454 0.440604
30 2.06707 -2.96091 0.436514
31 2.08748 -2.96695 0.432304
32 2.10789 -2.97267 0.427978
33 2.12828 -2.97807 0.423536
34 2.14866 -2.98315 0.418981
35 2.16902 -2.98792 0.414316
36 2.18936 -2.99239 0.409542
37 2.20967 -2.99655 0.404662
38 2.22995 -3.00041 0.399678
39 2.25019 -3.00397 0.394592
40 2.2704 -3.00725 0.389406
41 2.29057 -3.01023 0.384122
42 2.31069 -3.01293 0.378743
43 2.33077 -3.01535 0.373271
44 2.3508 -3.01749 0.367707
45 2.37078 -3.01936 0.362055
46 2.39071 -3.02096 0.356315
47 2.41058 -3.02229 0.350491
48 2.43039 -3.02335 0.344583
49 2.45014 -3.02415 0.338595
50 2.46983 -3.0247 0.332529
51 2.48945 -3.02499 0.326386
52 2.50901 -3.02503 0.320168
53 2.5285 -3.02483 0.313877
54 2.54791 -3.02437 0.307516
55 2.56726 -3.02367 0.301087
56 2.58653 -3.02274 0.294591
57 2.60573 -3.02157 0.28803
58 2.62485 -3.02016 0.281406
59 2.64389 -3.01852 0.274722
60 2.66285 -3.01665 0.267978
61 2.68173 -3.01456 0.261177
62 2.70053 -3.01224 0.254321
63 2.71924 -3.0097 0.247412
64 2.73787 -3.00694 0.240451
65 2.75641 -3.00397 0.233441
66 2.77486 -3.00078 0.226382
67 2.79323 -2.99738 0.219277
68 2.8115 -2.99377 0.212128
69 2.82968 -2.98995 0.204936
70 2.84777 -2.98593 0.197703
71 2.86577 -2.98171 0.190431
72 2.88367 -2.97729 0.183121
73 2.90148 -2.97267 0.175775
74 2.91919 -2.96785 0.168395
75 2.93681 -2.96284 0.160982
76 2.95432 -2.95763 0.153538
77 2.97174 -2.95224 0.146065
78 2.98906 -2.94666 0.138564
79 3.00628 -2.94089 0.131036
80 3.02339 -2.93494 0.123484
81 3.04041 -2.92881 0.115909
82 3.05732 -2.9225 0.108313
83 3.07413 -2.91601 0.100696
84 3.09083 -2.90934 0.093061
85 3.10743 -2.9025 0.0854088
86 3.12393 -2.89548 0.077741
87 3.14031 -2.8883 0.0700592
88 3.1566 -2.88094 0.0623647
89 3.17277 -2.87342 0.054659
90 3.18884 -2.86573 0.0469435
91 3.20479 -2.85787 0.0392197
