n	x	y	z
0 1.48442 -2.60701 0.5
1 1.49206 -2.60828 0.499937
2 1.49967 -2.60931 0.499747
3 1.50724 -2.6101 0.499429
4 1.51477 -2.61064 0.498982
5 1.52225 -2.61094 0.498406
6 1.52968 -2.611 0.497701
7 1.53704 -2.61082 0.496865
8 1.54434 -2.61041 0.495898
9 1.55156 -2.60977 0.494801
10 1.5587 -2.6089 0.493574
11 1.56575 -2.6078 0.492215
12 1.57272 -2.60647 0.490726
13 1.57958 -2.60492 0.489107
14 1.58635 -2.60315 0.487357
15 1.593 -2.60117 0.485478
16 1.59955 -2.59896 0.48347
17 1.60597 -2.59655 0.481333
18 1.61227 -2.59393 0.479068
19 1.61844 -2.59111 0.476677
20 1.62448 -2.58808 0.474159
21 1.63038 -2.58486 0.471515
22 1.63614 -2.58144 0.468747
23 1.64175 -2.57783 0.465857
24 1.6472 -2.57403 0.462844
25 1.6525 -2.57004 0.45971
26 1.65764 -2.56588 0.456457
27 1.66261 -2.56154 0.453085
28 1.66741 -2.55703 0.449597
29 1.67204 -2.55236 0.445994
30 1.67649 -2.54751 0.442278
31 1.68076 -2.54251 0.438449
32 1.68484 -2.53736 0.434511
33 1.68873 -2.53205 0.430465
34 1.69243 -2.5266 0.426312
35 1.69593 -2.52101 0.422055
36 1.69923 -2.51528 0.417696
37 1.70233 -2.50942 0.413237
38 1.70522 -2.50344 0.408679
39 1.70791 -2.49733 0.404026
40 1.71037 -2.49112 0.39928
41 1.71263 -2.48479 0.394443
42 1.71466 -2.47836 0.389517
43 1.71648 -2.47183 0.384505
44 1.71807 -2.46521 0.379409
45 1.71943 -2.4585 0.374232
46 1.72057 -2.45172 0.368978
47 1.72148 -2.44486 0.363647
48 1.72216 -2.43794 0.358244
49 1.72261 -2.43095 0.352772
50 1.72282 -2.42392 0.347232
51 1.7228 -2.41684 0.341628
52 1.72255 -2.40972 0.335963
53 1.72206 -2.40257 0.33024
54 1.72133 -2.39541 0.324463
55 1.72037 -2.38822 0.318633
56 1.71917 -2.38103 0.312755
57 1.71773 -2.37385 0.306831
58 1.71606 -2.36667 0.300866
59 1.71416 -2.35951 0.294861
60 1.71202 -2.35238 0.28882
61 1.70966 -2.34529 0.282747
62 1.70706 -2.33825 0.276645
63 1.70425 -2.33126 0.270517
64 1.7012 -2.32433 0.264366
65 1.69794 -2.31749 0.258195
66 1.69446 -2.31073 0.252009
67 1.69077 -2.30406 0.24581
68 1.68687 -2.2975 0.239601
69 1.68277 -2.29106 0.233385
70 1.67848 -2.28474 0.227166
71 1.67399 -2.27857 0.220946
72 1.66931 -2.27254 0.214728
73 1.66446 -2.26667 0.208516
74 1.65944 -2.26097 0.202313
75 1.65425 -2.25545 0.19612
76 1.64891 -2.25013 0.18994
77 1.64342 -2.24501 0.183776
78 1.6378 -2.2401 0.177631
79 1.63204 -2.23542 0.171506
80 1.62618 -2.23098 0.165403
81 1.6202 -2.22678 0.159324
82 1.61413 -2.22284 0.153272
83 1.60798 -2.21916 0.147247
84 1.60175 -2.21576 0.141251
85 1.59546 -2.21265 0.135285
86 1.58913 -2.20983 0.129349
87 1.58277 -2.20731 0.123446
88 1.57638 -2.20511 0.117574
89 1.56999 -2.20322 0.111735
90 1.56361 -2.20165 0.105929
91 1.55725 -2.20042 0.100155
92 1.55092 -2.19952 0.0944128
93 1.54465 -2.19896 0.0887023
94 1.53844 -2.19875 0.0830224
95 1.53231 -2.19889 0.0773723
96 1.52627 -2.19937 0.0717508
97 1.52034 -2.2002 0.0661565
98 1.51453 -2.20139 0.0605878
99 1.50885 -2.20292 0.0550431
100 1.50333 -2.2048 0.0495207
101 1.49796 -2.20703 0.0440184
102 1.49277 -2.20959 0.0385344
103 1.48776 -2.21249 0.0330663
104 1.48295 -2.21573 0.0276121
105 1.47835 -2.21928 0.0221694
106 1.47397 -2.22315 0.016736
107 1.46981 -2.22733 0.0113095
108 1.4659 -2.2318 0.00588769
109 1.46223 -2.23656 0.00046827
110 1.45881 -2.24159 -0.00495097
111 1.45565 -2.24689 -0.0103722
112 1.45276 -2.25244 -0.0157973
113 1.45014 -2.25823 -0.0212285
114 1.44779 -2.26424 -0.0266674
115 1.44573 -2.27046 -0.0321158
116 1.44394 -2.27687 -0.0375751
117 1.44245 -2.28346 -0.0430469
118 1.44124 -2.29022 -0.0485323
119 1.44032 -2.29713 -0.0540324
120 1.43968 -2.30417 -0.059548
121 1.43933 -2.31133 -0.0650799
122 1.43927 -2.31859 -0.0706284
123 1.4395 -2.32594 -0.076194
124 1.44 -2.33336 -0.0817768
125 1.44079 -2.34084 -0.0873767
126 1.44185 -2.34836 -0.0929934
127 1.44318 -2.3559 -0.0986266
128 1.44478 -2.36346 -0.104276
129 1.44664 -2.37101 -0.10994
130 1.44876 -2.37855 -0.115618
131 1.45114 -2.38605 -0.121309
132 1.45375 -2.39352 -0.127012
133 1.45661 -2.40092 -0.132726
134 1.45971 -2.40826 -0.138448
135 1.46303 -2.41552 -0.144178
136 1.46657 -2.42269 -0.149914
137 1.47032 -2.42976 -0.155653
138 1.47429 -2.43672 -0.161394
139 1.47845 -2.44355 -0.167135
140 1.4828 -2.45025 -0.172874
141 1.48734 -2.45681 -0.178608
142 1.49205 -2.46323 -0.184335
143 1.49694 -2.46948 -0.190054
144 1.50199 -2.47557 -0.19576
145 1.50719 -2.48149 -0.201454
146 1.51254 -2.48723 -0.207131
147 1.51802 -2.49279 -0.212789
148 1.52365 -2.49815 -0.218426
149 1.52939 -2.50332 -0.22404
150 1.53525 -2.50829 -0.229627
151 1.54122 -2.51305 -0.235186
152 1.5473 -2.5176 -0.240713
153 1.55347 -2.52194 -0.246207
154 1.55972 -2.52606 -0.251665
155 1.56606 -2.52996 -0.257083
156 1.57247 -2.53363 -0.262461
157 1.57895 -2.53708 -0.267795
158 1.58548 -2.5403 -0.273083
159 1.59207 -2.54329 -0.278323
160 1.59871 -2.54604 -0.283512
161 1.60538 -2.54855 -0.288647
162 1.61208 -2.55084 -0.293727
163 1.61882 -2.55288 -0.298749
164 1.62557 -2.55468 -0.303711
165 1.63233 -2.55625 -0.30861
166 1.6391 -2.55757 -0.313445
167 1.64587 -2.55865 -0.318213
168 1.65263 -2.5595 -0.322912
169 1.65938 -2.5601 -0.327541
170 1.66612 -2.56046 -0.332096
171 1.67283 -2.56059 -0.336577
172 1.67951 -2.56047 -0.34098
173 1.68615 -2.56012 -0.345305
174 1.69276 -2.55953 -0.34955
175 1.69931 -2.5587 -0.353712
176 1.70582 -2.55763 -0.35779
177 1.71226 -2.55634 -0.361782
178 1.71865 -2.5548 -0.365687
179 1.72496 -2.55304 -0.369502
180 1.7312 -2.55105 -0.373228
181 1.73737 -2.54883 -0.376861
182 1.74344 -2.54639 -0.3804
183 1.74943 -2.54372 -0.383845
184 1.75533 -2.54082 -0.387193
185 1.76112 -2.53771 -0.390444
186 1.76681 -2.53439 -0.393596
187 1.77239 -2.53084 -0.396649
188 1.77786 -2.52709 -0.3996
189 1.78321 -2.52312 -0.402449
190 1.78843 -2.51895 -0.405196
191 1.79353 -2.51458 -0.407838
192 1.79849 -2.51 -0.410376
193 1.80332 -2.50523 -0.412808
194 1.808 -2.50026 -0.415134
195 1.81254 -2.4951 -0.417352
196 1.81692 -2.48975 -0.419464
197 1.82115 -2.48422 -0.421467
198 1.82522 -2.47851 -0.423361
199 1.82913 -2.47262 -0.425146
200 1.83287 -2.46655 -0.426823
201 1.83644 -2.46032 -0.428389
202 1.83983 -2.45392 -0.429846
203 1.84304 -2.44736 -0.431193
204 1.84607 -2.44065 -0.432431
205 1.8489 -2.43378 -0.433558
206 1.85155 -2.42676 -0.434576
207 1.854 -2.4196 -0.435485
208 1.85625 -2.4123 -0.436285
209 1.85829 -2.40487 -0.436976
210 1.86013 -2.39731 -0.43756
211 1.86176 -2.38963 -0.438036
212 1.86318 -2.38183 -0.438405
213 1.86438 -2.37392 -0.438669
214 1.86535 -2.36591 -0.438828
215 1.86611 -2.35779 -0.438884
216 1.86664 -2.34958 -0.438837
217 1.86693 -2.34128 -0.438689
218 1.867 -2.3329 -0.438441
219 1.86683 -2.32445 -0.438095
220 1.86643 -2.31593 -0.437652
221 1.86579 -2.30735 -0.437115
222 1.8649 -2.29871 -0.436485
223 1.86378 -2.29003 -0.435765
224 1.8624 -2.28131 -0.434957
225 1.86078 -2.27256 -0.434064
226 1.85892 -2.26379 -0.433087
227 1.8568 -2.25501 -0.43203
228 1.85444 -2.24622 -0.430895
229 1.85183 -2.23744 -0.429687
