n	x	y	z
0 -2.98828 -0.264877 0.25
1 -3.00755 -0.272648 0.249997
2 -3.02652 -0.280823 0.249925
3 -3.04518 -0.289389 0.249782
4 -3.06353 -0.298328 0.249566
5 -3.08156 -0.307628 0.249276
6 -3.09926 -0.317274 0.24891
7 -3.11664 -0.327253 0.248468
8 -3.13368 -0.33755 0.247947
9 -3.15038 -0.348154 0.247348
10 -3.16674 -0.359051 0.24667
11 -3.18275 -0.370229 0.245913
12 -3.19842 -0.381678 0.245076
13 -3.21374 -0.393384 0.244159
14 -3.22871 -0.405338 0.243162
15 -3.24333 -0.417528 0.242086
16 -3.2576 -0.429944 0.24093
17 -3.27151 -0.442577 0.239695
18 -3.28508 -0.455415 0.238381
19 -3.29829 -0.46845 0.236989
20 -3.31114 -0.481673 0.235519
21 -3.32365 -0.495074 0.233972
22 -3.3358 -0.508645 0.232348
23 -3.34761 -0.522378 0.230649
24 -3.35906 -0.536264 0.228874
25 -3.37017 -0.550295 0.227025
26 -3.38092 -0.564464 0.225103
27 -3.39133 -0.578764 0.223108
28 -3.4014 -0.593187 0.221041
29 -3.41112 -0.607726 0.218904
30 -3.4205 -0.622374 0.216697
31 -3.42954 -0.637124 0.214421
32 -3.43823 -0.651971 0.212078
33 -3.44659 -0.666907 0.209667
34 -3.45462 -0.681927 0.207191
35 -3.46231 -0.697024 0.20465
36 -3.46966 -0.712193 0.202046
37 -3.47668 -0.727428 0.199379
38 -3.48338 -0.742724 0.19665
39 -3.48974 -0.758075 0.193862
40 -3.49578 -0.773475 0.191014
41 -3.5015 -0.78892 0.188108
42 -3.50689 -0.804404 0.185145
43 -3.51196 -0.819923 0.182126
44 -3.51671 -0.835471 0.179052
45 -3.52114 -0.851044 0.175925
46 -3.52526 -0.866637 0.172746
47 -3.52906 -0.882246 0.169515
48 -3.53255 -0.897866 0.166234
49 -3.53573 -0.913493 0.162904
50 -3.5386 -0.929122 0.159526
51 -3.54116 -0.94475 0.156102
52 -3.54341 -0.960371 0.152633
53 -3.54536 -0.975982 0.149118
54 -3.54701 -0.991579 0.145561
55 -3.54836 -1.00716 0.141962
56 -3.54941 -1.02271 0.138322
57 -3.55016 -1.03825 0.134643
58 -3.55061 -1.05375 0.130924
59 -3.55077 -1.06921 0.127169
60 -3.55063 -1.08464 0.123377
61 -3.55021 -1.10003 0.119551
62 -3.54949 -1.11538 0.11569
63 -3.54848 -1.13067 0.111797
64 -3.54719 -1.14592 0.107873
65 -3.54561 -1.1611 0.103918
66 -3.54375 -1.17623 0.0999337
67 -3.54161 -1.1913 0.0959216
68 -3.53918 -1.2063 0.0918827
69 -3.53647 -1.22123 0.0878182
70 -3.53349 -1.23609 0.0837292
71 -3.53023 -1.25088 0.0796169
72 -3.52669 -1.26558 0.0754824
73 -3.52287 -1.2802 0.071327
74 -3.51879 -1.29473 0.0671517
75 -3.51443 -1.30918 0.0629578
76 -3.5098 -1.32353 0.0587465
