n	x	y	z
0 -2.98828 -0.264877 0.5
1 -3.00772 -0.271147 0.499973
2 -3.02694 -0.277792 0.499846
3 -3.04594 -0.284798 0.499615
4 -3.0647 -0.292154 0.499277
5 -3.08323 -0.299847 0.498827
6 -3.10151 -0.307866 0.498262
7 -3.11955 -0.316199 0.497581
8 -3.13733 -0.324835 0.496781
9 -3.15485 -0.333763 0.49586
10 -3.17211 -0.342972 0.494816
11 -3.1891 -0.352453 0.493648
12 -3.20582 -0.362194 0.492355
13 -3.22227 -0.372186 0.490936
14 -3.23845 -0.382421 0.489392
15 -3.25436 -0.392888 0.48772
16 -3.26998 -0.403578 0.485922
17 -3.28533 -0.414483 0.483997
18 -3.3004 -0.425595 0.481946
19 -3.31519 -0.436905 0.479769
20 -3.3297 -0.448406 0.477465
21 -3.34393 -0.460089 0.475037
22 -3.35788 -0.471947 0.472484
23 -3.37155 -0.483973 0.469808
24 -3.38494 -0.49616 0.467008
25 -3.39805 -0.508501 0.464087
26 -3.41087 -0.52099 0.461045
27 -3.42342 -0.533619 0.457884
28 -3.43569 -0.546384 0.454604
29 -3.44768 -0.559277 0.451207
30 -3.45939 -0.572293 0.447694
31 -3.47082 -0.585426 0.444067
32 -3.48198 -0.59867 0.440326
33 -3.49287 -0.612021 0.436474
34 -3.50348 -0.625473 0.432511
35 -3.51381 -0.63902 0.42844
36 -3.52387 -0.652659 0.424262
37 -3.53367 -0.666383 0.419977
38 -3.54319 -0.680189 0.415589
39 -3.55244 -0.694072 0.411099
40 -3.56143 -0.708027 0.406507
41 -3.57015 -0.722051 0.401816
42 -3.5786 -0.736138 0.397028
43 -3.58679 -0.750285 0.392143
44 -3.59471 -0.764488 0.387164
45 -3.60238 -0.778743 0.382093
46 -3.60978 -0.793046 0.37693
47 -3.61693 -0.807393 0.371679
48 -3.62381 -0.821781 0.366339
49 -3.63044 -0.836207 0.360914
50 -3.63681 -0.850666 0.355405
51 -3.64293 -0.865156 0.349813
52 -3.6488 -0.879673 0.34414
53 -3.65441 -0.894213 0.338388
54 -3.65978 -0.908775 0.332558
55 -3.66489 -0.923355 0.326653
56 -3.66976 -0.937949 0.320674
57 -3.67438 -0.952555 0.314622
58 -3.67875 -0.96717 0.3085
59 -3.68288 -0.981791 0.302308
60 -3.68676 -0.996415 0.29605
61 -3.69041 -1.01104 0.289725
62 -3.69381 -1.02566 0.283337
63 -3.69697 -1.04028 0.276886
64 -3.69989 -1.05489 0.270375
65 -3.70258 -1.06949 0.263804
66 -3.70503 -1.08408 0.257176
67 -3.70724 -1.09865 0.250493
68 -3.70922 -1.11321 0.243755
69 -3.71097 -1.12775 0.236965
70 -3.71248 -1.14226 0.230125
71 -3.71376 -1.15675 0.223235
72 -3.71482 -1.17122 0.216298
73 -3.71564 -1.18566 0.209314
74 -3.71624 -1.20006 0.202287
75 -3.71661 -1.21443 0.195217
76 -3.71675 -1.22877 0.188105
77 -3.71667 -1.24307 0.180955
78 -3.71637 -1.25733 0.173766
79 -3.71584 -1.27155 0.166542
80 -3.71509 -1.28572 0.159282
81 -3.71412 -1.29985 0.15199
82 -3.71293 -1.31394 0.144666
