n	x	y	z
179 2.99933 0.107986 0.479836
180 2.99912 0.10856 0.479613
181 2.99891 0.109134 0.479388
182 2.9987 0.109707 0.479162
183 2.99849 0.11028 0.478936
184 2.99827 0.110851 0.478708
185 2.99805 0.111422 0.478478
186 2.99783 0.111992 0.478248
187 2.99761 0.112562 0.478016
188 2.99739 0.113131 0.477784
189 2.99716 0.113699 0.47755
190 2.99693 0.114266 0.477315
191 2.9967 0.114833 0.477078
192 2.99647 0.115399 0.476841
193 2.99624 0.115964 0.476603
194 2.996 0.116528 0.476363
195 2.99576 0.117092 0.476122
196 2.99552 0.117655 0.47588
197 2.99527 0.118217 0.475637
198 2.99503 0.118778 0.475393
199 2.99478 0.119338 0.475147
200 2.99453 0.119898 0.4749
201 2.99428 0.120457 0.474653
202 2.99402 0.121015 0.474404
203 2.99377 0.121573 0.474154
204 2.99351 0.122129 0.473903
205 2.99325 0.122685 0.47365
206 2.99299 0.12324 0.473397
207 2.99272 0.123794 0.473142
208 2.99245 0.124347 0.472886
209 2.99218 0.124899 0.47263
210 2.99191 0.125451 0.472372
211 2.99164 0.126002 0.472112
212 2.99136 0.126551 0.471852
213 2.99108 0.1271 0.471591
214 2.9908 0.127648 0.471328
215 2.99052 0.128196 0.471065
216 2.99024 0.128742 0.4708
217 2.98995 0.129287 0.470534
218 2.98966 0.129832 0.470267
219 2.98937 0.130376 0.469999
220 2.98908 0.130918 0.46973
221 2.98879 0.13146 0.469459
222 2.98849 0.132001 0.469188
223 2.98819 0.132541 0.468915
224 2.98789 0.13308 0.468642
225 2.98759 0.133618 0.468367
226 2.98728 0.134156 0.468091
227 2.98697 0.134692 0.467814
228 2.98666 0.135227 0.467536
229 2.98635 0.135762 0.467257
230 2.98604 0.136295 0.466976
231 2.98572 0.136827 0.466695
232 2.9854 0.137359 0.466412
233 2.98508 0.137889 0.466129
234 2.98476 0.138419 0.465844
235 2.98444 0.138947 0.465558
236 2.98411 0.139475 0.465272
237 2.98378 0.140001 0.464984
238 2.98345 0.140527 0.464695
239 2.98312 0.141051 0.464404
240 2.98279 0.141575 0.464113
241 2.98245 0.142097 0.463821
242 2.98211 0.142619 0.463528
243 2.98177 0.143139 0.463233
244 2.98143 0.143659 0.462938
245 2.98108 0.144177 0.462641
246 2.98074 0.144694 0.462344
247 2.98039 0.14521 0.462045
248 2.98004 0.145726 0.461745
249 2.97968 0.14624 0.461444
250 2.97933 0.146753 0.461143
251 2.97897 0.147265 0.46084
252 2.97861 0.147775 0.460536
253 2.97825 0.148285 0.460231
254 2.97789 0.148794 0.459924
255 2.97753 0.149301 0.459617
256 2.97716 0.149808 0.459309
257 2.97679 0.150313 0.459
258 2.97642 0.150817 0.45869
259 2.97605 0.15132 0.458378
260 2.97567 0.151822 0.458066
261 2.97529 0.152323 0.457752
262 2.97491 0.152823 0.457438
263 2.97453 0.153321 0.457123
264 2.97415 0.153819 0.456806
265 2.97377 0.154315 0.456489
266 2.97338 0.15481 0.45617
267 2.97299 0.155304 0.45585
268 2.9726 0.155797 0.45553
269 2.97221 0.156288 0.455208
270 2.97181 0.156778 0.454886
271 2.97141 0.157268 0.454562
272 2.97102 0.157756 0.454237
273 2.97061 0.158242 0.453911
274 2.97021 0.158728 0.453585
275 2.96981 0.159212 0.453257
276 2.9694 0.159695 0.452928
277 2.96899 0.160177 0.452599
278 2.96858 0.160658 0.452268
279 2.96817 0.161137 0.451936
280 2.96775 0.161615 0.451604
281 2.96734 0.162092 0.45127
282 2.96692 0.162568 0.450935
283 2.9665 0.163043 0.450599
284 2.96608 0.163516 0.450263
285 2.96565 0.163988 0.449925
286 2.96523 0.164458 0.449586
287 2.9648 0.164928 0.449247
288 2.96437 0.165396 0.448906
289 2.96394 0.165862 0.448565
290 2.96351 0.166328 0.448222
291 2.96307 0.166792 0.447879
292 2.96263 0.167255 0.447534
293 2.96219 0.167716 0.447189
294 2.96175 0.168177 0.446842
295 2.96131 0.168636 0.446495
296 2.96087 0.169093 0.446147
297 2.96042 0.169549 0.445797
298 2.95997 0.170004 0.445447
299 2.95952 0.170458 0.445096
300 2.95907 0.17091 0.444744
301 2.95861 0.171361 0.444391
302 2.95816 0.17181 0.444037
303 2.9577 0.172259 0.443682
304 2.95724 0.172705 0.443326
305 2.95678 0.173151 0.442969
306 2.95631 0.173595 0.442611
307 2.95585 0.174037 0.442252
308 2.95538 0.174479 0.441893
309 2.95491 0.174918 0.441532
310 2.95444 0.175357 0.441171
311 2.95397 0.175794 0.440808
312 2.9535 0.176229 0.440445
313 2.95302 0.176664 0.440081
314 2.95254 0.177096 0.439715
315 2.95206 0.177528 0.439349
316 2.95158 0.177957 0.438982
317 2.9511 0.178386 0.438615
318 2.95061 0.178813 0.438246
319 2.95013 0.179238 0.437876
320 2.94964 0.179663 0.437505
321 2.94915 0.180085 0.437134
322 2.94866 0.180506 0.436762
323 2.94816 0.180926 0.436388
324 2.94767 0.181344 0.436014
325 2.94717 0.181761 0.435639
326 2.94667 0.182176 0.435263
327 2.94617 0.18259 0.434886
328 2.94567 0.183002 0.434509
329 2.94516 0.183413 0.43413
330 2.94466 0.183822 0.433751
331 2.94415 0.18423 0.433371
332 2.94364 0.184636 0.432989
333 2.94313 0.185041 0.432607
334 2.94261 0.185444 0.432225
335 2.9421 0.185845 0.431841
336 2.94158 0.186246 0.431456
337 2.94106 0.186644 0.431071
338 2.94054 0.187041 0.430685
339 2.94002 0.187436 0.430297
340 2.9395 0.18783 0.42991
341 2.93897 0.188223 0.429521
342 2.93845 0.188613 0.429131
343 2.93792 0.189002 0.428741
344 2.93739 0.18939 0.428349
345 2.93686 0.189776 0.427957
346 2.93633 0.19016 0.427564
347 2.93579 0.190543 0.427171
348 2.93525 0.190924 0.426776
349 2.93472 0.191304 0.426381
350 2.93418 0.191682 0.425984
351 2.93364 0.192058 0.425587
352 2.93309 0.192433 0.425189
353 2.93255 0.192806 0.424791
354 2.932 0.193178 0.424391
355 2.93145 0.193547 0.423991
356 2.9309 0.193916 0.42359
357 2.93035 0.194282 0.423188
358 2.9298 0.194647 0.422786
359 2.92925 0.19501 0.422382
360 2.92869 0.195372 0.421978
361 2.92813 0.195732 0.421573
362 2.92758 0.19609 0.421167
363 2.92701 0.196447 0.420761
364 2.92645 0.196801 0.420354
365 2.92589 0.197155 0.419945
366 2.92532 0.197506 0.419537
367 2.92476 0.197856 0.419127
368 2.92419 0.198204 0.418717
369 2.92362 0.19855 0.418306
370 2.92305 0.198895 0.417894
371 2.92248 0.199238 0.417481
372 2.9219 0.199579 0.417068
373 2.92133 0.199919 0.416654
374 2.92075 0.200257 0.416239
375 2.92017 0.200593 0.415823
376 2.91959 0.200927 0.415407
377 2.91901 0.20126 0.41499
378 2.91842 0.20159 0.414572
379 2.91784 0.201919 0.414154
380 2.91725 0.202247 0.413735
381 2.91667 0.202572 0.413315
382 2.91608 0.202896 0.412894
383 2.91549 0.203218 0.412473
384 2.91489 0.203538 0.412051
385 2.9143 0.203857 0.411628
386 2.91371 0.204174 0.411204
387 2.91311 0.204488 0.41078
388 2.91251 0.204801 0.410355
389 2.91191 0.205113 0.40993
390 2.91131 0.205422 0.409504
391 2.91071 0.20573 0.409077
392 2.91011 0.206036 0.408649
393 2.9095 0.20634 0.408221
394 2.9089 0.206642 0.407792
395 2.90829 0.206942 0.407362
396 2.90768 0.207241 0.406932
397 2.90707 0.207538 0.406501
398 2.90646 0.207832 0.40607
399 2.90585 0.208125 0.405637
400 2.90523 0.208417 0.405204
401 2.90462 0.208706 0.404771
402 2.904 0.208993 0.404337
403 2.90338 0.209279 0.403902
404 2.90276 0.209563 0.403466
405 2.90214 0.209845 0.40303
406 2.90152 0.210125 0.402593
407 2.9009 0.210403 0.402156
408 2.90027 0.210679 0.401718
409 2.89965 0.210953 0.401279
410 2.89902 0.211226 0.40084
411 2.89839 0.211496 0.4004
412 2.89776 0.211765 0.39996
413 2.89713 0.212031 0.399519
414 2.8965 0.212296 0.399077
415 2.89587 0.212559 0.398635
416 2.89523 0.21282 0.398192
417 2.8946 0.213079 0.397748
418 2.89396 0.213336 0.397304
419 2.89332 0.213591 0.396859
420 2.89268 0.213844 0.396414
421 2.89204 0.214096 0.395968
422 2.8914 0.214345 0.395522
423 2.89076 0.214592 0.395075
424 2.89011 0.214838 0.394627
425 2.88947 0.215081 0.394179
426 2.88882 0.215323 0.39373
427 2.88817 0.215562 0.393281
428 2.88752 0.2158 0.392831
429 2.88687 0.216035 0.392381
430 2.88622 0.216269 0.39193
431 2.88557 0.216501 0.391479
432 2.88492 0.21673 0.391027
433 2.88426 0.216958 0.390574
434 2.88361 0.217184 0.390121
435 2.88295 0.217407 0.389667
436 2.88229 0.217629 0.389213
437 2.88163 0.217849 0.388759
438 2.88097 0.218066 0.388304
439 2.88031 0.218282 0.387848
440 2.87965 0.218495 0.387392
441 2.87899 0.218707 0.386935
442 2.87833 0.218916 0.386478
443 2.87766 0.219124 0.38602
444 2.87699 0.219329 0.385562
445 2.87633 0.219533 0.385103
446 2.87566 0.219734 0.384644
447 2.87499 0.219934 0.384184
448 2.87432 0.220131 0.383724
449 2.87365 0.220326 0.383264
450 2.87298 0.220519 0.382803
451 2.8723 0.22071 0.382341
452 2.87163 0.220899 0.381879
453 2.87096 0.221086 0.381417
454 2.87028 0.221271 0.380954
455 2.8696 0.221454 0.38049
456 2.86893 0.221635 0.380026
457 2.86825 0.221814 0.379562
458 2.86757 0.22199 0.379097
459 2.86689 0.222165 0.378632
460 2.86621 0.222337 0.378167
461 2.86552 0.222507 0.377701
462 2.86484 0.222676 0.377234
463 2.86416 0.222842 0.376767
464 2.86347 0.223006 0.3763
465 2.86279 0.223168 0.375832
466 2.8621 0.223327 0.375364
467 2.86141 0.223485 0.374896
468 2.86073 0.22364 0.374427
469 2.86004 0.223794 0.373957
470 2.85935 0.223945 0.373488
471 2.85866 0.224094 0.373018
472 2.85797 0.224241 0.372547
473 2.85728 0.224386 0.372076
474 2.85658 0.224529 0.371605
475 2.85589 0.224669 0.371133
476 2.8552 0.224808 0.370661
477 2.8545 0.224944 0.370189
478 2.85381 0.225078 0.369716
479 2.85311 0.22521 0.369243
480 2.85241 0.22534 0.36877
481 2.85171 0.225468 0.368296
482 2.85102 0.225593 0.367822
483 2.85032 0.225717 0.367347
484 2.84962 0.225838 0.366872
485 2.84892 0.225957 0.366397
486 2.84822 0.226073 0.365922
487 2.84751 0.226188 0.365446
488 2.84681 0.2263 0.36497
489 2.84611 0.226411 0.364493
490 2.84541 0.226519 0.364016
491 2.8447 0.226625 0.363539
492 2.844 0.226728 0.363062
493 2.84329 0.22683 0.362584
494 2.84259 0.226929 0.362106
495 2.84188 0.227026 0.361628
496 2.84117 0.227121 0.361149
497 2.84046 0.227214 0.360671
498 2.83976 0.227304 0.360191
499 2.83905 0.227392 0.359712
500 2.83834 0.227478 0.359232
501 2.83763 0.227562 0.358752
502 2.83692 0.227644 0.358272
503 2.83621 0.227723 0.357792
504 2.8355 0.2278 0.357311
505 2.83479 0.227875 0.35683
506 2.83407 0.227948 0.356349
507 2.83336 0.228018 0.355867
508 2.83265 0.228086 0.355385
509 2.83194 0.228152 0.354903
510 2.83122 0.228216 0.354421
511 2.83051 0.228277 0.353939
512 2.82979 0.228336 0.353456
513 2.82908 0.228393 0.352973
514 2.82836 0.228448 0.35249
515 2.82765 0.2285 0.352007
516 2.82693 0.228551 0.351524
517 2.82622 0.228599 0.35104
518 2.8255 0.228644 0.350556
519 2.82478 0.228688 0.350072
520 2.82406 0.228729 0.349588
521 2.82335 0.228768 0.349103
522 2.82263 0.228804 0.348619
523 2.82191 0.228839 0.348134
524 2.82119 0.228871 0.347649
525 2.82047 0.228901 0.347164
526 2.81975 0.228928 0.346678
527 2.81904 0.228953 0.346193
528 2.81832 0.228976 0.345707
529 2.8176 0.228997 0.345222
530 2.81688 0.229015 0.344736
531 2.81616 0.229032 0.34425
532 2.81544 0.229045 0.343763
533 2.81472 0.229057 0.343277
534 2.814 0.229066 0.342791
535 2.81328 0.229073 0.342304
536 2.81256 0.229078 0.341817
537 2.81183 0.22908 0.341331
538 2.81111 0.22908 0.340844
539 2.81039 0.229078 0.340357
540 2.80967 0.229074 0.33987
541 2.80895 0.229067 0.339382
542 2.80823 0.229058 0.338895
543 2.80751 0.229046 0.338408
544 2.80679 0.229033 0.33792
545 2.80606 0.229017 0.337432
546 2.80534 0.228998 0.336945
547 2.80462 0.228978 0.336457
548 2.8039 0.228955 0.335969
549 2.80318 0.22893 0.335481
550 2.80246 0.228902 0.334994
551 2.80174 0.228872 0.334506
552 2.80102 0.22884 0.334018
553 2.80029 0.228805 0.33353
554 2.79957 0.228769 0.333041
555 2.79885 0.22873 0.332553
556 2.79813 0.228688 0.332065
557 2.79741 0.228644 0.331577
558 2.79669 0.228598 0.331089
