n	rho	drho
0 3 90
1 3.01789 88.9146
2 3.03557 87.8009
3 3.05301 86.6624
4 3.07023 85.5022
5 3.08721 84.3231
6 3.10396 83.1278
7 3.12047 81.9184
8 3.13673 80.6973
9 3.15274 79.4661
10 3.16851 78.2267
11 3.18403 76.9807
12 3.19931 75.7293
13 3.21433 74.4739
14 3.2291 73.2155
15 3.24361 71.9552
16 3.25788 70.6938
17 3.27189 69.4321
18 3.28565 68.1709
19 3.29916 66.9107
20 3.31241 65.6522
21 3.32542 64.3957
22 3.33817 63.1416
23 3.35068 61.8904
24 3.36293 60.6424
25 3.37493 59.3978
26 3.38669 58.1568
27 3.3982 56.9197
28 3.40946 55.6865
29 3.42047 54.4574
30 3.43124 53.2325
31 3.44176 52.0119
32 3.45204 50.7955
33 3.46208 49.5835
34 3.47188 48.3758
35 3.48143 47.1724
36 3.49075 45.9732
37 3.49982 44.7784
38 3.50866 43.5877
39 3.51726 42.4011
40 3.52562 41.2186
41 3.53374 40.0401
42 3.54163 38.8655
43 3.54929 37.6946
44 3.55671 36.5275
45 3.5639 35.3639
46 3.57086 34.2038
47 3.57758 33.0471
48 3.58408 31.8937
49 3.59034 30.7433
50 3.59637 29.5959
51 3.60218 28.4514
52 3.60775 27.3097
53 3.6131 26.1706
54 3.61822 25.0339
55 3.62312 23.8996
56 3.62778 22.7675
57 3.63222 21.6375
58 3.63644 20.5094
59 3.64043 19.3832
60 3.64419 18.2586
61 3.64773 17.1356
62 3.65104 16.014
63 3.65414 14.8936
64 3.657 13.7744
65 3.65965 12.6562
66 3.66206 11.5389
67 3.66426 10.4223
68 3.66623 9.30634
69 3.66798 8.19085
70 3.66951 7.07569
71 3.67081 5.96076
72 3.67189 4.84591
73 3.67275 3.73102
74 3.67339 2.61596
75 3.6738 1.5006
76 3.67399 0.384825
77 3.67395 -0.731499
78 3.67369 -1.84849
79 3.67321 -2.96628
80 3.67251 -4.08498
81 3.67158 -5.20472
82 3.67043 -6.32561
83 3.66905 -7.44778
84 3.66745 -8.57133
85 3.66562 -9.69639
86 3.66357 -10.8231
87 3.66129 -11.9515
88 3.65879 -13.0817
89 3.65606 -14.2139
90 3.6531 -15.3482
91 3.64992 -16.4847
92 3.64651 -17.6234
93 3.64287 -18.7644
94 3.639 -19.908
95 3.63491 -21.0541
96 3.63058 -22.2029
97 3.62603 -23.3544
98 3.62124 -24.5088
99 3.61622 -25.6661
100 3.61097 -26.8264
101 3.60549 -27.9898
102 3.59978 -29.1564
103 3.59383 -30.3262
104 3.58765 -31.4993
105 3.58123 -32.6758
106 3.57458 -33.8556
107 3.56769 -35.039
108 3.56056 -36.2258
109 3.5532 -37.4161
110 3.54559 -38.6101
111 3.53775 -39.8075
112 3.52967 -41.0086
113 3.52135 -42.2133
114 3.51279 -43.4215
115 3.50398 -44.6332
116 3.49493 -45.8485
117 3.48564 -47.0672
118 3.47611 -48.2893
119 3.46633 -49.5146
120 3.4563 -50.7432
121 3.44603 -51.9748
122 3.43551 -53.2094
123 3.42474 -54.4466
124 3.41373 -55.6865
125 3.40247 -56.9286
126 3.39096 -58.1729
127 3.3792 -59.4189
128 3.36719 -60.6664
129 3.35493 -61.915
130 3.34243 -63.1642
131 3.32967 -64.4137
132 3.31666 -65.663
133 3.3034 -66.9114
134 3.2899 -68.1584
135 3.27614 -69.4033
136 3.26213 -70.6453
137 3.24788 -71.8836
138 3.23338 -73.1172
139 3.21863 -74.3453
