n	x	y	z
0 -3 0.00477796 0.5
1 -3.00189 -0.00122281 0.499937
2 -3.00356 -0.00725993 0.499748
3 -3.005 -0.0133273 0.499431
4 -3.00622 -0.0194188 0.498988
5 -3.0072 -0.0255285 0.498419
6 -3.00796 -0.0316502 0.497722
7 -3.00849 -0.0377779 0.496898
8 -3.00879 -0.0439055 0.495948
9 -3.00886 -0.0500271 0.494872
10 -3.0087 -0.0561367 0.49367
11 -3.00831 -0.0622282 0.492343
12 -3.0077 -0.0682957 0.490892
13 -3.00686 -0.0743332 0.489316
14 -3.00579 -0.0803348 0.487618
15 -3.0045 -0.0862945 0.485797
16 -3.00298 -0.0922065 0.483855
17 -3.00125 -0.0980649 0.481793
18 -2.99929 -0.103864 0.479613
19 -2.99711 -0.109597 0.477314
20 -2.99471 -0.11526 0.4749
21 -2.9921 -0.120845 0.472371
22 -2.98928 -0.126348 0.469729
23 -2.98624 -0.131762 0.466976
24 -2.983 -0.137082 0.464113
25 -2.97955 -0.142302 0.461142
26 -2.97589 -0.147417 0.458065
27 -2.97204 -0.15242 0.454884
28 -2.96799 -0.157307 0.451602
29 -2.96374 -0.162072 0.448221
30 -2.95931 -0.166709 0.444742
31 -2.95469 -0.171212 0.441169
32 -2.94988 -0.175578 0.437504
33 -2.9449 -0.179799 0.433749
34 -2.93975 -0.183872 0.429907
35 -2.93443 -0.18779 0.425982
36 -2.92894 -0.191549 0.421975
37 -2.9233 -0.195144 0.417891
38 -2.9175 -0.19857 0.413731
39 -2.91156 -0.201821 0.4095
40 -2.90548 -0.204894 0.405201
41 -2.89927 -0.207784 0.400836
42 -2.89292 -0.210486 0.39641
43 -2.88646 -0.212996 0.391926
44 -2.87989 -0.21531 0.387387
45 -2.87321 -0.217423 0.382798
46 -2.86643 -0.219333 0.378162
47 -2.85957 -0.221035 0.373482
48 -2.85263 -0.222525 0.368764
49 -2.84561 -0.223802 0.364011
50 -2.83854 -0.22486 0.359226
51 -2.83141 -0.225699 0.354415
52 -2.82425 -0.226315 0.349581
53 -2.81705 -0.226706 0.344729
54 -2.80984 -0.22687 0.339862
55 -2.80262 -0.226805 0.334986
56 -2.7954 -0.22651 0.330105
57 -2.78819 -0.225984 0.325222
58 -2.78102 -0.225227 0.320342
59 -2.77389 -0.224238 0.315471
60 -2.7668 -0.223017 0.310611
61 -2.75979 -0.221564 0.305767
62 -2.75286 -0.219881 0.300945
63 -2.74602 -0.21797 0.296147
64 -2.73928 -0.215831 0.291379
65 -2.73267 -0.213467 0.286644
66 -2.7262 -0.210881 0.281946
67 -2.71988 -0.208077 0.27729
68 -2.71372 -0.205058 0.272679
69 -2.70774 -0.201828 0.268117
70 -2.70195 -0.198392 0.263608
71 -2.69638 -0.194757 0.259155
72 -2.69102 -0.190927 0.254761
73 -2.6859 -0.186908 0.25043
74 -2.68103 -0.18271 0.246165
75 -2.67643 -0.178337 0.241968
76 -2.6721 -0.1738 0.237841
77 -2.66806 -0.169106 0.233789
78 -2.66432 -0.164264 0.229811
79 -2.66089 -0.159284 0.225911
80 -2.65779 -0.154176 0.222089
81 -2.65502 -0.14895 0.218348
82 -2.65259 -0.143617 0.214687
83 -2.65051 -0.138189 0.211109
84 -2.64879 -0.132677 0.207614
85 -2.64744 -0.127092 0.204202
86 -2.64645 -0.121448 0.200872
87 -2.64584 -0.115755 0.197626
88 -2.64561 -0.110027 0.194462
89 -2.64576 -0.104276 0.19138
90 -2.6463 -0.098515 0.188379
91 -2.64722 -0.0927566 0.185458
92 -2.64851 -0.0870133 0.182615
93 -2.65019 -0.0812978 0.179849
94 -2.65225 -0.0756225 0.177159
95 -2.65468 -0.0699999 0.174541
96 -2.65748 -0.0644418 0.171995
97 -2.66063 -0.0589602 0.169517
98 -2.66415 -0.0535666 0.167106
99 -2.66801 -0.0482722 0.16476
100 -2.67221 -0.0430877 0.162475
101 -2.67674 -0.0380237 0.160248
102 -2.68158 -0.0330899 0.158079
103 -2.68674 -0.028296 0.155962
104 -2.69219 -0.0236509 0.153897
105 -2.69792 -0.0191631 0.151879
106 -2.70392 -0.0148407 0.149907
107 -2.71019 -0.010691 0.147976
108 -2.71669 -0.00672109 0.146086
109 -2.72343 -0.00293721 0.144232
110 -2.73039 0.000654788 0.142412
111 -2.73755 0.00404961 0.140624
112 -2.7449 0.00724251 0.138864
113 -2.75242 0.0102293 0.137131
114 -2.76011 0.0130062 0.135421
115 -2.76794 0.0155702 0.133733
116 -2.7759 0.0179184 0.132064
117 -2.78399 0.0200488 0.130411
118 -2.79218 0.0219596 0.128773
119 -2.80046 0.0236494 0.127147
120 -2.80882 0.0251175 0.125532
121 -2.81725 0.0263635 0.123925
122 -2.82573 0.0273872 0.122325
123 -2.83425 0.028189 0.12073
124 -2.8428 0.0287696 0.119138
125 -2.85136 0.0291301 0.117548
126 -2.85993 0.0292717 0.115959
127 -2.8685 0.0291961 0.114368
128 -2.87705 0.0289052 0.112775
129 -2.88557 0.0284012 0.111179
130 -2.89405 0.0276866 0.109578
131 -2.90248 0.0267639 0.107971
132 -2.91086 0.0256361 0.106358
133 -2.91917 0.0243062 0.104737
134 -2.92741 0.0227774 0.103107
135 -2.93556 0.0210531 0.101469
136 -2.94363 0.0191369 0.0998211
137 -2.95159 0.0170325 0.0981626
138 -2.95945 0.0147436 0.0964932
139 -2.96719 0.0122742 0.0948124
140 -2.97482 0.00962842 0.0931196
141 -2.98231 0.00681026 0.0914147
142 -2.98968 0.00382398 0.0896971
