n	x	y	z
0 1.48442 -2.60701 0.5
1 1.49951 -2.6213 0.499937
2 1.51482 -2.6352 0.499744
3 1.53034 -2.6487 0.499417
4 1.54605 -2.6618 0.498955
5 1.56195 -2.67451 0.498353
6 1.578 -2.68682 0.49761
7 1.59422 -2.69874 0.496725
8 1.61057 -2.71026 0.495696
9 1.62705 -2.7214 0.494521
10 1.64365 -2.73215 0.493201
11 1.66036 -2.74251 0.491734
12 1.67716 -2.75249 0.490121
13 1.69405 -2.7621 0.488362
14 1.71101 -2.77132 0.486456
15 1.72805 -2.78018 0.484404
16 1.74514 -2.78866 0.482207
17 1.76228 -2.79678 0.479864
18 1.77946 -2.80454 0.477378
19 1.79668 -2.81194 0.474749
20 1.81393 -2.81898 0.471978
21 1.8312 -2.82568 0.469067
22 1.84848 -2.83202 0.466015
23 1.86577 -2.83802 0.462826
24 1.88306 -2.84368 0.4595
25 1.90034 -2.849 0.456039
26 1.91762 -2.85399 0.452444
27 1.93487 -2.85866 0.448717
28 1.95211 -2.86299 0.44486
29 1.96931 -2.867 0.440875
30 1.98649 -2.8707 0.436762
31 2.00362 -2.87408 0.432525
32 2.02072 -2.87714 0.428164
33 2.03777 -2.8799 0.423683
34 2.05476 -2.88236 0.419081
35 2.07171 -2.88451 0.414362
36 2.08859 -2.88637 0.409528
37 2.10541 -2.88793 0.40458
38 2.12217 -2.8892 0.399521
39 2.13885 -2.89018 0.394351
40 2.15546 -2.89087 0.389074
41 2.172 -2.89129 0.383692
42 2.18845 -2.89142 0.378206
43 2.20482 -2.89128 0.372618
44 2.2211 -2.89087 0.36693
45 2.2373 -2.89019 0.361145
46 2.2534 -2.88924 0.355264
47 2.2694 -2.88802 0.34929
48 2.2853 -2.88655 0.343224
49 2.30111 -2.88482 0.337069
50 2.31681 -2.88283 0.330826
51 2.3324 -2.88059 0.324498
52 2.34788 -2.8781 0.318086
53 2.36326 -2.87536 0.311593
54 2.37851 -2.87238 0.305021
55 2.39366 -2.86915 0.298371
56 2.40868 -2.86569 0.291645
57 2.42358 -2.86199 0.284847
58 2.43836 -2.85805 0.277977
59 2.45301 -2.85388 0.271037
60 2.46754 -2.84948 0.264031
61 2.48193 -2.84486 0.256958
62 2.4962 -2.84001 0.249823
63 2.51033 -2.83493 0.242626
64 2.52432 -2.82964 0.235369
65 2.53818 -2.82412 0.228055
66 2.55189 -2.81839 0.220686
67 2.56547 -2.81245 0.213263
68 2.5789 -2.80629 0.205788
69 2.59219 -2.79993 0.198264
70 2.60532 -2.79335 0.190692
71 2.61831 -2.78658 0.183074
72 2.63115 -2.77959 0.175412
73 2.64384 -2.77241 0.167709
74 2.65637 -2.76503 0.159965
75 2.66875 -2.75744 0.152183
76 2.68097 -2.74967 0.144366
77 2.69303 -2.7417 0.136514
78 2.70492 -2.73354 0.12863
79 2.71666 -2.72519 0.120715
80 2.72823 -2.71665 0.112772
81 2.73963 -2.70792 0.104803
82 2.75087 -2.69901 0.0968085
83 2.76193 -2.68992 0.0887916
84 2.77283 -2.68065 0.0807539
85 2.78355 -2.6712 0.0726972
86 2.7941 -2.66157 0.0646236
87 2.80447 -2.65177 0.0565348
88 2.81466 -2.6418 0.0484328
89 2.82467 -2.63165 0.0403194
90 2.8345 -2.62134 0.0321967
91 2.84415 -2.61086 0.0240664
92 2.85362 -2.60021 0.0159305
93 2.8629 -2.58939 0.00779087
94 2.87199 -2.57842 -0.000350574
95 2.88089 -2.56729 -0.00849194
96 2.8896 -2.55599 -0.0166313
97 2.89811 -2.54454 -0.0247668
98 2.90643 -2.53294 -0.0328965
99 2.91456 -2.52118 -0.0410185
100 2.92249 -2.50927 -0.0491308
101 2.93022 -2.4972 -0.0572316
102 2.93774 -2.485 -0.065319
103 2.94506 -2.47264 -0.073391
104 2.95218 -2.46014 -0.0814456
105 2.95909 -2.4475 -0.0894811
106 2.9658 -2.43472 -0.0974954
107 2.97229 -2.4218 -0.105487
108 2.97857 -2.40874 -0.113453
109 2.98463 -2.39555 -0.121392
110 2.99048 -2.38222 -0.129302
111 2.99612 -2.36876 -0.137181
112 3.00153 -2.35517 -0.145028
113 3.00672 -2.34146 -0.152839
114 3.01169 -2.32761 -0.160614
115 3.01643 -2.31365 -0.16835
116 3.02094 -2.29956 -0.176046
117 3.02523 -2.28536 -0.183698
118 3.02928 -2.27103 -0.191306
119 3.03311 -2.25659 -0.198867
120 3.03669 -2.24204 -0.206379
121 3.04004 -2.22738 -0.213841
122 3.04315 -2.2126 -0.221249
123 3.04601 -2.19772 -0.228603
124 3.04863 -2.18274 -0.2359
125 3.05101 -2.16765 -0.243139
126 3.05314 -2.15246 -0.250316
127 3.05502 -2.13718 -0.25743
128 3.05664 -2.1218 -0.264479
129 3.05801 -2.10633 -0.271461
