n	x	y	z
0 3 0 0.5
1 3.00089 0.00600178 0.499937
2 3.00155 0.0120197 0.499748
3 3.00198 0.0180478 0.499432
4 3.00219 0.02408 0.498991
5 3.00217 0.0301102 0.498423
6 3.00192 0.0361325 0.497729
7 3.00145 0.0421408 0.49691
8 3.00075 0.0481292 0.495966
9 2.99983 0.0540916 0.494897
10 2.99868 0.0600221 0.493704
11 2.99731 0.0659147 0.492389
12 2.99571 0.0717634 0.490951
13 2.9939 0.0775624 0.489391
14 2.99186 0.0833056 0.487712
15 2.98961 0.0889872 0.485913
16 2.98714 0.0946012 0.483996
17 2.98446 0.100142 0.481962
18 2.98156 0.105603 0.479813
19 2.97845 0.110979 0.477551
20 2.97513 0.116265 0.475177
21 2.97161 0.121454 0.472692
22 2.96789 0.12654 0.470099
23 2.96396 0.131518 0.467399
24 2.95984 0.136382 0.464596
25 2.95553 0.141127 0.461689
26 2.95102 0.145747 0.458683
27 2.94633 0.150236 0.45558
28 2.94146 0.154589 0.452381
29 2.93641 0.1588 0.44909
30 2.93119 0.162864 0.445709
31 2.9258 0.166777 0.44224
32 2.92025 0.170531 0.438688
33 2.91454 0.174123 0.435055
34 2.90867 0.177548 0.431343
35 2.90266 0.180799 0.427557
36 2.89651 0.183873 0.4237
37 2.89023 0.186765 0.419775
38 2.88382 0.18947 0.415785
39 2.87729 0.191983 0.411734
40 2.87065 0.194301 0.407627
41 2.8639 0.196419 0.403466
42 2.85706 0.198333 0.399257
43 2.85013 0.200039 0.395002
44 2.84312 0.201534 0.390706
45 2.83603 0.202814 0.386374
46 2.82889 0.203876 0.382009
47 2.8217 0.204717 0.377616
48 2.81447 0.205334 0.3732
49 2.80721 0.205726 0.368765
50 2.79993 0.205889 0.364316
51 2.79265 0.205822 0.359857
52 2.78536 0.205524 0.355393
53 2.7781 0.204993 0.350929
54 2.77087 0.204228 0.346469
55 2.76367 0.20323 0.34202
56 2.75654 0.201998 0.337584
57 2.74947 0.200533 0.333168
58 2.74248 0.198835 0.328776
59 2.73559 0.196906 0.324413
60 2.72881 0.194747 0.320084
61 2.72215 0.192362 0.315793
62 2.71564 0.189752 0.311545
63 2.70927 0.186921 0.307345
64 2.70308 0.183872 0.303197
65 2.69706 0.180611 0.299106
66 2.69125 0.177141 0.295076
67 2.68565 0.173469 0.291111
68 2.68027 0.169601 0.287215
69 2.67513 0.165542 0.283393
70 2.67025 0.161301 0.279647
71 2.66564 0.156884 0.275981
72 2.6613 0.1523 0.272398
73 2.65726 0.147558 0.268902
74 2.65353 0.142667 0.265495
75 2.65011 0.137637 0.26218
76 2.64702 0.132477 0.258959
77 2.64427 0.1272 0.255834
78 2.64186 0.121814 0.252807
79 2.63981 0.116333 0.249878
80 2.63813 0.110768 0.24705
81 2.63681 0.105131 0.244323
82 2.63586 0.0994341 0.241698
83 2.6353 0.0936902 0.239175
84 2.63512 0.0879119 0.236754
85 2.63532 0.0821121 0.234434
86 2.63591 0.0763038 0.232215
87 2.63689 0.0704999 0.230096
88 2.63825 0.0647134 0.228076
89 2.63999 0.058957 0.226154
90 2.64211 0.0532434 0.224327
91 2.64461 0.0475852 0.222594
92 2.64747 0.0419947 0.220953
93 2.6507 0.0364838 0.219401
94 2.65428 0.0310642 0.217937
95 2.65821 0.0257474 0.216556
96 2.66248 0.0205442 0.215257
97 2.66707 0.0154651 0.214037
98 2.67198 0.0105202 0.212891
99 2.6772 0.00571901 0.211818
100 2.68271 0.00107064 0.210813
101 2.6885 -0.00341639 0.209874
102 2.69456 -0.00773409 0.208997
103 2.70087 -0.011875 0.208179
104 2.70743 -0.0158323 0.207416
105 2.71421 -0.0195996 0.206704
