n	x	y	z
0 3 0 0.5
1 3.00989 0.00601978 0.499937
2 3.01954 0.0122336 0.499746
3 3.02897 0.0186338 0.499425
4 3.03815 0.0252124 0.498973
5 3.04709 0.0319619 0.498387
6 3.05579 0.0388747 0.497668
7 3.06424 0.0459432 0.496813
8 3.07244 0.0531601 0.495823
9 3.08038 0.060518 0.494695
10 3.08807 0.0680097 0.49343
11 3.09551 0.0756279 0.492027
12 3.10268 0.0833658 0.490486
13 3.10959 0.0912162 0.488806
14 3.11624 0.0991723 0.486988
15 3.12262 0.107227 0.485032
16 3.12874 0.115374 0.482937
17 3.13459 0.123607 0.480704
18 3.14017 0.131919 0.478333
19 3.14548 0.140303 0.475825
20 3.15053 0.148754 0.47318
21 3.1553 0.157264 0.470399
22 3.1598 0.165828 0.467483
23 3.16403 0.174439 0.464431
24 3.16799 0.183092 0.461246
25 3.17168 0.19178 0.457928
26 3.17509 0.200497 0.454478
27 3.17824 0.209238 0.450897
28 3.18111 0.217997 0.447187
29 3.18371 0.226768 0.443347
30 3.18604 0.235545 0.439381
31 3.18809 0.244322 0.435288
32 3.18988 0.253095 0.431071
33 3.19139 0.261857 0.42673
34 3.19263 0.270603 0.422267
35 3.1936 0.279328 0.417684
36 3.19431 0.288026 0.412982
37 3.19474 0.296692 0.408163
38 3.19491 0.305321 0.403228
39 3.19481 0.313907 0.39818
40 3.19444 0.322445 0.393019
41 3.19381 0.33093 0.387748
42 3.19292 0.339357 0.382368
43 3.19176 0.34772 0.376881
44 3.19033 0.356016 0.371289
45 3.18865 0.364237 0.365594
46 3.18671 0.372381 0.359798
47 3.18451 0.380441 0.353904
48 3.18205 0.388412 0.347911
49 3.17934 0.396291 0.341824
50 3.17638 0.404071 0.335644
51 3.17316 0.411748 0.329373
52 3.16969 0.419317 0.323013
53 3.16598 0.426774 0.316567
54 3.16202 0.434113 0.310036
55 3.15782 0.44133 0.303423
56 3.15337 0.448419 0.29673
57 3.14868 0.455377 0.289959
58 3.14376 0.462199 0.283113
59 3.13861 0.468879 0.276194
60 3.13322 0.475413 0.269204
61 3.1276 0.481797 0.262145
62 3.12176 0.488027 0.255021
63 3.11569 0.494096 0.247832
64 3.10941 0.500001 0.240583
65 3.10291 0.505738 0.233274
66 3.09619 0.511302 0.225909
67 3.08927 0.516688 0.21849
68 3.08215 0.521892 0.211019
69 3.07482 0.52691 0.203499
70 3.06729 0.531738 0.195932
71 3.05958 0.536371 0.188321
72 3.05168 0.540805 0.180668
73 3.04359 0.545036 0.172975
74 3.03533 0.54906 0.165245
75 3.0269 0.552873 0.15748
76 3.0183 0.556471 0.149683
77 3.00954 0.559851 0.141856
78 3.00062 0.563008 0.134001
79 2.99156 0.565939 0.12612
80 2.98236 0.568641 0.118216
81 2.97302 0.57111 0.110291
82 2.96356 0.573343 0.102347
83 2.95398 0.575337 0.0943862
84 2.94429 0.577089 0.0864102
85 2.9345 0.578596 0.0784211
