n	v_eff	rho
269 3649.05 3.9871
270 3649.34 3.98721
271 3649.58 3.98729
272 3649.77 3.98735
273 3649.91 3.98739
274 3649.99 3.98741
275 3650.03 3.9874
276 3650.02 3.98737
277 3649.95 3.98732
278 3649.83 3.98725
279 3649.66 3.98715
280 3649.44 3.98703
281 3649.17 3.98689
282 3648.85 3.98672
283 3648.48 3.98653
284 3648.05 3.98632
285 3647.57 3.98609
286 3647.05 3.98583
287 3646.47 3.98556
288 3645.84 3.98526
289 3645.15 3.98493
290 3644.42 3.98458
291 3643.63 3.98422
292 3642.8 3.98382
293 3641.91 3.98341
294 3640.96 3.98297
295 3639.97 3.98251
296 3638.93 3.98203
297 3637.83 3.98152
298 3636.68 3.981
299 3635.47 3.98045
300 3634.22 3.97987
301 3632.91 3.97927
302 3631.55 3.97866
303 3630.13 3.97801
304 3628.67 3.97735
305 3627.15 3.97666
306 3625.57 3.97595
307 3623.94 3.97522
308 3622.26 3.97446
309 3620.53 3.97368
310 3618.74 3.97288
311 3616.89 3.97205
312 3615 3.9712
313 3613.04 3.97033
314 3611.03 3.96944
315 3608.97 3.96852
316 3606.85 3.96758
317 3604.68 3.96661
318 3602.45 3.96563
319 3600.17 3.96462
320 3597.82 3.96358
321 3595.43 3.96253
322 3592.97 3.96145
323 3590.46 3.96034
324 3587.89 3.95922
325 3585.26 3.95807
326 3582.58 3.95689
327 3579.84 3.9557
328 3577.04 3.95448
329 3574.18 3.95323
330 3571.26 3.95197
331 3568.29 3.95068
332 3565.25 3.94936
333 3562.16 3.94803
334 3559 3.94666
335 3555.79 3.94528
336 3552.51 3.94387
337 3549.17 3.94244
338 3545.77 3.94098
339 3542.31 3.9395
340 3538.79 3.938
341 3535.21 3.93647
342 3531.56 3.93492
343 3527.85 3.93335
344 3524.07 3.93175
345 3520.24 3.93012
346 3516.33 3.92848
347 3512.37 3.92681
348 3508.34 3.92511
349 3504.24 3.92339
350 3500.07 3.92165
351 3495.84 3.91988
352 3491.55 3.91809
353 3487.18 3.91627
354 3482.75 3.91443
355 3478.25 3.91256
356 3473.69 3.91067
357 3469.05 3.90876
358 3464.34 3.90682
359 3459.56 3.90485
360 3454.72 3.90286
361 3449.8 3.90085
362 3444.81 3.89881
363 3439.75 3.89675
364 3434.61 3.89466
365 3429.41 3.89255
366 3424.13 3.89041
367 3418.77 3.88825
368 3413.34 3.88606
369 3407.84 3.88384
370 3402.25 3.88161
371 3396.6 3.87934
372 3390.86 3.87705
373 3385.05 3.87474
374 3379.16 3.8724
375 3373.19 3.87003
376 3367.14 3.86764
377 3361.01 3.86522
378 3354.8 3.86278
379 3348.51 3.86031
380 3342.14 3.85782
381 3335.69 3.8553
382 3329.15 3.85275
383 3322.52 3.85018
384 3315.82 3.84758
385 3309.02 3.84496
386 3302.15 3.8423
387 3295.18 3.83963
388 3288.13 3.83692
389 3280.98 3.83419
390 3273.75 3.83144
391 3266.43 3.82865
392 3259.02 3.82584
393 3251.52 3.82301
394 3243.93 3.82014
395 3236.24 3.81725
396 3228.46 3.81434
397 3220.58 3.81139
398 3212.61 3.80842
399 3204.55 3.80542
400 3196.38 3.8024
401 3188.12 3.79934
402 3179.76 3.79626
403 3171.3 3.79316
404 3162.74 3.79002
405 3154.08 3.78686
406 3145.32 3.78367
407 3136.45 3.78045
408 3127.48 3.7772
409 3118.4 3.77392
410 3109.22 3.77062
411 3099.93 3.76729
412 3090.54 3.76393
413 3081.03 3.76054
414 3071.42 3.75713
415 3061.7 3.75368
416 3051.86 3.75021
417 3041.91 3.74671
418 3031.85 3.74318
419 3021.67 3.73962
420 3011.38 3.73603
421 3000.97 3.73241
422 2990.44 3.72877
423 2979.8 3.72509
424 2969.03 3.72138
425 2958.14 3.71765
426 2947.14 3.71389
427 2936 3.71009
428 2924.75 3.70627
429 2913.37 3.70242
430 2901.86 3.69853
431 2890.23 3.69462
432 2878.46 3.69068
433 2866.57 3.6867
434 2854.55 3.6827
435 2842.39 3.67866
436 2830.1 3.6746
437 2817.68 3.6705
438 2805.12 3.66638
439 2792.43 3.66222
440 2779.59 3.65803
441 2766.62 3.65381
442 2753.51 3.64956
443 2740.26 3.64528
444 2726.86 3.64097
445 2713.32 3.63663
446 2699.64 3.63225
447 2685.81 3.62784
448 2671.83 3.6234
449 2657.71 3.61893
450 2643.44 3.61443
451 2629.01 3.6099
452 2614.43 3.60533
453 2599.7 3.60073
454 2584.82 3.5961
455 2569.78 3.59143
456 2554.58 3.58674
457 2539.22 3.58201
458 2523.71 3.57724
459 2508.04 3.57245
460 2492.2 3.56762
461 2476.2 3.56276
462 2460.04 3.55786
463 2443.72 3.55293
464 2427.22 3.54797
465 2410.57 3.54298
466 2393.74 3.53795
467 2376.74 3.53288
468 2359.58 3.52779
