n   x   y
0 -0.000266941 -3
1 0.0305102 -3.07831
2 0.0697818 -3.1527
3 0.116503 -3.22271
4 0.169734 -3.28805
5 0.22863 -3.34849
6 0.29244 -3.40392
7 0.360492 -3.45426
8 0.432183 -3.49947
9 0.506976 -3.53956
10 0.584383 -3.57455
11 0.663966 -3.6045
12 0.745325 -3.62946
13 0.828096 -3.64949
14 0.911944 -3.66468
15 0.996561 -3.6751
16 1.08166 -3.68084
17 1.16698 -3.68198
18 1.25226 -3.67861
19 1.33728 -3.67083
20 1.42181 -3.65872
21 1.50564 -3.64238
22 1.58857 -3.62189
23 1.6704 -3.59736
24 1.75095 -3.56887
25 1.83004 -3.53651
26 1.90749 -3.50039
27 1.98312 -3.46059
28 2.05676 -3.41722
29 2.12825 -3.37037
30 2.19742 -3.32014
31 2.26409 -3.26664
32 2.32811 -3.20998
33 2.3893 -3.15026
34 2.44749 -3.0876
35 2.50251 -3.02212
36 2.55417 -2.95395
37 2.60231 -2.88323
38 2.64674 -2.81009
39 2.68727 -2.73469
40 2.72369 -2.6572
41 2.75582 -2.57779
42 2.78345 -2.49667
43 2.80635 -2.41403
44 2.82432 -2.33013
45 2.83711 -2.24522
46 2.84451 -2.1596
47 2.84626 -2.07359
48 2.84213 -1.98757
49 2.83186 -1.90196
50 2.81523 -1.81723
51 2.79198 -1.73395
52 2.76192 -1.65275
53 2.72486 -1.57437
54 2.68069 -1.49967
55 2.62937 -1.42967
56 2.571 -1.36552
57 2.50587 -1.30861
58 2.43458 -1.26053
59 2.35808 -1.22308
60 2.27788 -1.19831
61 2.19611 -1.18835
62 2.11561 -1.19526
63 2.03984 -1.22066
64 1.97258 -1.26508
65 1.9174 -1.32737
66 1.87718 -1.40434
67 1.85366 -1.49113
68 1.84744 -1.58223
69 1.85801 -1.67262
70 1.884 -1.75842
71 1.92354 -1.83703
72 1.97455 -1.90692
73 2.03493 -1.96734
74 2.10278 -2.01808
75 2.17637 -2.05923
76 2.25426 -2.09109
77 2.33517 -2.11406
78 2.41808 -2.1286
79 2.50209 -2.13516
80 2.58647 -2.13423
81 2.67061 -2.12625
82 2.75399 -2.11168
83 2.83616 -2.09092
84 2.91675 -2.06437
85 2.99546 -2.03241
86 3.072 -1.99538
87 3.14614 -1.95361
88 3.21769 -1.90743
89 3.28646 -1.85712
90 3.3523 -1.80296
91 3.41507 -1.74522
92 3.47466 -1.68415
93 3.53096 -1.62
94 3.58387 -1.553
95 3.63331 -1.48337
96 3.67919 -1.41133
97 3.72144 -1.3371
98 3.76 -1.26086
99 3.79481 -1.18283
100 3.8258 -1.1032
101 3.85294 -1.02217
102 3.87615 -0.939923
103 3.89541 -0.856654
104 3.91067 -0.772553
105 3.92187 -0.687812
106 3.92899 -0.602623
107 3.93198 -0.517183
108 3.93081 -0.43169
109 3.92545 -0.346348
110 3.91586 -0.261365
111 3.90202 -0.176956
112 3.88389 -0.0933449
113 3.86147 -0.0107631
114 3.83472 0.0705469
115 3.80363 0.15033
116 3.7682 0.228319
117 3.72842 0.30423
118 3.68431 0.377759
119 3.63589 0.448587
120 3.58318 0.516367
121 3.52623 0.580731
122 3.46513 0.641278
123 3.39996 0.697579
124 3.33088 0.749166
125 3.25805 0.795537
126 3.18172 0.836143
127 3.1022 0.870394
128 3.01991 0.897654
129 2.93537 0.917247
130 2.84929 0.928458
131 2.76258 0.930554
132 2.67643 0.922808
133 2.59236 0.904544
134 2.51235 0.875213
135 2.43887 0.834494
136 2.37493 0.782443
137 2.32395 0.719675
138 2.28948 0.647563
139 2.27457 0.568427
140 2.28091 0.485616
141 2.30825 0.403367
142 2.35436 0.326302
143 2.41567 0.258661
144 2.48817 0.203589
145 2.56811 0.162834
146 2.65227 0.136873
147 2.73807 0.125269
148 2.82352 0.127038
149 2.90712 0.140943
150 2.98774 0.165675
151 3.06459 0.199961
152 3.13709 0.242615
153 3.20483 0.292558
154 3.26756 0.348823
155 3.3251 0.410548
156 3.37735 0.476965
157 3.42429 0.547391
158 3.4659 0.621217
159 3.50222 0.697901
160 3.5333 0.776952
161 3.55922 0.857932
162 3.58004 0.94044
163 3.59585 1.02411
164 3.60676 1.10862
165 3.61286 1.19365
166 3.61424 1.27893
167 3.61102 1.36419
168 3.60328 1.44919
169 3.59114 1.5337
170 3.5747 1.61749
171 3.55407 1.70037
172 3.52933 1.78213
173 3.50061 1.86258
174 3.46799 1.94155
175 3.4316 2.01886
176 3.39152 2.09434
177 3.34786 2.16781
178 3.30074 2.23911
179 3.25026 2.30808
180 3.19652 2.37456
181 3.13965 2.43838
182 3.07976 2.49939
183 3.01696 2.55741
184 2.95138 2.61229
185 2.88316 2.66386
186 2.81242 2.71195
187 2.73932 2.75639
188 2.664 2.79701
189 2.58663 2.83362
190 2.50738 2.86604
191 2.42644 2.89408
192 2.34402 2.91754
193 2.26033 2.93623
194 2.17564 2.94993
195 2.0902 2.95843
196 2.00432 2.96153
197 1.91834 2.95899
198 1.83264 2.95059
199 1.74765 2.93612
200 1.66385 2.91535
201 1.58181 2.88809
202 1.50217 2.85415
203 1.42565 2.8134
204 1.35313 2.76575
205 1.28559 2.71122
206 1.22418 2.64996
207 1.17023 2.58232
208 1.12529 2.50894
209 1.09108 2.43083
210 1.06954 2.34956
211 1.06269 2.26732
212 1.07245 2.18698
213 1.1003 2.11204
214 1.14669 2.04631
215 1.21046 1.99334
216 1.28844 1.95592
217 1.37581 1.93565
218 1.46703 1.93292
219 1.55703 1.94701
220 1.64188 1.97642
221 1.71897 2.01917
222 1.78681 2.07307
223 1.8447 2.13601
224 1.8925 2.20601
225 1.93038 2.28138
226 1.9587 2.36063
227 1.97792 2.44252
228 1.98856 2.526
229 1.99113 2.61022
230 1.98615 2.69445
231 1.9741 2.77809
232 1.95546 2.86064
233 1.93068 2.94168
234 1.90016 3.02085
235 1.86431 3.09785
236 1.82349 3.17243
237 1.77804 3.24436
238 1.7283 3.31348
239 1.67456 3.3796
240 1.61712 3.44259
241 1.55625 3.50234
242 1.49222 3.55872
243 1.42527 3.61166
244 1.35564 3.66105
245 1.28357 3.70684
246 1.20926 3.74895
247 1.13294 3.78732
248 1.05482 3.82189
249 0.975101 3.85262
250 0.893978 3.87946
251 0.811651 3.90237
252 0.728314 3.92131
253 0.644161 3.93623
254 0.559384 3.94712
255 0.474177 3.95393
256 0.388735 3.95663
257 0.303256 3.95521
258 0.217938 3.94963
259 0.132987 3.93987
260 0.0486116 3.92592
261 -0.0349715 3.90775
262 -0.117539 3.88535
263 -0.19886 3.85872
264 -0.278691 3.82784
265 -0.356779 3.79272
266 -0.432857 3.75336
267 -0.506643 3.70978
268 -0.577838 3.662
269 -0.646124 3.61006
270 -0.71116 3.55401
271 -0.772582 3.49391
272 -0.829999 3.42987
273 -0.88299 3.362
274 -0.931099 3.29046
275 -0.973838 3.21546
276 -1.01068 3.13726
277 -1.04105 3.05619
278 -1.06434 2.97269
279 -1.07992 2.88733
280 -1.08711 2.80082
281 -1.08522 2.7141
282 -1.0736 2.62835
283 -1.05165 2.54511
284 -1.01891 2.46633
285 -0.975172 2.39445
286 -0.920611 2.33242
287 -0.855971 2.28361
288 -0.782744 2.25149
289 -0.703326 2.23905
290 -0.621067 2.24798
291 -0.540125 2.27799
292 -0.464994 2.32675
293 -0.399782 2.39055
294 -0.347531 2.46522
295 -0.309903 2.54684
296 -0.287299 2.63212
297 -0.279204 2.71845
298 -0.28456 2.80384
299 -0.302059 2.88682
300 -0.33033 2.9663
301 -0.36805 3.04154
302 -0.41399 3.112
303 -0.467041 3.17733
304 -0.52621 3.23731
305 -0.590617 3.29181
306 -0.65948 3.34077
307 -0.732109 3.3842
308 -0.80789 3.42211
309 -0.886273 3.45458
310 -0.96677 3.48167
311 -1.04894 3.50348
312 -1.13239 3.52012
