n   x   y
265 2.70661 0.894068
266 2.72906 0.915248
267 2.7484 0.939203
268 2.7644 0.965469
269 2.77693 0.993587
270 2.78589 1.0231
271 2.79121 1.05357
272 2.7929 1.08456
273 2.79097 1.11567
274 2.78548 1.14648
275 2.77652 1.17661
276 2.76422 1.20569
277 2.74871 1.23336
278 2.73018 1.25928
279 2.70884 1.28311
280 2.68491 1.30453
281 2.65867 1.32325
282 2.63042 1.33899
283 2.60052 1.35147
284 2.56934 1.36047
285 2.53732 1.36579
286 2.50493 1.36724
287 2.47271 1.36472
288 2.44123 1.35815
289 2.41111 1.34755
290 2.38302 1.33301
291 2.35765 1.31471
292 2.33572 1.29295
293 2.3179 1.26815
294 2.30482 1.24085
295 2.29701 1.21173
296 2.29486 1.18157
297 2.29855 1.15125
298 2.30803 1.12167
299 2.32303 1.09378
300 2.34302 1.06846
301 2.36731 1.04649
302 2.39505 1.02854
303 2.42532 1.01509
304 2.45717 1.00645
305 2.4897 1.00273
306 2.52207 1.00392
307 2.55353 1.00984
308 2.58344 1.02022
309 2.61123 1.0347
310 2.63647 1.05285
311 2.65879 1.07424
312 2.67792 1.0984
313 2.69365 1.12484
314 2.70583 1.15309
315 2.71438 1.1827
316 2.71925 1.21321
317 2.72044 1.24418
318 2.718 1.27519
319 2.71199 1.30585
320 2.70251 1.33577
321 2.68969 1.36456
322 2.67369 1.39189
323 2.65471 1.41741
324 2.63295 1.44079
325 2.60866 1.46172
326 2.58211 1.47993
327 2.55362 1.49513
328 2.52352 1.50708
329 2.49221 1.51555
330 2.4601 1.52035
331 2.42768 1.52132
332 2.39545 1.51837
333 2.36397 1.51143
334 2.33385 1.50052
335 2.30575 1.48574
336 2.28032 1.46727
337 2.25827 1.44542
338 2.24026 1.42059
339 2.22691 1.39332
340 2.21876 1.36427
341 2.21621 1.33421
342 2.21947 1.30398
343 2.22854 1.2745
344 2.24317 1.2467
345 2.26288 1.22144
346 2.28698 1.19952
347 2.31463 1.18161
348 2.3449 1.16819
349 2.37684 1.15959
350 2.4095 1.15595
351 2.44201 1.15725
352 2.4736 1.16331
353 2.50359 1.17385
354 2.53141 1.18852
355 2.55662 1.20688
356 2.57883 1.22848
357 2.59777 1.25282
358 2.61323 1.27943
359 2.62508 1.30782
360 2.63324 1.33751
361 2.63767 1.36805
362 2.63838 1.39899
363 2.63544 1.42992
364 2.62891 1.46042
365 2.61892 1.49011
366 2.6056 1.51861
367 2.58912 1.54559
368 2.56969 1.5707
369 2.54753 1.59362
370 2.52289 1.61407
371 2.49604 1.63175
372 2.46731 1.6464
373 2.43703 1.6578
374 2.4056 1.66572
375 2.37343 1.67
376 2.34097 1.67048
377 2.30875 1.66707
378 2.2773 1.65973
379 2.24721 1.64849
380 2.21912 1.63344
381 2.19367 1.61478
382 2.17153 1.5928
383 2.15335 1.56791
384 2.13977 1.54063
385 2.1313 1.51162
386 2.12837 1.48161
387 2.1312 1.45146
388 2.13984 1.42206
389 2.15408 1.39432
390 2.17346 1.36911
391 2.19733 1.34723
392 2.22485 1.32935
393 2.2551 1.31596
394 2.28708 1.30741
395 2.31985 1.30385
396 2.3525 1.30524
397 2.38421 1.31143
398 2.4143 1.32214
399 2.44217 1.33699
400 2.46735 1.35555
401 2.48946 1.37735
402 2.50823 1.40188
403 2.52345 1.42866
404 2.53499 1.45717
405 2.54277 1.48695
406 2.54677 1.51752
407 2.54703 1.54843
408 2.54359 1.57926
409 2.53657 1.60959
410 2.52607 1.63905
411 2.51226 1.66726
412 2.49532 1.69388
413 2.47546 1.71857
414 2.4529 1.74104
415 2.42791 1.76098
416 2.40078 1.77812
417 2.37182 1.79223
418 2.34138 1.80306
419 2.30983 1.81043
420 2.2776 1.81416
421 2.24514 1.81414
422 2.21294 1.81026
423 2.18154 1.8025
424 2.15151 1.7909
425 2.12345 1.77556
426 2.098 1.75667
427 2.07581 1.73453
428 2.05751 1.70955
429 2.04372 1.68223
430 2.03497 1.65322
431 2.03167 1.62324
432 2.03409 1.59314
433 2.0423 1.56379
434 2.05611 1.53609
435 2.07513 1.51092
436 2.09873 1.48906
437 2.12608 1.4712
438 2.15626 1.45784
439 2.18827 1.44933
440 2.22112 1.44583
441 2.25389 1.44732
442 2.28573 1.45364
443 2.31592 1.46451
444 2.34384 1.47955
445 2.36902 1.4983
446 2.39105 1.52029
447 2.40967 1.54501
448 2.42466 1.57195
449 2.4359 1.60059
450 2.44332 1.63044
451 2.44692 1.66104
452 2.44673 1.69191
453 2.44282 1.72264
454 2.4353 1.75281
455 2.42432 1.78203
456 2.41003 1.80994
457 2.39263 1.83619
458 2.37234 1.86047
459 2.34941 1.88246
460 2.32409 1.90189
461 2.29668 1.9185
462 2.2675 1.93204
463 2.2369 1.94231
464 2.20526 1.94911
465 2.17298 1.95229
466 2.14053 1.95174
467 2.10838 1.94738
468 2.07704 1.93919
469 2.04709 1.9272
470 2.0191 1.91155
471 1.99368 1.89241
472 1.97147 1.87009
473 1.95309 1.84498
474 1.93913 1.81759
475 1.93012 1.78855
476 1.92649 1.75857
477 1.92851 1.72848
478 1.93628 1.69915
479 1.94967 1.67148
480 1.9683 1.64632
481 1.99158 1.62447
482 2.01872 1.60662
483 2.04879 1.59328
484 2.08079 1.5848
485 2.1137 1.58136
486 2.14657 1.58294
487 2.17853 1.58939
488 2.20882 1.60041
489 2.23682 1.61562
490 2.262 1.63457
491 2.28397 1.65675
492 2.30245 1.68165
493 2.31723 1.70875
494 2.32819 1.73751
495 2.33528 1.76745
496 2.33848 1.79807
497 2.33786 1.8289
498 2.33349 1.85953
499 2.3255 1.88952
500 2.31404 1.91851
501 2.29929 1.94611
502 2.28145 1.972
503 2.26075 1.99585
504 2.23744 2.01737
505 2.2118 2.03628
506 2.18412 2.05234
507 2.15474 2.06532
508 2.12399 2.075
509 2.09226 2.08123
510 2.05996 2.08385
511 2.02753 2.08276
512 1.99544 2.0779
513 1.96419 2.06926
514 1.93434 2.05688
515 1.90644 2.04089
516 1.8811 2.02148
517 1.85891 1.99895
518 1.84048 1.97368
519 1.82639 1.9462
520 1.81716 1.91709
521 1.81322 1.88709
522 1.81487 1.85699
523 1.82221 1.82765
524 1.83516 1.79997
525 1.85339 1.7748
526 1.87632 1.75295
527 1.90321 1.73509
528 1.93313 1.72175
529 1.96507 1.7133
530 1.99802 1.7099
531 2.03098 1.71157
532 2.06305 1.71813
533 2.09344 1.7293
534 2.12151 1.74469
535 2.14671 1.76382
536 2.16864 1.7862
537 2.187 1.81129
538 2.20159 1.83854
539 2.21229 1.86743
540 2.21905 1.89744
541 2.22188 1.92808
542 2.22084 1.95888
543 2.21603 1.9894
544 2.20758 2.01922
545 2.19565 2.04796
546 2.18045 2.07526
547 2.16218 2.10077
548 2.14108 2.1242
549 2.11741 2.14524
550 2.09146 2.16363
551 2.06353 2.17914
552 2.03395 2.19154
553 2.00307 2.20064
554 1.97127 2.20628
555 1.93896 2.20833
556 1.90656 2.20669
557 1.87455 2.20132
558 1.84341 2.19221
559 1.81368 2.17943
560 1.78591 2.16308
561 1.76066 2.14338
562 1.73853 2.12062
563 1.72009 2.09518
564 1.70591 2.06757
565 1.69651 2.03838
566 1.6923 2.00832
567 1.6936 1.97818
