n	x	y	z
171 1.82978 -1.56047 -0.602364
172 1.81829 -1.5606 -0.61414
173 1.80724 -1.56103 -0.626354
174 1.79662 -1.56172 -0.639012
175 1.78648 -1.56264 -0.652119
176 1.77681 -1.56375 -0.665678
177 1.76764 -1.56501 -0.679685
178 1.75897 -1.56636 -0.694134
179 1.75082 -1.56778 -0.709017
180 1.74319 -1.5692 -0.724319
181 1.73609 -1.57058 -0.740024
182 1.72951 -1.57188 -0.756109
183 1.72347 -1.57304 -0.77255
184 1.71794 -1.57401 -0.789317
185 1.71294 -1.57476 -0.806377
186 1.70844 -1.57523 -0.823692
187 1.70446 -1.57538 -0.841224
188 1.70096 -1.57518 -0.858928
189 1.69795 -1.57457 -0.876758
190 1.69541 -1.57353 -0.894664
191 1.69332 -1.57202 -0.912596
192 1.69168 -1.57001 -0.930499
193 1.69045 -1.56748 -0.948319
194 1.68963 -1.56441 -0.965998
195 1.6892 -1.56077 -0.983478
196 1.68913 -1.55656 -1.0007
197 1.68941 -1.55175 -1.01761
198 1.69001 -1.54636 -1.03414
199 1.69093 -1.54036 -1.05024
200 1.69212 -1.53377 -1.06584
201 1.69358 -1.52659 -1.0809
202 1.69528 -1.51883 -1.09534
203 1.69719 -1.51049 -1.10913
204 1.6993 -1.5016 -1.1222
205 1.70158 -1.49217 -1.1345
206 1.70399 -1.48223 -1.14598
207 1.70653 -1.4718 -1.1566
208 1.70916 -1.4609 -1.1663
209 1.71185 -1.44957 -1.17506
210 1.71458 -1.43784 -1.18282
211 1.71732 -1.42574 -1.18956
212 1.72004 -1.41331 -1.19523
213 1.7227 -1.40059 -1.19982
214 1.72528 -1.38761 -1.2033
215 1.72775 -1.37444 -1.20565
216 1.73007 -1.36109 -1.20684
217 1.73221 -1.34763 -1.20688
218 1.73413 -1.3341 -1.20576
219 1.7358 -1.32054 -1.20346
220 1.73718 -1.30701 -1.20001
221 1.73824 -1.29356 -1.1954
222 1.73894 -1.28024 -1.18967
223 1.73924 -1.2671 -1.18282
224 1.7391 -1.2542 -1.17489
225 1.7385 -1.24159 -1.16592
226 1.73739 -1.22933 -1.15596
227 1.73575 -1.21747 -1.14505
228 1.73355 -1.20607 -1.13326
229 1.73075 -1.19519 -1.12066
230 1.72733 -1.18489 -1.10733
231 1.72328 -1.17522 -1.09335
232 1.71858 -1.16624 -1.07882
233 1.71321 -1.15801 -1.06385
234 1.70719 -1.15058 -1.04854
235 1.70051 -1.144 -1.03303
236 1.6932 -1.13833 -1.01745
237 1.68527 -1.13361 -1.00192
238 1.67676 -1.12989 -0.98661
239 1.66771 -1.1272 -0.971653
240 1.65818 -1.12558 -0.957209
241 1.64823 -1.12506 -0.943435
242 1.63794 -1.12565 -0.930486
243 1.6274 -1.12735 -0.918518
244 1.6167 -1.13016 -0.907679
245 1.60595 -1.13407 -0.89811
246 1.59524 -1.13904 -0.889941
247 1.58469 -1.14503 -0.88329
248 1.57442 -1.15197 -0.878254
249 1.56452 -1.15979 -0.874914
250 1.55512 -1.16839 -0.873328
251 1.5463 -1.17768 -0.873531
252 1.53815 -1.18753 -0.875533
253 1.53077 -1.19781 -0.879317
254 1.52421 -1.20839 -0.884845
255 1.51854 -1.21912 -0.89205
256 1.51379 -1.22987 -0.900848
257 1.51001 -1.2405 -0.91113
258 1.50721 -1.25087 -0.922772
259 1.5054 -1.26085 -0.935634
260 1.50458 -1.27033 -0.949565
261 1.50473 -1.2792 -0.964405
262 1.50585 -1.28737 -0.979986
263 1.50789 -1.29476 -0.996142
264 1.51084 -1.30131 -1.0127
265 1.51465 -1.30698 -1.0295
266 1.51928 -1.31172 -1.04637
267 1.52469 -1.31553 -1.06315
268 1.53084 -1.31838 -1.0797
269 1.53768 -1.32029 -1.09587
270 1.54515 -1.32128 -1.11153
271 1.55321 -1.32136 -1.12656
272 1.56181 -1.32056 -1.14083
273 1.5709 -1.31893 -1.15424
274 1.58042 -1.31652 -1.16671
275 1.59033 -1.31336 -1.17814
276 1.60058 -1.30952 -1.18846
277 1.6111 -1.30506 -1.19762
278 1.62186 -1.30002 -1.20554
279 1.63281 -1.29447 -1.2122
