n	rho	drho
0 3 52
1 3.00104 51.8929
2 3.00208 51.7856
3 3.00311 51.6781
4 3.00414 51.5704
5 3.00517 51.4625
6 3.0062 51.3545
7 3.00723 51.2463
8 3.00825 51.1379
9 3.00927 51.0293
10 3.01029 50.9206
11 3.01131 50.8117
12 3.01232 50.7026
13 3.01334 50.5934
14 3.01435 50.484
15 3.01536 50.3744
16 3.01636 50.2647
17 3.01737 50.1548
18 3.01837 50.0448
19 3.01937 49.9346
20 3.02037 49.8242
21 3.02136 49.7137
22 3.02236 49.603
23 3.02335 49.4922
24 3.02434 49.3812
25 3.02532 49.2701
26 3.02631 49.1589
27 3.02729 49.0474
28 3.02827 48.9359
29 3.02925 48.8242
30 3.03022 48.7123
31 3.03119 48.6004
32 3.03217 48.4882
33 3.03313 48.376
34 3.0341 48.2636
35 3.03506 48.151
36 3.03603 48.0384
37 3.03699 47.9256
38 3.03794 47.8126
39 3.0389 47.6996
40 3.03985 47.5864
41 3.0408 47.473
42 3.04175 47.3596
43 3.0427 47.246
44 3.04364 47.1323
45 3.04458 47.0185
46 3.04552 46.9045
47 3.04646 46.7905
48 3.04739 46.6763
49 3.04832 46.562
50 3.04925 46.4475
51 3.05018 46.333
52 3.05111 46.2183
53 3.05203 46.1036
54 3.05295 45.9887
55 3.05387 45.8737
56 3.05479 45.7586
57 3.0557 45.6433
58 3.05661 45.528
59 3.05752 45.4126
60 3.05843 45.297
61 3.05933 45.1814
62 3.06024 45.0656
63 3.06114 44.9498
64 3.06203 44.8338
65 3.06293 44.7178
66 3.06382 44.6016
67 3.06471 44.4853
68 3.0656 44.369
69 3.06649 44.2525
70 3.06737 44.136
71 3.06825 44.0193
72 3.06913 43.9026
73 3.07001 43.7857
74 3.07089 43.6688
75 3.07176 43.5518
76 3.07263 43.4346
77 3.07349 43.3174
78 3.07436 43.2001
79 3.07522 43.0827
80 3.07608 42.9653
81 3.07694 42.8477
82 3.0778 42.7301
83 3.07865 42.6123
84 3.0795 42.4945
85 3.08035 42.3766
86 3.0812 42.2586
87 3.08204 42.1406
88 3.08288 42.0224
89 3.08372 41.9042
90 3.08456 41.7859
91 3.08539 41.6675
92 3.08623 41.5491
93 3.08705 41.4305
94 3.08788 41.3119
95 3.08871 41.1932
96 3.08953 41.0745
97 3.09035 40.9556
98 3.09117 40.8367
99 3.09198 40.7177
100 3.0928 40.5987
101 3.09361 40.4796
102 3.09442 40.3604
103 3.09522 40.2411
104 3.09603 40.1218
105 3.09683 40.0024
106 3.09763 39.8829
107 3.09842 39.7634
108 3.09922 39.6438
109 3.10001 39.5241
110 3.1008 39.4044
111 3.10158 39.2846
112 3.10237 39.1648
113 3.10315 39.0448
114 3.10393 38.9249
115 3.10471 38.8048
116 3.10548 38.6847
117 3.10626 38.5646
118 3.10703 38.4444
119 3.10779 38.3241
120 3.10856 38.2037
121 3.10932 38.0834
122 3.11008 37.9629
123 3.11084 37.8424
124 3.1116 37.7218
125 3.11235 37.6012
126 3.1131 37.4806
127 3.11385 37.3598
128 3.11459 37.2391
129 3.11534 37.1182
130 3.11608 36.9974
131 3.11682 36.8764
132 3.11755 36.7555
133 3.11829 36.6344
134 3.11902 36.5133
135 3.11975 36.3922
136 3.12047 36.271
137 3.1212 36.1498
138 3.12192 36.0285
139 3.12264 35.9072
140 3.12336 35.7859
141 3.12407 35.6644
