n	rho	drho
0 3 8
1 3.00016 7.89295
2 3.00032 7.78586
3 3.00047 7.67875
4 3.00062 7.57161
5 3.00077 7.46445
6 3.00092 7.35725
7 3.00107 7.25003
8 3.00121 7.14279
9 3.00135 7.03552
10 3.00149 6.92822
11 3.00163 6.8209
12 3.00177 6.71356
13 3.0019 6.6062
14 3.00203 6.49881
15 3.00216 6.3914
16 3.00229 6.28397
17 3.00241 6.17651
18 3.00253 6.06904
19 3.00265 5.96155
20 3.00277 5.85403
21 3.00289 5.7465
22 3.003 5.63895
23 3.00311 5.53139
24 3.00322 5.4238
25 3.00333 5.3162
26 3.00343 5.20858
27 3.00354 5.10095
28 3.00364 4.9933
29 3.00374 4.88564
30 3.00383 4.77796
31 3.00393 4.67027
32 3.00402 4.56256
33 3.00411 4.45485
34 3.0042 4.34712
35 3.00429 4.23938
36 3.00437 4.13162
37 3.00445 4.02386
38 3.00453 3.91609
39 3.00461 3.80831
40 3.00468 3.70051
41 3.00476 3.59271
42 3.00483 3.48491
43 3.00489 3.37709
44 3.00496 3.26927
45 3.00503 3.16144
46 3.00509 3.0536
47 3.00515 2.94576
48 3.00521 2.83791
49 3.00526 2.73006
50 3.00531 2.62221
51 3.00537 2.51435
52 3.00542 2.40649
53 3.00546 2.29862
54 3.00551 2.19076
55 3.00555 2.08289
56 3.00559 1.97502
57 3.00563 1.86715
58 3.00567 1.75928
59 3.0057 1.65141
60 3.00573 1.54355
61 3.00576 1.43568
62 3.00579 1.32781
63 3.00581 1.21995
64 3.00584 1.11209
65 3.00586 1.00424
66 3.00588 0.896387
67 3.00589 0.78854
68 3.00591 0.680697
69 3.00592 0.572861
70 3.00593 0.46503
71 3.00594 0.357206
72 3.00595 0.249388
73 3.00595 0.141579
74 3.00595 0.0337769
75 3.00595 -0.0740164
76 3.00595 -0.181801
77 3.00594 -0.289575
78 3.00594 -0.39734
79 3.00593 -0.505095
80 3.00592 -0.612838
81 3.0059 -0.72057
82 3.00589 -0.828289
83 3.00587 -0.935997
84 3.00585 -1.04369
85 3.00583 -1.15137
86 3.0058 -1.25904
87 3.00578 -1.36669
88 3.00575 -1.47433
89 3.00572 -1.58195
90 3.00569 -1.68955
91 3.00565 -1.79714
92 3.00561 -1.90471
93 3.00558 -2.01227
94 3.00553 -2.1198
95 3.00549 -2.22732
96 3.00545 -2.33482
97 3.0054 -2.4423
98 3.00535 -2.54976
99 3.0053 -2.65719
100 3.00524 -2.76461
101 3.00519 -2.87201
102 3.00513 -2.97938
103 3.00507 -3.08673
104 3.005 -3.19405
105 3.00494 -3.30136
106 3.00487 -3.40863
107 3.0048 -3.51589
108 3.00473 -3.62312
109 3.00466 -3.73032
110 3.00458 -3.83749
111 3.0045 -3.94464
112 3.00442 -4.05176
113 3.00434 -4.15886
114 3.00426 -4.26592
115 3.00417 -4.37296
116 3.00408 -4.47996
117 3.00399 -4.58694
118 3.0039 -4.69389
119 3.0038 -4.8008
120 3.00371 -4.90768
121 3.00361 -5.01453
122 3.00351 -5.12135
123 3.0034 -5.22813
124 3.0033 -5.33488
125 3.00319 -5.4416
126 3.00308 -5.54828
127 3.00297 -5.65493
128 3.00285 -5.76153
129 3.00274 -5.86811
130 3.00262 -5.97464
131 3.0025 -6.08114
132 3.00238 -6.1876
133 3.00225 -6.29402
134 3.00212 -6.4004
135 3.00199 -6.50674
136 3.00186 -6.61304
137 3.00173 -6.7193
138 3.00159 -6.82552
139 3.00146 -6.9317
140 3.00132 -7.03783
141 3.00118 -7.14392
142 3.00103 -7.24996
143 3.00089 -7.35597
144 3.00074 -7.46192
145 3.00059 -7.56783
146 3.00043 -7.6737
147 3.00028 -7.77951
148 3.00012 -7.88528
149 2.99996 -7.99101
150 2.9998 -8.09668
151 2.99964 -8.20231
152 2.99948 -8.30788
153 2.99931 -8.41341
154 2.99914 -8.51888
155 2.99897 -8.6243
156 2.99879 -8.72967
157 2.99862 -8.83499
158 2.99844 -8.94026
159 2.99826 -9.04547
160 2.99808 -9.15062
161 2.99789 -9.25573
162 2.99771 -9.36077
163 2.99752 -9.46576
164 2.99733 -9.57069
165 2.99714 -9.67557
166 2.99694 -9.78039
167 2.99675 -9.88514
168 2.99655 -9.98984
169 2.99635 -10.0945
170 2.99614 -10.1991
171 2.99594 -10.3036
172 2.99573 -10.408
173 2.99552 -10.5124
174 2.99531 -10.6168
175 2.9951 -10.721
176 2.99488 -10.8252
177 2.99466 -10.9294
178 2.99444 -11.0334
179 2.99422 -11.1374
180 2.994 -11.2414
181 2.99377 -11.3452
182 2.99355 -11.449
183 2.99332 -11.5528
184 2.99308 -11.6564
185 2.99285 -11.76
186 2.99261 -11.8636
187 2.99237 -11.967
188 2.99213 -12.0704
189 2.99189 -12.1737
190 2.99165 -12.2769
191 2.9914 -12.3801
192 2.99115 -12.4832
193 2.9909 -12.5862
194 2.99065 -12.6891
195 2.99039 -12.7919
196 2.99014 -12.8947
197 2.98988 -12.9974
198 2.98962 -13.1
199 2.98935 -13.2026
200 2.98909 -13.305
201 2.98882 -13.4074
202 2.98855 -13.5097
203 2.98828 -13.6119
204 2.98801 -13.714
205 2.98773 -13.8161
206 2.98746 -13.918
207 2.98718 -14.0199
208 2.98689 -14.1217
209 2.98661 -14.2234
210 2.98633 -14.325
211 2.98604 -14.4265
212 2.98575 -14.528
213 2.98546 -14.6293
214 2.98516 -14.7306
215 2.98487 -14.8317
216 2.98457 -14.9328
217 2.98427 -15.0338
218 2.98397 -15.1347
219 2.98367 -15.2355
220 2.98336 -15.3362
221 2.98305 -15.4368
222 2.98274 -15.5373
223 2.98243 -15.6377
224 2.98212 -15.738
225 2.9818 -15.8382
226 2.98148 -15.9383
227 2.98116 -16.0383
228 2.98084 -16.1382
229 2.98052 -16.238
230 2.98019 -16.3377
231 2.97986 -16.4373
232 2.97953 -16.5368
233 2.9792 -16.6361
234 2.97887 -16.7354
235 2.97853 -16.8346
236 2.9782 -16.9337
237 2.97786 -17.0326
238 2.97751 -17.1314
239 2.97717 -17.2302
240 2.97683 -17.3288
241 2.97648 -17.4273
242 2.97613 -17.5257
243 2.97578 -17.624
