n	rho	drho
0 3 46
1 3.00092 45.8929
2 3.00184 45.7856
3 3.00275 45.6781
4 3.00366 45.5705
5 3.00457 45.4628
6 3.00548 45.3549
7 3.00639 45.2468
8 3.00729 45.1385
9 3.00819 45.0302
10 3.00909 44.9216
11 3.00999 44.8129
12 3.01088 44.7041
13 3.01178 44.5951
14 3.01267 44.486
15 3.01356 44.3767
16 3.01444 44.2673
17 3.01533 44.1577
18 3.01621 44.048
19 3.01709 43.9381
20 3.01797 43.8282
21 3.01884 43.718
22 3.01972 43.6078
23 3.02059 43.4974
24 3.02146 43.3868
25 3.02232 43.2762
26 3.02319 43.1654
27 3.02405 43.0544
28 3.02491 42.9434
29 3.02577 42.8322
30 3.02662 42.7209
31 3.02748 42.6094
32 3.02833 42.4979
33 3.02918 42.3862
34 3.03002 42.2744
35 3.03087 42.1624
36 3.03171 42.0504
37 3.03255 41.9382
38 3.03339 41.8259
39 3.03422 41.7135
40 3.03506 41.601
41 3.03589 41.4883
42 3.03671 41.3756
43 3.03754 41.2627
44 3.03837 41.1497
45 3.03919 41.0366
46 3.04001 40.9234
47 3.04082 40.8101
48 3.04164 40.6967
49 3.04245 40.5831
50 3.04326 40.4695
51 3.04407 40.3558
52 3.04488 40.2419
53 3.04568 40.128
54 3.04648 40.0139
55 3.04728 39.8998
56 3.04808 39.7855
57 3.04887 39.6712
58 3.04966 39.5567
59 3.05045 39.4422
60 3.05124 39.3275
61 3.05203 39.2128
62 3.05281 39.0979
63 3.05359 38.983
64 3.05437 38.868
65 3.05515 38.7529
66 3.05592 38.6377
67 3.05669 38.5224
68 3.05746 38.407
69 3.05823 38.2915
70 3.05899 38.1759
71 3.05976 38.0603
72 3.06052 37.9445
73 3.06127 37.8287
74 3.06203 37.7128
75 3.06278 37.5968
76 3.06353 37.4807
77 3.06428 37.3646
78 3.06503 37.2483
79 3.06577 37.132
80 3.06651 37.0156
81 3.06725 36.8991
82 3.06799 36.7826
83 3.06872 36.6659
84 3.06945 36.5492
85 3.07018 36.4324
86 3.07091 36.3156
87 3.07164 36.1986
88 3.07236 36.0816
89 3.07308 35.9645
90 3.0738 35.8473
91 3.07451 35.7301
92 3.07523 35.6128
93 3.07594 35.4954
94 3.07665 35.378
95 3.07735 35.2605
96 3.07806 35.1429
97 3.07876 35.0252
98 3.07946 34.9075
99 3.08016 34.7897
100 3.08085 34.6719
101 3.08154 34.5539
102 3.08223 34.436
103 3.08292 34.3179
104 3.08361 34.1998
105 3.08429 34.0816
106 3.08497 33.9634
107 3.08565 33.8451
108 3.08632 33.7268
109 3.087 33.6083
110 3.08767 33.4899
111 3.08834 33.3713
112 3.089 33.2527
113 3.08967 33.1341
114 3.09033 33.0154
115 3.09099 32.8966
116 3.09164 32.7778
117 3.0923 32.6589
118 3.09295 32.54
119 3.0936 32.421
120 3.09425 32.302
121 3.09489 32.1829
122 3.09553 32.0637
123 3.09617 31.9445
124 3.09681 31.8253
125 3.09745 31.706
126 3.09808 31.5866
