n	rho	drho
0 3 26
1 3.00052 25.8929
2 3.00104 25.7857
3 3.00155 25.6785
4 3.00206 25.5711
5 3.00257 25.4637
6 3.00308 25.3561
7 3.00359 25.2485
8 3.00409 25.1408
9 3.00459 25.033
10 3.00509 24.9251
11 3.00559 24.8171
12 3.00609 24.709
13 3.00658 24.6009
14 3.00707 24.4927
15 3.00756 24.3843
16 3.00804 24.276
17 3.00853 24.1675
18 3.00901 24.0589
19 3.00949 23.9503
20 3.00997 23.8416
21 3.01045 23.7328
22 3.01092 23.6239
23 3.01139 23.515
24 3.01186 23.406
25 3.01233 23.2969
26 3.01279 23.1877
27 3.01325 23.0784
28 3.01371 22.9691
29 3.01417 22.8597
30 3.01463 22.7503
31 3.01508 22.6407
32 3.01553 22.5311
33 3.01598 22.4214
34 3.01643 22.3117
35 3.01688 22.2019
36 3.01732 22.092
37 3.01776 21.9821
38 3.0182 21.872
39 3.01863 21.762
40 3.01907 21.6518
41 3.0195 21.5416
42 3.01993 21.4313
43 3.02036 21.321
44 3.02078 21.2106
45 3.02121 21.1001
46 3.02163 20.9896
47 3.02205 20.879
48 3.02246 20.7684
49 3.02288 20.6577
50 3.02329 20.5469
51 3.0237 20.4361
52 3.02411 20.3252
53 3.02451 20.2143
54 3.02492 20.1033
55 3.02532 19.9922
56 3.02571 19.8811
57 3.02611 19.77
58 3.02651 19.6587
59 3.0269 19.5475
60 3.02729 19.4361
61 3.02768 19.3248
62 3.02806 19.2133
63 3.02844 19.1019
64 3.02882 18.9903
65 3.0292 18.8788
66 3.02958 18.7671
67 3.02995 18.6554
68 3.03033 18.5437
69 3.0307 18.4319
70 3.03106 18.3201
71 3.03143 18.2083
72 3.03179 18.0963
73 3.03215 17.9844
74 3.03251 17.8724
75 3.03287 17.7603
76 3.03322 17.6482
77 3.03357 17.5361
78 3.03392 17.4239
79 3.03427 17.3117
80 3.03462 17.1994
81 3.03496 17.0871
82 3.0353 16.9747
83 3.03564 16.8623
84 3.03597 16.7499
85 3.03631 16.6374
86 3.03664 16.5249
87 3.03697 16.4124
88 3.0373 16.2998
89 3.03762 16.1872
90 3.03794 16.0745
91 3.03826 15.9618
92 3.03858 15.8491
93 3.0389 15.7363
94 3.03921 15.6235
95 3.03952 15.5106
96 3.03983 15.3978
97 3.04014 15.2849
98 3.04044 15.1719
99 3.04074 15.0589
100 3.04104 14.9459
101 3.04134 14.8329
102 3.04164 14.7198
103 3.04193 14.6067
104 3.04222 14.4936
105 3.04251 14.3804
106 3.0428 14.2672
107 3.04308 14.154
108 3.04336 14.0408
109 3.04364 13.9275
110 3.04392 13.8142
111 3.0442 13.7009
112 3.04447 13.5875
113 3.04474 13.4741
114 3.04501 13.3607
115 3.04527 13.2473
116 3.04554 13.1338
117 3.0458 13.0203
118 3.04606 12.9068
119 3.04632 12.7933
120 3.04657 12.6797
121 3.04682 12.5662
122 3.04707 12.4526
123 3.04732 12.3389
124 3.04757 12.2253
125 3.04781 12.1116
126 3.04805 11.998
127 3.04829 11.8842
128 3.04853 11.7705
129 3.04876 11.6568
130 3.04899 11.543
131 3.04922 11.4292
132 3.04945 11.3154
133 3.04967 11.2016
134 3.0499 11.0878
135 3.05012 10.9739
136 3.05034 10.8601
137 3.05055 10.7462
138 3.05077 10.6323
139 3.05098 10.5184
140 3.05119 10.4045
141 3.05139 10.2905
142 3.0516 10.1766
143 3.0518 10.0626
144 3.052 9.94861
145 3.0522 9.83462
146 3.05239 9.72061
147 3.05259 9.6066
148 3.05278 9.49257
149 3.05297 9.37853
150 3.05315 9.26448
151 3.05334 9.15042
152 3.05352 9.03635
153 3.0537 8.92227
154 3.05388 8.80818
155 3.05405 8.69409
156 3.05422 8.57998
157 3.0544 8.46587
158 3.05456 8.35175
159 3.05473 8.23763
160 3.05489 8.1235
161 3.05505 8.00936
162 3.05521 7.89521
163 3.05537 7.78106
164 3.05552 7.66691
165 3.05568 7.55275
166 3.05583 7.43859
167 3.05597 7.32442
168 3.05612 7.21026
169 3.05626 7.09608
170 3.0564 6.98191
171 3.05654 6.86773
172 3.05668 6.75355
173 3.05681 6.63937
174 3.05694 6.52519
175 3.05707 6.41101
176 3.0572 6.29683
177 3.05733 6.18265
178 3.05745 6.06847
179 3.05757 5.95429
180 3.05769 5.84011
181 3.0578 5.72594
182 3.05791 5.61176
183 3.05803 5.49759
184 3.05813 5.38342
185 3.05824 5.26926
186 3.05835 5.1551
187 3.05845 5.04094
188 3.05855 4.92679
189 3.05864 4.81264
190 3.05874 4.6985
191 3.05883 4.58436
192 3.05892 4.47023
193 3.05901 4.35611
194 3.0591 4.24199
195 3.05918 4.12788
196 3.05926 4.01378
197 3.05934 3.89968
198 3.05942 3.7856
199 3.05949 3.67152
200 3.05957 3.55745
201 3.05964 3.44339
202 3.0597 3.32935
203 3.05977 3.21531
204 3.05983 3.10128
205 3.05989 2.98727
206 3.05995 2.87326
207 3.06001 2.75927
208 3.06006 2.64529
209 3.06011 2.53132
210 3.06016 2.41737
211 3.06021 2.30343
212 3.06025 2.1895
213 3.0603 2.07559
214 3.06034 1.96169
215 3.06038 1.84781
216 3.06041 1.73394
217 3.06045 1.62009
218 3.06048 1.50626
219 3.06051 1.39244
220 3.06053 1.27864
221 3.06056 1.16486
222 3.06058 1.05109
223 3.0606 0.937343
224 3.06062 0.823614
225 3.06063 0.709905
226 3.06064 0.596215
227 3.06066 0.482544
228 3.06066 0.368894
229 3.06067 0.255265
230 3.06067 0.141657
231 3.06068 0.0280701
232 3.06068 -0.0854947
233 3.06067 -0.199037
234 3.06067 -0.312557
235 3.06066 -0.426054
236 3.06065 -0.539527
237 3.06064 -0.652976
238 3.06062 -0.766401
239 3.06061 -0.879801
240 3.06059 -0.993176
241 3.06057 -1.10653
242 3.06054 -1.21985
243 3.06052 -1.33315
244 3.06049 -1.44642
245 3.06046 -1.55966
246 3.06043 -1.67287
247 3.06039 -1.78606
248 3.06036 -1.89922
249 3.06032 -2.01235
250 3.06028 -2.12545
251 3.06023 -2.23852
252 3.06019 -2.35156
253 3.06014 -2.46457
254 3.06009 -2.57755
255 3.06004 -2.6905
256 3.05998 -2.80341
257 3.05992 -2.9163
258 3.05986 -3.02915
259 3.0598 -3.14196
260 3.05974 -3.25475
261 3.05967 -3.3675
262 3.0596 -3.48021
263 3.05953 -3.59289
264 3.05946 -3.70554
265 3.05939 -3.81814
266 3.05931 -3.93072
267 3.05923 -4.04325
268 3.05915 -4.15575
269 3.05906 -4.26821
270 3.05898 -4.38063
271 3.05889 -4.49302
272 3.0588 -4.60536
273 3.0587 -4.71767
274 3.05861 -4.82994
275 3.05851 -4.94216
276 3.05841 -5.05435
277 3.05831 -5.16649
278 3.0582 -5.27859
279 3.0581 -5.39065
280 3.05799 -5.50267
281 3.05788 -5.61464
282 3.05776 -5.72657
283 3.05765 -5.83846
284 3.05753 -5.9503
285 3.05741 -6.0621
286 3.05729 -6.17385
287 3.05716 -6.28555
288 3.05704 -6.39721
289 3.05691 -6.50882
290 3.05677 -6.62039
291 3.05664 -6.7319
292 3.05651 -6.84337
293 3.05637 -6.95479
294 3.05623 -7.06616
