n	rho	drho
0 3 2
1 3.00004 1.89296
2 3.00008 1.78591
3 3.00011 1.67885
4 3.00014 1.57178
5 3.00017 1.46471
6 3.0002 1.35764
7 3.00023 1.25055
8 3.00025 1.14347
9 3.00027 1.03638
10 3.00029 0.929284
11 3.00031 0.822188
12 3.00033 0.715089
13 3.00034 0.607987
14 3.00035 0.500885
15 3.00036 0.393781
16 3.00037 0.286677
17 3.00037 0.179573
18 3.00037 0.0724698
19 3.00037 -0.0346325
20 3.00037 -0.141733
21 3.00037 -0.248832
22 3.00036 -0.355928
23 3.00035 -0.463021
24 3.00034 -0.57011
25 3.00033 -0.677195
26 3.00032 -0.784275
27 3.0003 -0.89135
28 3.00028 -0.99842
29 3.00026 -1.10548
30 3.00024 -1.21254
31 3.00021 -1.31959
32 3.00018 -1.42663
33 3.00015 -1.53366
34 3.00012 -1.64069
35 3.00009 -1.7477
36 3.00005 -1.85471
37 3.00001 -1.9617
38 2.99997 -2.06869
39 2.99993 -2.17566
40 2.99989 -2.28262
41 2.99984 -2.38957
42 2.99979 -2.4965
43 2.99974 -2.60342
44 2.99969 -2.71033
45 2.99963 -2.81723
46 2.99957 -2.9241
47 2.99951 -3.03097
48 2.99945 -3.13781
49 2.99939 -3.24464
50 2.99932 -3.35146
51 2.99926 -3.45825
52 2.99918 -3.56503
53 2.99911 -3.67179
54 2.99904 -3.77853
55 2.99896 -3.88525
56 2.99888 -3.99195
57 2.9988 -4.09862
58 2.99872 -4.20528
59 2.99863 -4.31192
60 2.99855 -4.41853
61 2.99846 -4.52512
62 2.99837 -4.63168
63 2.99827 -4.73823
64 2.99818 -4.84474
65 2.99808 -4.95124
66 2.99798 -5.0577
67 2.99788 -5.16415
68 2.99777 -5.27056
69 2.99766 -5.37695
70 2.99756 -5.48331
71 2.99745 -5.58964
72 2.99733 -5.69594
73 2.99722 -5.80221
74 2.9971 -5.90845
75 2.99698 -6.01467
76 2.99686 -6.12085
77 2.99674 -6.227
78 2.99661 -6.33311
79 2.99648 -6.4392
80 2.99635 -6.54525
81 2.99622 -6.65127
82 2.99609 -6.75725
83 2.99595 -6.8632
84 2.99581 -6.96911
85 2.99567 -7.07499
86 2.99553 -7.18083
87 2.99538 -7.28663
88 2.99524 -7.39239
89 2.99509 -7.49812
90 2.99494 -7.60381
91 2.99479 -7.70946
92 2.99463 -7.81506
93 2.99447 -7.92063
94 2.99431 -8.02616
95 2.99415 -8.13164
96 2.99399 -8.23709
97 2.99382 -8.34248
98 2.99365 -8.44784
99 2.99348 -8.55315
100 2.99331 -8.65842
101 2.99314 -8.76364
102 2.99296 -8.86882
103 2.99278 -8.97395
104 2.9926 -9.07903
105 2.99242 -9.18406
106 2.99223 -9.28905
107 2.99205 -9.39399
108 2.99186 -9.49887
109 2.99167 -9.60371
110 2.99148 -9.7085
111 2.99128 -9.81324
112 2.99108 -9.91792
113 2.99088 -10.0226
114 2.99068 -10.1271
115 2.99048 -10.2317
116 2.99027 -10.3361
117 2.99006 -10.4405
118 2.98985 -10.5449
119 2.98964 -10.6492
120 2.98943 -10.7535
121 2.98921 -10.8576
122 2.98899 -10.9618
123 2.98877 -11.0658
124 2.98855 -11.1699
125 2.98833 -11.2738
126 2.9881 -11.3777
127 2.98787 -11.4815
128 2.98764 -11.5853
129 2.98741 -11.689
130 2.98717 -11.7927
131 2.98694 -11.8962
132 2.9867 -11.9997
133 2.98646 -12.1032
134 2.98621 -12.2066
135 2.98597 -12.3099
136 2.98572 -12.4132
137 2.98547 -12.5163
138 2.98522 -12.6194
139 2.98497 -12.7225
140 2.98471 -12.8255
141 2.98445 -12.9284
142 2.9842 -13.0312
143 2.98393 -13.134
144 2.98367 -13.2367
145 2.9834 -13.3393
146 2.98314 -13.4418
147 2.98287 -13.5443
148 2.98259 -13.6467
149 2.98232 -13.749
150 2.98204 -13.8512
151 2.98177 -13.9534
152 2.98149 -14.0555
153 2.9812 -14.1575
154 2.98092 -14.2594
155 2.98063 -14.3612
156 2.98035 -14.463
157 2.98006 -14.5647
158 2.97976 -14.6663
159 2.97947 -14.7678
160 2.97917 -14.8692
161 2.97887 -14.9706
162 2.97857 -15.0718
163 2.97827 -15.173
164 2.97797 -15.2741
165 2.97766 -15.3751
166 2.97735 -15.476
167 2.97704 -15.5768
168 2.97673 -15.6776
169 2.97641 -15.7782
170 2.9761 -15.8787
171 2.97578 -15.9792
172 2.97546 -16.0796
173 2.97514 -16.1798
174 2.97481 -16.28
175 2.97448 -16.3801
176 2.97416 -16.4801
177 2.97383 -16.58
178 2.97349 -16.6797
179 2.97316 -16.7794
180 2.97282 -16.879
181 2.97248 -16.9785
182 2.97214 -17.0779
183 2.9718 -17.1772
184 2.97146 -17.2764
185 2.97111 -17.3755
186 2.97076 -17.4744
187 2.97041 -17.5733
188 2.97006 -17.6721
189 2.9697 -17.7707
190 2.96935 -17.8693
191 2.96899 -17.9677
192 2.96863 -18.0661
193 2.96827 -18.1643
194 2.9679 -18.2624
195 2.96753 -18.3604
196 2.96717 -18.4583
197 2.9668 -18.5561
198 2.96642 -18.6537
199 2.96605 -18.7513
200 2.96567 -18.8487
201 2.9653 -18.946
202 2.96492 -19.0432
203 2.96453 -19.1403
204 2.96415 -19.2372
205 2.96377 -19.334
206 2.96338 -19.4308
207 2.96299 -19.5273
208 2.9626 -19.6238
209 2.9622 -19.7201
210 2.96181 -19.8164
211 2.96141 -19.9124
212 2.96101 -20.0084
213 2.96061 -20.1042
214 2.96021 -20.1999
215 2.9598 -20.2955
216 2.9594 -20.391
217 2.95899 -20.4863
218 2.95858 -20.5814
219 2.95816 -20.6765
220 2.95775 -20.7714
221 2.95733 -20.8662
222 2.95691 -20.9608
223 2.95649 -21.0553
224 2.95607 -21.1497
225 2.95565 -21.2439
226 2.95522 -21.338
227 2.95479 -21.4319
228 2.95436 -21.5257
229 2.95393 -21.6193
230 2.9535 -21.7129
231 2.95306 -21.8062
232 2.95263 -21.8994
233 2.95219 -21.9925
234 2.95175 -22.0854
235 2.95131 -22.1782
236 2.95086 -22.2708
237 2.95041 -22.3633
238 2.94997 -22.4556
239 2.94952 -22.5477
240 2.94906 -22.6397
241 2.94861 -22.7316
242 2.94816 -22.8233
243 2.9477 -22.9148
244 2.94724 -23.0061
245 2.94678 -23.0974
246 2.94631 -23.1884
247 2.94585 -23.2793
248 2.94538 -23.37
249 2.94492 -23.4606
250 2.94445 -23.551
251 2.94397 -23.6412
252 2.9435 -23.7312
253 2.94302 -23.8211
254 2.94255 -23.9108
255 2.94207 -24.0004
256 2.94159 -24.0897
257 2.9411 -24.1789
258 2.94062 -24.2679
259 2.94013 -24.3568
260 2.93965 -24.4455
261 2.93916 -24.5339
262 2.93866 -24.6223
263 2.93817 -24.7104
264 2.93768 -24.7983
265 2.93718 -24.8861
266 2.93668 -24.9737
267 2.93618 -25.061
268 2.93568 -25.1482
269 2.93517 -25.2353
270 2.93467 -25.3221
271 2.93416 -25.4087
272 2.93365 -25.4952
273 2.93314 -25.5814
274 2.93263 -25.6675
275 2.93211 -25.7533
276 2.9316 -25.839
277 2.93108 -25.9244
278 2.93056 -26.0097
279 2.93004 -26.0948
280 2.92952 -26.1796
281 2.92899 -26.2643
282 2.92847 -26.3487
283 2.92794 -26.433
284 2.92741 -26.517
285 2.92688 -26.6008
286 2.92635 -26.6844
287 2.92581 -26.7679
288 2.92527 -26.8511
289 2.92474 -26.934
290 2.9242 -27.0168
291 2.92366 -27.0993
292 2.92311 -27.1817
293 2.92257 -27.2638
294 2.92202 -27.3457
295 2.92148 -27.4274
296 2.92093 -27.5088
297 2.92037 -27.59
298 2.91982 -27.671
299 2.91927 -27.7518
300 2.91871 -27.8323
301 2.91815 -27.9126
302 2.9176 -27.9927
303 2.91704 -28.0725
304 2.91647 -28.1521
305 2.91591 -28.2315
306 2.91534 -28.3107
307 2.91478 -28.3896
308 2.91421 -28.4682
309 2.91364 -28.5466
310 2.91307 -28.6248
311 2.91249 -28.7027
312 2.91192 -28.7804
313 2.91134 -28.8578
314 2.91076 -28.935
315 2.91018 -29.0119
