n	rho	drho
0 3 6
1 3.00012 5.89295
2 3.00024 5.78588
3 3.00035 5.67878
4 3.00046 5.57167
5 3.00057 5.46453
6 3.00068 5.35738
7 3.00079 5.25021
8 3.00089 5.14301
9 3.00099 5.0358
10 3.00109 4.92858
11 3.00119 4.82133
12 3.00129 4.71407
13 3.00138 4.60679
14 3.00147 4.4995
15 3.00156 4.39219
16 3.00165 4.28487
17 3.00173 4.17753
18 3.00181 4.07018
19 3.00189 3.96282
20 3.00197 3.85544
21 3.00205 3.74805
22 3.00212 3.64065
23 3.00219 3.53324
24 3.00226 3.42582
25 3.00233 3.31839
26 3.0024 3.21095
27 3.00246 3.1035
28 3.00252 2.99605
29 3.00258 2.88858
30 3.00263 2.78111
31 3.00269 2.67363
32 3.00274 2.56615
33 3.00279 2.45866
34 3.00284 2.35116
35 3.00289 2.24366
36 3.00293 2.13615
37 3.00297 2.02864
38 3.00301 1.92113
39 3.00305 1.81362
40 3.00308 1.7061
41 3.00312 1.59858
42 3.00315 1.49106
43 3.00318 1.38354
44 3.0032 1.27602
45 3.00323 1.1685
46 3.00325 1.06098
47 3.00327 0.95346
48 3.00329 0.845943
49 3.0033 0.738428
50 3.00332 0.630917
51 3.00333 0.523408
52 3.00334 0.415904
53 3.00335 0.308404
54 3.00335 0.200908
55 3.00335 0.0934184
56 3.00335 -0.0140656
57 3.00335 -0.121543
58 3.00335 -0.229014
59 3.00334 -0.336477
60 3.00334 -0.443933
61 3.00333 -0.55138
62 3.00331 -0.658818
63 3.0033 -0.766247
64 3.00328 -0.873665
65 3.00326 -0.981073
66 3.00324 -1.08847
67 3.00322 -1.19586
68 3.0032 -1.30323
69 3.00317 -1.41059
70 3.00314 -1.51794
71 3.00311 -1.62527
72 3.00307 -1.7326
73 3.00304 -1.8399
74 3.003 -1.94719
75 3.00296 -2.05447
76 3.00292 -2.16173
77 3.00287 -2.26897
78 3.00283 -2.3762
79 3.00278 -2.4834
80 3.00273 -2.59059
81 3.00268 -2.69776
82 3.00262 -2.80492
83 3.00256 -2.91205
84 3.0025 -3.01916
85 3.00244 -3.12625
86 3.00238 -3.23332
87 3.00231 -3.34037
88 3.00225 -3.4474
89 3.00218 -3.5544
90 3.0021 -3.66138
91 3.00203 -3.76833
92 3.00195 -3.87527
93 3.00187 -3.98217
94 3.00179 -4.08905
95 3.00171 -4.19591
96 3.00163 -4.30274
97 3.00154 -4.40954
98 3.00145 -4.51631
99 3.00136 -4.62305
100 3.00126 -4.72977
101 3.00117 -4.83646
102 3.00107 -4.94312
103 3.00097 -5.04974
104 3.00087 -5.15634
105 3.00076 -5.2629
106 3.00066 -5.36944
107 3.00055 -5.47594
108 3.00044 -5.58241
109 3.00033 -5.68884
110 3.00021 -5.79524
111 3.0001 -5.9016
112 2.99998 -6.00793
113 2.99985 -6.11423
114 2.99973 -6.22049
115 2.99961 -6.32671
116 2.99948 -6.43289
117 2.99935 -6.53904
118 2.99922 -6.64514
119 2.99908 -6.75121
120 2.99895 -6.85724
121 2.99881 -6.96323
122 2.99867 -7.06917
123 2.99853 -7.17508
124 2.99838 -7.28094
125 2.99823 -7.38676
126 2.99809 -7.49254
127 2.99793 -7.59828
128 2.99778 -7.70397
129 2.99763 -7.80961
130 2.99747 -7.91521
131 2.99731 -8.02076
132 2.99715 -8.12627
133 2.99699 -8.23173
134 2.99682 -8.33714
135 2.99665 -8.44251
136 2.99648 -8.54782
137 2.99631 -8.65309
138 2.99614 -8.7583
139 2.99596 -8.86347
140 2.99578 -8.96858
141 2.9956 -9.07364
142 2.99542 -9.17865
143 2.99523 -9.28361
144 2.99505 -9.38851
145 2.99486 -9.49336
146 2.99467 -9.59815
147 2.99447 -9.70289
148 2.99428 -9.80757
149 2.99408 -9.91219
150 2.99388 -10.0168
151 2.99368 -10.1213
152 2.99348 -10.2257
153 2.99327 -10.3301
154 2.99306 -10.4344
155 2.99285 -10.5387
156 2.99264 -10.6429
157 2.99243 -10.7471
158 2.99221 -10.8512
159 2.99199 -10.9552
160 2.99177 -11.0591
161 2.99155 -11.163
162 2.99133 -11.2669
163 2.9911 -11.3706
164 2.99087 -11.4743
165 2.99064 -11.5779
166 2.99041 -11.6815
167 2.99018 -11.785
168 2.98994 -11.8884
169 2.9897 -11.9918
170 2.98946 -12.0951
171 2.98922 -12.1983
172 2.98897 -12.3014
173 2.98872 -12.4045
174 2.98848 -12.5075
175 2.98822 -12.6104
176 2.98797 -12.7133
177 2.98772 -12.816
178 2.98746 -12.9187
179 2.9872 -13.0214
180 2.98694 -13.1239
181 2.98667 -13.2264
182 2.98641 -13.3288
183 2.98614 -13.4311
184 2.98587 -13.5333
185 2.9856 -13.6354
186 2.98533 -13.7375
187 2.98505 -13.8395
188 2.98477 -13.9414
189 2.98449 -14.0432
190 2.98421 -14.1449
191 2.98393 -14.2466
192 2.98364 -14.3482
193 2.98335 -14.4496
194 2.98306 -14.551
195 2.98277 -14.6523
196 2.98248 -14.7535
197 2.98218 -14.8547
198 2.98188 -14.9557
199 2.98158 -15.0566
200 2.98128 -15.1575
201 2.98098 -15.2582
202 2.98067 -15.3589
203 2.98036 -15.4595
204 2.98005 -15.56
205 2.97974 -15.6603
206 2.97942 -15.7606
207 2.97911 -15.8608
208 2.97879 -15.9609
209 2.97847 -16.0609
210 2.97815 -16.1608
211 2.97782 -16.2606
212 2.9775 -16.3603
213 2.97717 -16.4598
214 2.97684 -16.5593
215 2.97651 -16.6587
216 2.97617 -16.758
217 2.97584 -16.8572
218 2.9755 -16.9562
219 2.97516 -17.0552
220 2.97482 -17.154
221 2.97447 -17.2528
222 2.97413 -17.3514
223 2.97378 -17.4499
224 2.97343 -17.5483
225 2.97308 -17.6466
226 2.97272 -17.7448
227 2.97237 -17.8429
228 2.97201 -17.9409
229 2.97165 -18.0387
230 2.97129 -18.1364
231 2.97092 -18.2341
232 2.97056 -18.3315
233 2.97019 -18.4289
234 2.96982 -18.5262
235 2.96945 -18.6233
236 2.96908 -18.7203
237 2.9687 -18.8172
238 2.96832 -18.914
239 2.96794 -19.0106
240 2.96756 -19.1071
241 2.96718 -19.2035
242 2.96679 -19.2998
243 2.96641 -19.3959
244 2.96602 -19.4919
245 2.96563 -19.5878
246 2.96523 -19.6836
247 2.96484 -19.7792
248 2.96444 -19.8747
249 2.96405 -19.97
250 2.96364 -20.0652
251 2.96324 -20.1603
252 2.96284 -20.2553
253 2.96243 -20.3501
254 2.96202 -20.4447
255 2.96161 -20.5393
256 2.9612 -20.6337
257 2.96079 -20.7279
258 2.96037 -20.822
259 2.95996 -20.916
260 2.95954 -21.0098
261 2.95912 -21.1035
262 2.95869 -21.197
263 2.95827 -21.2904
264 2.95784 -21.3836
265 2.95741 -21.4767
266 2.95698 -21.5696
267 2.95655 -21.6624
268 2.95612 -21.755
269 2.95568 -21.8475
270 2.95524 -21.9398
271 2.9548 -22.032
272 2.95436 -22.124
273 2.95392 -22.2158
274 2.95347 -22.3075
275 2.95302 -22.399
276 2.95258 -22.4904
277 2.95213 -22.5816
278 2.95167 -22.6727
279 2.95122 -22.7635
280 2.95076 -22.8543
281 2.9503 -22.9448
282 2.94984 -23.0352
283 2.94938 -23.1254
284 2.94892 -23.2155
285 2.94845 -23.3053
286 2.94799 -23.395
287 2.94752 -23.4846
288 2.94705 -23.5739
289 2.94658 -23.6631
290 2.9461 -23.7521
291 2.94563 -23.8409
292 2.94515 -23.9296
293 2.94467 -24.018
294 2.94419 -24.1063
295 2.9437 -24.1944
296 2.94322 -24.2823
297 2.94273 -24.37
298 2.94224 -24.4576
299 2.94175 -24.545
300 2.94126 -24.6321
301 2.94077 -24.7191
302 2.94027 -24.8059
303 2.93978 -24.8925
304 2.93928 -24.9789
305 2.93878 -25.0651
306 2.93828 -25.1511
307 2.93777 -25.2369
308 2.93727 -25.3226
309 2.93676 -25.408
310 2.93625 -25.4932
311 2.93574 -25.5782
312 2.93523 -25.663
313 2.93471 -25.7477
314 2.9342 -25.8321
315 2.93368 -25.9163
316 2.93316 -26.0002
317 2.93264 -26.084
318 2.93212 -26.1676
319 2.93159 -26.2509
320 2.93107 -26.3341
321 2.93054 -26.417
322 2.93001 -26.4997
323 2.92948 -26.5822
324 2.92895 -26.6645
325 2.92841 -26.7465
326 2.92788 -26.8284
327 2.92734 -26.91
328 2.9268 -26.9914
329 2.92626 -27.0725
330 2.92572 -27.1535
331 2.92517 -27.2342
332 2.92463 -27.3146
333 2.92408 -27.3949
334 2.92353 -27.4749
335 2.92298 -27.5547
336 2.92243 -27.6342
337 2.92188 -27.7135
338 2.92132 -27.7926
339 2.92076 -27.8714
340 2.92021 -27.95
341 2.91965 -28.0283
342 2.91909 -28.1064
343 2.91852 -28.1843
344 2.91796 -28.2619
345 2.91739 -28.3393
346 2.91682 -28.4164
347 2.91626 -28.4932
348 2.91568 -28.5698
349 2.91511 -28.6462
350 2.91454 -28.7223
351 2.91396 -28.7981
352 2.91339 -28.8737
353 2.91281 -28.949
354 2.91223 -29.024
355 2.91165 -29.0988
356 2.91107 -29.1734
357 2.91048 -29.2476
358 2.9099 -29.3216
359 2.90931 -29.3953
360 2.90872 -29.4688
361 2.90813 -29.5419
362 2.90754 -29.6149
363 2.90694 -29.6875
364 2.90635 -29.7598
365 2.90575 -29.8319
366 2.90516 -29.9037
367 2.90456 -29.9752
368 2.90396 -30.0464
369 2.90336 -30.1174
370 2.90275 -30.188
371 2.90215 -30.2584
372 2.90154 -30.3284
373 2.90094 -30.3982
374 2.90033 -30.4677
375 2.89972 -30.5369
376 2.89911 -30.6058
377 2.89849 -30.6744
378 2.89788 -30.7427
379 2.89726 -30.8107
380 2.89665 -30.8784
381 2.89603 -30.9458
382 2.89541 -31.0128
383 2.89479 -31.0796
384 2.89417 -31.1461
385 2.89354 -31.2122
386 2.89292 -31.278
387 2.89229 -31.3436
388 2.89166 -31.4088
389 2.89103 -31.4736
390 2.8904 -31.5382
391 2.88977 -31.6024
392 2.88914 -31.6663
393 2.88851 -31.7299
394 2.88787 -31.7932
395 2.88723 -31.8561
396 2.8866 -31.9187
397 2.88596 -31.981
398 2.88532 -32.0429
399 2.88468 -32.1045
400 2.88403 -32.1658
401 2.88339 -32.2267
402 2.88274 -32.2873
403 2.8821 -32.3475
404 2.88145 -32.4074
405 2.8808 -32.4669
406 2.88015 -32.5261
407 2.8795 -32.5849
408 2.87885 -32.6434
409 2.87819 -32.7015
410 2.87754 -32.7593
411 2.87688 -32.8167
412 2.87623 -32.8738
413 2.87557 -32.9305
414 2.87491 -32.9868
415 2.87425 -33.0427
416 2.87359 -33.0983
417 2.87293 -33.1536
418 2.87226 -33.2084
419 2.8716 -33.2629
420 2.87093 -33.317
421 2.87026 -33.3707
422 2.8696 -33.424
423 2.86893 -33.477
424 2.86826 -33.5296
425 2.86759 -33.5818
426 2.86691 -33.6336
427 2.86624 -33.685
428 2.86557 -33.736
429 2.86489 -33.7866
430 2.86422 -33.8369
431 2.86354 -33.8867
432 2.86286 -33.9362
433 2.86218 -33.9852
434 2.8615 -34.0338
435 2.86082 -34.0821
436 2.86014 -34.1299
437 2.85945 -34.1773
438 2.85877 -34.2243
439 2.85809 -34.2709
440 2.8574 -34.3171
441 2.85671 -34.3628
442 2.85602 -34.4082
443 2.85534 -34.4531
444 2.85465 -34.4976
445 2.85396 -34.5416
446 2.85327 -34.5853
447 2.85257 -34.6285
448 2.85188 -34.6713
449 2.85119 -34.7136
450 2.85049 -34.7555
451 2.8498 -34.797
452 2.8491 -34.838
453 2.8484 -34.8786
454 2.8477 -34.9188
455 2.84701 -34.9585
456 2.84631 -34.9978
457 2.84561 -35.0366
458 2.8449 -35.0749
459 2.8442 -35.1128
460 2.8435 -35.1503
461 2.8428 -35.1872
462 2.84209 -35.2238
463 2.84139 -35.2598
464 2.84068 -35.2954
465 2.83998 -35.3305
466 2.83927 -35.3652
467 2.83856 -35.3994
468 2.83785 -35.4331
469 2.83714 -35.4664
470 2.83643 -35.4991
471 2.83572 -35.5314
472 2.83501 -35.5632
473 2.8343 -35.5945
474 2.83359 -35.6253
475 2.83288 -35.6557
476 2.83216 -35.6855
477 2.83145 -35.7149
478 2.83073 -35.7438
479 2.83002 -35.7721
480 2.8293 -35.8
481 2.82859 -35.8274
482 2.82787 -35.8542
483 2.82715 -35.8806
484 2.82644 -35.9065
485 2.82572 -35.9318
486 2.825 -35.9566
487 2.82428 -35.9809
488 2.82356 -36.0047
489 2.82284 -36.028
490 2.82212 -36.0508
491 2.8214 -36.073
492 2.82067 -36.0947
493 2.81995 -36.1159
494 2.81923 -36.1366
495 2.81851 -36.1567
496 2.81778 -36.1763
497 2.81706 -36.1953
498 2.81634 -36.2139
499 2.81561 -36.2318
500 2.81489 -36.2493
501 2.81416 -36.2662
502 2.81344 -36.2825
503 2.81271 -36.2983
504 2.81198 -36.3135
505 2.81126 -36.3282
506 2.81053 -36.3424
507 2.8098 -36.3559
508 2.80908 -36.369
509 2.80835 -36.3814
510 2.80762 -36.3933
511 2.80689 -36.4046
512 2.80617 -36.4154
513 2.80544 -36.4256
514 2.80471 -36.4352
515 2.80398 -36.4442
516 2.80325 -36.4527
517 2.80252 -36.4605
518 2.80179 -36.4678
519 2.80106 -36.4745
520 2.80033 -36.4807
521 2.7996 -36.4862
522 2.79887 -36.4911
523 2.79814 -36.4955
524 2.79741 -36.4993
525 2.79668 -36.5024
526 2.79595 -36.505
527 2.79522 -36.507
528 2.79449 -36.5083
529 2.79376 -36.5091
530 2.79303 -36.5092
531 2.7923 -36.5087
532 2.79157 -36.5077
533 2.79084 -36.506
534 2.79011 -36.5037
535 2.78938 -36.5008
536 2.78865 -36.4972
537 2.78792 -36.4931
538 2.78719 -36.4883
539 2.78646 -36.4828
540 2.78573 -36.4768
541 2.785 -36.4701
542 2.78427 -36.4628
543 2.78355 -36.4549
544 2.78282 -36.4463
545 2.78209 -36.4371
546 2.78136 -36.4272
547 2.78063 -36.4167
548 2.7799 -36.4056
549 2.77917 -36.3938
550 2.77845 -36.3813
551 2.77772 -36.3682
552 2.77699 -36.3545
553 2.77627 -36.3401
554 2.77554 -36.325
555 2.77481 -36.3093
556 2.77409 -36.2929
557 2.77336 -36.2759
558 2.77263 -36.2582
559 2.77191 -36.2398
560 2.77119 -36.2207
561 2.77046 -36.201
562 2.76974 -36.1806
563 2.76901 -36.1596
564 2.76829 -36.1378
565 2.76757 -36.1154
566 2.76685 -36.0923
567 2.76612 -36.0685
568 2.7654 -36.0441
569 2.76468 -36.0189
570 2.76396 -35.9931
571 2.76324 -35.9665
572 2.76252 -35.9393
573 2.76181 -35.9114
574 2.76109 -35.8828
575 2.76037 -35.8535
576 2.75965 -35.8235
577 2.75894 -35.7928
578 2.75822 -35.7614
579 2.75751 -35.7293
580 2.75679 -35.6964
581 2.75608 -35.6629
582 2.75537 -35.6287
583 2.75465 -35.5937
584 2.75394 -35.5581
585 2.75323 -35.5217
586 2.75252 -35.4846
587 2.75181 -35.4468
588 2.7511 -35.4083
589 2.7504 -35.369
590 2.74969 -35.329
591 2.74898 -35.2884
592 2.74828 -35.2469
593 2.74757 -35.2048
594 2.74687 -35.1619
595 2.74617 -35.1183
596 2.74546 -35.074
597 2.74476 -35.0289
598 2.74406 -34.9831
599 2.74336 -34.9366
600 2.74267 -34.8893
601 2.74197 -34.8413
602 2.74127 -34.7925
603 2.74058 -34.743
604 2.73988 -34.6928
605 2.73919 -34.6418
606 2.7385 -34.5901
607 2.73781 -34.5376
608 2.73712 -34.4843
609 2.73643 -34.4304
610 2.73574 -34.3756
611 2.73505 -34.3202
612 2.73437 -34.2639
613 2.73368 -34.2069
614 2.733 -34.1492
615 2.73231 -34.0907
616 2.73163 -34.0314
617 2.73095 -33.9714
618 2.73027 -33.9107
619 2.7296 -33.8491
620 2.72892 -33.7868
621 2.72825 -33.7238
622 2.72757 -33.6599
623 2.7269 -33.5953
624 2.72623 -33.53
625 2.72556 -33.4639
626 2.72489 -33.397
627 2.72422 -33.3293
628 2.72356 -33.2609
629 2.72289 -33.1917
630 2.72223 -33.1217
631 2.72157 -33.051
632 2.72091 -32.9795
633 2.72025 -32.9072
634 2.71959 -32.8341
635 2.71893 -32.7603
636 2.71828 -32.6857
637 2.71763 -32.6103
638 2.71698 -32.5341
639 2.71633 -32.4572
640 2.71568 -32.3794
641 2.71503 -32.3009
642 2.71438 -32.2216
643 2.71374 -32.1416
644 2.7131 -32.0608
645 2.71246 -31.9791
646 2.71182 -31.8967
647 2.71118 -31.8136
648 2.71055 -31.7296
649 2.70991 -31.6449
650 2.70928 -31.5593
651 2.70865 -31.473
652 2.70802 -31.3859
653 2.7074 -31.2981
654 2.70677 -31.2094
655 2.70615 -31.12
656 2.70553 -31.0297
657 2.70491 -30.9387
658 2.70429 -30.847
659 2.70367 -30.7544
660 2.70306 -30.661
661 2.70245 -30.5669
662 2.70184 -30.472
663 2.70123 -30.3763
664 2.70062 -30.2798
665 2.70002 -30.1825
666 2.69941 -30.0845
667 2.69881 -29.9857
668 2.69821 -29.8861
669 2.69762 -29.7857
670 2.69702 -29.6845
671 2.69643 -29.5826
672 2.69584 -29.4798
673 2.69525 -29.3763
674 2.69466 -29.272
675 2.69408 -29.167
676 2.6935 -29.0611
677 2.69292 -28.9545
678 2.69234 -28.8471
679 2.69176 -28.7389
