n	rho	drho
0 3 74
1 3.00148 73.8928
2 3.00296 73.7854
3 3.00443 73.6777
4 3.0059 73.5698
5 3.00737 73.4616
6 3.00884 73.3531
7 3.01031 73.2444
8 3.01177 73.1355
9 3.01323 73.0263
10 3.01469 72.9169
11 3.01615 72.8072
12 3.0176 72.6973
13 3.01906 72.5872
14 3.02051 72.4769
15 3.02196 72.3663
16 3.0234 72.2555
17 3.02485 72.1445
18 3.02629 72.0332
19 3.02773 71.9218
20 3.02917 71.8101
21 3.0306 71.6982
22 3.03203 71.5861
23 3.03346 71.4738
24 3.03489 71.3613
25 3.03632 71.2486
26 3.03774 71.1357
27 3.03916 71.0226
28 3.04058 70.9093
29 3.042 70.7958
30 3.04341 70.6821
31 3.04483 70.5682
32 3.04624 70.4542
33 3.04765 70.3399
34 3.04905 70.2255
35 3.05045 70.1109
36 3.05186 69.9961
37 3.05325 69.8812
38 3.05465 69.766
39 3.05604 69.6507
40 3.05744 69.5353
41 3.05883 69.4196
42 3.06021 69.3038
43 3.0616 69.1879
44 3.06298 69.0717
45 3.06436 68.9554
46 3.06574 68.839
47 3.06711 68.7224
48 3.06849 68.6056
49 3.06986 68.4887
50 3.07123 68.3716
51 3.07259 68.2544
52 3.07396 68.1371
53 3.07532 68.0196
54 3.07668 67.9019
55 3.07804 67.7841
56 3.07939 67.6662
57 3.08074 67.5482
58 3.08209 67.43
59 3.08344 67.3116
60 3.08478 67.1932
61 3.08613 67.0746
62 3.08747 66.9558
63 3.08881 66.837
64 3.09014 66.718
65 3.09147 66.5989
66 3.0928 66.4797
67 3.09413 66.3603
68 3.09546 66.2408
69 3.09678 66.1213
70 3.0981 66.0016
71 3.09942 65.8817
72 3.10074 65.7618
73 3.10205 65.6418
74 3.10337 65.5216
75 3.10467 65.4013
76 3.10598 65.281
77 3.10729 65.1605
78 3.10859 65.0399
79 3.10989 64.9192
80 3.11118 64.7984
81 3.11248 64.6775
82 3.11377 64.5565
83 3.11506 64.4355
84 3.11635 64.3143
85 3.11763 64.193
86 3.11892 64.0716
87 3.1202 63.9502
88 3.12147 63.8286
89 3.12275 63.707
90 3.12402 63.5852
91 3.12529 63.4634
92 3.12656 63.3415
93 3.12783 63.2195
94 3.12909 63.0974
95 3.13035 62.9753
96 3.13161 62.853
97 3.13287 62.7307
98 3.13412 62.6083
99 3.13537 62.4858
100 3.13662 62.3633
101 3.13786 62.2406
102 3.13911 62.1179
103 3.14035 61.9951
104 3.14159 61.8723
105 3.14282 61.7494
106 3.14406 61.6264
107 3.14529 61.5033
108 3.14652 61.3802
109 3.14774 61.257
110 3.14897 61.1337
111 3.15019 61.0104
112 3.15141 60.887
113 3.15262 60.7636
114 3.15384 60.64
115 3.15505 60.5165
116 3.15626 60.3928
117 3.15747 60.2691
