n	rho	drho
0 3 20
1 3.0004 19.8929
2 3.0008 19.7858
3 3.00119 19.6786
4 3.00158 19.5713
5 3.00197 19.4639
6 3.00236 19.3565
7 3.00275 19.249
8 3.00313 19.1414
9 3.00351 19.0338
10 3.00389 18.9261
11 3.00427 18.8184
12 3.00465 18.7105
13 3.00502 18.6026
14 3.00539 18.4947
15 3.00576 18.3867
16 3.00613 18.2786
17 3.00649 18.1705
18 3.00685 18.0623
19 3.00721 17.954
20 3.00757 17.8457
21 3.00793 17.7373
22 3.00828 17.6289
23 3.00863 17.5204
24 3.00898 17.4118
25 3.00933 17.3032
26 3.00967 17.1946
27 3.01002 17.0858
28 3.01036 16.9771
29 3.01069 16.8682
30 3.01103 16.7594
31 3.01136 16.6504
32 3.0117 16.5414
33 3.01203 16.4324
34 3.01235 16.3233
35 3.01268 16.2142
36 3.013 16.105
37 3.01332 15.9957
38 3.01364 15.8865
39 3.01396 15.7771
40 3.01427 15.6677
41 3.01459 15.5583
42 3.0149 15.4488
43 3.0152 15.3393
44 3.01551 15.2297
45 3.01581 15.1201
46 3.01611 15.0105
47 3.01641 14.9008
48 3.01671 14.791
49 3.017 14.6812
50 3.0173 14.5714
51 3.01759 14.4615
52 3.01788 14.3516
53 3.01816 14.2417
54 3.01845 14.1317
55 3.01873 14.0216
56 3.01901 13.9116
57 3.01928 13.8015
58 3.01956 13.6913
59 3.01983 13.5811
60 3.0201 13.4709
61 3.02037 13.3606
62 3.02064 13.2504
63 3.0209 13.14
64 3.02116 13.0297
65 3.02142 12.9193
66 3.02168 12.8088
67 3.02193 12.6984
68 3.02219 12.5879
69 3.02244 12.4773
70 3.02269 12.3668
71 3.02293 12.2562
72 3.02318 12.1456
73 3.02342 12.0349
74 3.02366 11.9242
75 3.02389 11.8135
76 3.02413 11.7028
77 3.02436 11.592
78 3.02459 11.4812
79 3.02482 11.3704
80 3.02505 11.2595
81 3.02527 11.1487
82 3.02549 11.0378
83 3.02571 10.9268
84 3.02593 10.8159
85 3.02615 10.7049
86 3.02636 10.5939
87 3.02657 10.4829
88 3.02678 10.3719
89 3.02699 10.2608
90 3.02719 10.1497
91 3.02739 10.0386
92 3.02759 9.92746
93 3.02779 9.81631
94 3.02798 9.70513
95 3.02818 9.59394
96 3.02837 9.48273
97 3.02856 9.37151
98 3.02874 9.26026
99 3.02893 9.149
100 3.02911 9.03772
101 3.02929 8.92642
102 3.02946 8.81511
103 3.02964 8.70378
104 3.02981 8.59243
105 3.02998 8.48107
106 3.03015 8.3697
107 3.03032 8.25831
108 3.03048 8.14691
109 3.03064 8.0355
110 3.0308 7.92407
111 3.03096 7.81263
112 3.03112 7.70118
113 3.03127 7.58972
114 3.03142 7.47825
115 3.03157 7.36677
116 3.03171 7.25527
117 3.03186 7.14377
118 3.032 7.03226
119 3.03214 6.92074
120 3.03228 6.80922
121 3.03241 6.69768
122 3.03255 6.58614
123 3.03268 6.47459
124 3.0328 6.36304
125 3.03293 6.25148
126 3.03305 6.13991
127 3.03318 6.02834
128 3.0333 5.91677
129 3.03341 5.80519
130 3.03353 5.69361
131 3.03364 5.58202
132 3.03375 5.47043
133 3.03386 5.35884
134 3.03397 5.24725
135 3.03407 5.13566
136 3.03417 5.02406
137 3.03427 4.91247
138 3.03437 4.80087
139 3.03446 4.68928
140 3.03455 4.57769
141 3.03465 4.46609
142 3.03473 4.3545
143 3.03482 4.24292
144 3.0349 4.13133
145 3.03498 4.01975
146 3.03506 3.90817
147 3.03514 3.79659
148 3.03522 3.68502
149 3.03529 3.57345
150 3.03536 3.46189
151 3.03543 3.35034
152 3.03549 3.23879
153 3.03556 3.12725
154 3.03562 3.01571
155 3.03568 2.90418
156 3.03573 2.79266
157 3.03579 2.68115
158 3.03584 2.56965
159 3.03589 2.45815
160 3.03594 2.34667
161 3.03599 2.23519
162 3.03603 2.12373
163 3.03607 2.01227
164 3.03611 1.90083
165 3.03615 1.7894
166 3.03618 1.67798
167 3.03621 1.56658
168 3.03624 1.45519
169 3.03627 1.34381
170 3.0363 1.23245
171 3.03632 1.1211
172 3.03634 1.00976
173 3.03636 0.898441
174 3.03638 0.787137
175 3.03639 0.675849
176 3.03641 0.564578
177 3.03642 0.453325
178 3.03642 0.342088
179 3.03643 0.23087
180 3.03643 0.119671
181 3.03643 0.00848982
182 3.03643 -0.102672
183 3.03643 -0.213813
184 3.03642 -0.324935
185 3.03642 -0.436035
