n	rho	drho
0 3 51
1 3.00102 50.8929
2 3.00204 50.7856
3 3.00305 50.6781
4 3.00406 50.5704
5 3.00507 50.4626
6 3.00608 50.3545
7 3.00709 50.2464
8 3.00809 50.138
9 3.00909 50.0295
10 3.01009 49.9208
11 3.01109 49.8119
12 3.01208 49.7029
13 3.01308 49.5937
14 3.01407 49.4843
15 3.01506 49.3748
16 3.01604 49.2651
17 3.01703 49.1553
18 3.01801 49.0453
19 3.01899 48.9352
20 3.01997 48.8249
21 3.02094 48.7144
22 3.02192 48.6038
23 3.02289 48.4931
24 3.02386 48.3822
25 3.02482 48.2711
26 3.02579 48.1599
27 3.02675 48.0486
28 3.02771 47.9371
29 3.02867 47.8255
30 3.02962 47.7138
31 3.03057 47.6019
32 3.03153 47.4898
33 3.03247 47.3777
34 3.03342 47.2654
35 3.03436 47.1529
36 3.03531 47.0403
37 3.03625 46.9276
38 3.03718 46.8148
39 3.03812 46.7019
40 3.03905 46.5888
41 3.03998 46.4756
42 3.04091 46.3622
43 3.04184 46.2488
44 3.04276 46.1352
45 3.04368 46.0215
46 3.0446 45.9076
47 3.04552 45.7937
48 3.04643 45.6796
49 3.04735 45.5655
50 3.04826 45.4512
51 3.04916 45.3367
52 3.05007 45.2222
53 3.05097 45.1076
54 3.05187 44.9928
55 3.05277 44.878
56 3.05367 44.763
57 3.05456 44.6479
58 3.05545 44.5327
59 3.05634 44.4175
60 3.05723 44.3021
61 3.05812 44.1866
62 3.059 44.0709
63 3.05988 43.9552
64 3.06076 43.8394
65 3.06163 43.7235
66 3.06251 43.6075
67 3.06338 43.4914
68 3.06425 43.3752
69 3.06511 43.2589
70 3.06598 43.1425
71 3.06684 43.026
72 3.0677 42.9094
73 3.06855 42.7928
74 3.06941 42.676
75 3.07026 42.5591
76 3.07111 42.4422
77 3.07196 42.3252
78 3.0728 42.208
79 3.07365 42.0908
80 3.07449 41.9735
81 3.07533 41.8561
82 3.07616 41.7387
83 3.077 41.6211
84 3.07783 41.5035
85 3.07866 41.3857
86 3.07948 41.2679
87 3.08031 41.1501
88 3.08113 41.0321
89 3.08195 40.9141
90 3.08276 40.7959
91 3.08358 40.6777
92 3.08439 40.5595
93 3.0852 40.4411
94 3.08601 40.3227
95 3.08681 40.2042
96 3.08762 40.0856
97 3.08842 39.967
98 3.08922 39.8483
99 3.09001 39.7295
100 3.09081 39.6106
101 3.0916 39.4917
102 3.09239 39.3727
103 3.09317 39.2536
104 3.09396 39.1345
105 3.09474 39.0153
106 3.09552 38.896
107 3.09629 38.7767
108 3.09707 38.6573
109 3.09784 38.5378
110 3.09861 38.4183
111 3.09938 38.2987
112 3.10014 38.179
113 3.1009 38.0593
114 3.10166 37.9396
115 3.10242 37.8197
116 3.10318 37.6998
117 3.10393 37.5799
118 3.10468 37.4599
119 3.10543 37.3398
120 3.10617 37.2197
121 3.10692 37.0995
122 3.10766 36.9792
123 3.1084 36.8589
124 3.10913 36.7386
125 3.10986 36.6182
126 3.1106 36.4977
127 3.11132 36.3772
128 3.11205 36.2566
129 3.11277 36.136
130 3.1135 36.0154
131 3.11422 35.8946
132 3.11493 35.7739
133 3.11565 35.653
134 3.11636 35.5322
135 3.11707 35.4113
136 3.11777 35.2903
137 3.11848 35.1693
138 3.11918 35.0482
139 3.11988 34.9271
140 3.12058 34.806
141 3.12127 34.6848
142 3.12197 34.5635
143 3.12266 34.4422
144 3.12334 34.3209
145 3.12403 34.1995
146 3.12471 34.0781
147 3.12539 33.9566
148 3.12607 33.8351
149 3.12675 33.7136
150 3.12742 33.592
151 3.12809 33.4704
152 3.12876 33.3487
153 3.12942 33.227
154 3.13009 33.1053
155 3.13075 32.9835
156 3.13141 32.8617
157 3.13206 32.7398
158 3.13272 32.6179
159 3.13337 32.496
160 3.13401 32.374
161 3.13466 32.252
162 3.13531 32.1299
163 3.13595 32.0079
164 3.13659 31.8857
165 3.13722 31.7636
166 3.13786 31.6414
167 3.13849 31.5192
168 3.13912 31.3969
169 3.13974 31.2747
170 3.14037 31.1523
171 3.14099 31.03
172 3.14161 30.9076
173 3.14223 30.7852
174 3.14284 30.6628
175 3.14345 30.5403
176 3.14406 30.4178
177 3.14467 30.2953
178 3.14527 30.1727
179 3.14588 30.0501
180 3.14648 29.9275
181 3.14707 29.8048
182 3.14767 29.6821
183 3.14826 29.5594
184 3.14885 29.4367
185 3.14944 29.314
186 3.15002 29.1912
187 3.15061 29.0684
188 3.15119 28.9455
189 3.15176 28.8226
190 3.15234 28.6998
191 3.15291 28.5768
192 3.15348 28.4539
193 3.15405 28.3309
194 3.15461 28.2079
195 3.15518 28.0849
196 3.15574 27.9619
197 3.1563 27.8388
198 3.15685 27.7158
199 3.1574 27.5927
200 3.15796 27.4695
201 3.1585 27.3464
202 3.15905 27.2232
203 3.15959 27.1
204 3.16013 26.9768
205 3.16067 26.8536
206 3.16121 26.7303
207 3.16174 26.607
208 3.16227 26.4837
209 3.1628 26.3604
210 3.16333 26.2371
211 3.16385 26.1137
212 3.16437 25.9904
213 3.16489 25.867
214 3.16541 25.7436
215 3.16592 25.6201
216 3.16643 25.4967
217 3.16694 25.3732
218 3.16745 25.2498
219 3.16795 25.1263
220 3.16845 25.0027
221 3.16895 24.8792
222 3.16945 24.7557
223 3.16994 24.6321
224 3.17043 24.5085
225 3.17092 24.3849
226 3.17141 24.2613
227 3.17189 24.1377
228 3.17237 24.0141
229 3.17285 23.8904
230 3.17333 23.7667
231 3.1738 23.6431
232 3.17427 23.5194
233 3.17474 23.3956
234 3.17521 23.2719
235 3.17567 23.1482
236 3.17613 23.0244
237 3.17659 22.9007
238 3.17705 22.7769
239 3.1775 22.6531
240 3.17796 22.5293
241 3.17841 22.4055
242 3.17885 22.2817
243 3.1793 22.1578
244 3.17974 22.034
245 3.18018 21.9101
246 3.18062 21.7863
247 3.18105 21.6624
248 3.18148 21.5385
249 3.18191 21.4146
250 3.18234 21.2907
251 3.18276 21.1667
252 3.18319 21.0428
253 3.18361 20.9189
254 3.18402 20.7949
255 3.18444 20.671
256 3.18485 20.547
257 3.18526 20.423
258 3.18567 20.299
259 3.18607 20.175
260 3.18647 20.051
261 3.18687 19.927
262 3.18727 19.803
263 3.18766 19.679
264 3.18806 19.5549
265 3.18845 19.4309
266 3.18883 19.3068
267 3.18922 19.1828
268 3.1896 19.0587
269 3.18998 18.9346
270 3.19036 18.8106
271 3.19073 18.6865
272 3.19111 18.5624
273 3.19148 18.4383
274 3.19184 18.3142
275 3.19221 18.1901
276 3.19257 18.066
277 3.19293 17.9418
278 3.19329 17.8177
279 3.19364 17.6936
280 3.194 17.5694
281 3.19435 17.4453
282 3.19469 17.3212
283 3.19504 17.197
284 3.19538 17.0728
285 3.19572 16.9487
286 3.19606 16.8245
287 3.1964 16.7004
288 3.19673 16.5762
289 3.19706 16.452
290 3.19739 16.3278
291 3.19771 16.2036
292 3.19804 16.0795
293 3.19836 15.9553
294 3.19867 15.8311
295 3.19899 15.7069
296 3.1993 15.5827
297 3.19961 15.4585
298 3.19992 15.3343
299 3.20023 15.2101
300 3.20053 15.0859
301 3.20083 14.9617
302 3.20113 14.8375
303 3.20142 14.7132
304 3.20172 14.589
305 3.20201 14.4648
306 3.20229 14.3406
307 3.20258 14.2164
308 3.20286 14.0922
309 3.20314 13.9679
310 3.20342 13.8437
311 3.2037 13.7195
