n	rho	drho
0 3 11
1 3.00022 10.8929
2 3.00044 10.7858
3 3.00065 10.6787
4 3.00086 10.5715
5 3.00107 10.4643
6 3.00128 10.3571
7 3.00149 10.2498
8 3.00169 10.1424
9 3.00189 10.0351
10 3.00209 9.92769
11 3.00229 9.82026
12 3.00249 9.7128
13 3.00268 9.6053
14 3.00287 9.49777
15 3.00306 9.39021
16 3.00325 9.28262
17 3.00343 9.17499
18 3.00361 9.06734
19 3.00379 8.95965
20 3.00397 8.85193
21 3.00415 8.74419
22 3.00432 8.63641
23 3.00449 8.52861
24 3.00466 8.42078
25 3.00483 8.31293
26 3.00499 8.20504
27 3.00516 8.09714
28 3.00532 7.9892
29 3.00548 7.88124
30 3.00563 7.77326
31 3.00579 7.66525
32 3.00594 7.55722
33 3.00609 7.44917
34 3.00624 7.34109
35 3.00638 7.233
36 3.00653 7.12488
37 3.00667 7.01674
38 3.00681 6.90858
39 3.00695 6.8004
40 3.00708 6.6922
41 3.00721 6.58398
42 3.00734 6.47575
43 3.00747 6.3675
44 3.0076 6.25923
45 3.00772 6.15094
46 3.00784 6.04264
47 3.00796 5.93432
48 3.00808 5.82598
49 3.0082 5.71764
50 3.00831 5.60927
51 3.00842 5.5009
52 3.00853 5.39251
53 3.00864 5.28411
54 3.00874 5.17569
55 3.00884 5.06727
56 3.00894 4.95883
57 3.00904 4.85039
58 3.00914 4.74193
59 3.00923 4.63346
60 3.00932 4.52499
61 3.00941 4.4165
62 3.0095 4.30801
63 3.00959 4.19951
64 3.00967 4.091
65 3.00975 3.98249
66 3.00983 3.87397
67 3.0099 3.76544
68 3.00998 3.65691
69 3.01005 3.54838
70 3.01012 3.43984
71 3.01019 3.3313
72 3.01025 3.22275
73 3.01032 3.1142
74 3.01038 3.00565
75 3.01044 2.8971
76 3.01049 2.78854
77 3.01055 2.67999
78 3.0106 2.57143
79 3.01065 2.46288
80 3.0107 2.35432
81 3.01075 2.24577
82 3.01079 2.13722
83 3.01083 2.02867
84 3.01087 1.92013
85 3.01091 1.81158
86 3.01094 1.70304
87 3.01098 1.59451
88 3.01101 1.48598
89 3.01104 1.37745
90 3.01106 1.26893
91 3.01109 1.16042
92 3.01111 1.05191
93 3.01113 0.943416
94 3.01115 0.834924
95 3.01116 0.72644
96 3.01118 0.617965
97 3.01119 0.509499
98 3.0112 0.401043
99 3.0112 0.292596
100 3.01121 0.18416
101 3.01121 0.0757359
102 3.01121 -0.0326772
103 3.01121 -0.141078
104 3.0112 -0.249467
105 3.0112 -0.357842
106 3.01119 -0.466204
107 3.01118 -0.574552
108 3.01117 -0.682885
109 3.01115 -0.791203
110 3.01114 -0.899506
111 3.01112 -1.00779
112 3.0111 -1.11606
113 3.01107 -1.22432
114 3.01105 -1.33255
115 3.01102 -1.44077
116 3.01099 -1.54897
117 3.01096 -1.65715
118 3.01092 -1.76531
119 3.01089 -1.87345
120 3.01085 -1.98157
121 3.01081 -2.08967
122 3.01076 -2.19775
123 3.01072 -2.3058
124 3.01067 -2.41383
125 3.01062 -2.52184
126 3.01057 -2.62983
127 3.01052 -2.73779
128 3.01046 -2.84573
129 3.0104 -2.95364
130 3.01034 -3.06153
131 3.01028 -3.16939
132 3.01022 -3.27722
133 3.01015 -3.38503
134 3.01008 -3.49281
135 3.01001 -3.60056
136 3.00994 -3.70828
137 3.00986 -3.81597
138 3.00978 -3.92364
139 3.0097 -4.03127
140 3.00962 -4.13887
141 3.00954 -4.24644
142 3.00945 -4.35398
143 3.00936 -4.46149
144 3.00927 -4.56896
145 3.00918 -4.6764
146 3.00909 -4.78381
147 3.00899 -4.89118
148 3.00889 -4.99852
149 3.00879 -5.10582
150 3.00869 -5.21309
151 3.00858 -5.32031
152 3.00847 -5.42751
153 3.00837 -5.53466
154 3.00825 -5.64177
155 3.00814 -5.74885
156 3.00802 -5.85589
157 3.00791 -5.96289
158 3.00779 -6.06984
159 3.00766 -6.17676
160 3.00754 -6.28363
161 3.00741 -6.39047
162 3.00728 -6.49726
163 3.00715 -6.604
164 3.00702 -6.71071
165 3.00688 -6.81736
166 3.00675 -6.92398
167 3.00661 -7.03055
168 3.00646 -7.13707
169 3.00632 -7.24354
170 3.00617 -7.34997
171 3.00603 -7.45635
172 3.00588 -7.56269
173 3.00572 -7.66897
174 3.00557 -7.77521
175 3.00541 -7.88139
176 3.00525 -7.98752
177 3.00509 -8.09361
178 3.00493 -8.19964
179 3.00477 -8.30562
180 3.0046 -8.41154
181 3.00443 -8.51742
182 3.00426 -8.62323
183 3.00408 -8.729
184 3.00391 -8.83471
185 3.00373 -8.94036
186 3.00355 -9.04595
187 3.00337 -9.15149
188 3.00318 -9.25697
189 3.003 -9.3624
190 3.00281 -9.46776
191 3.00262 -9.57307
192 3.00243 -9.67831
193 3.00223 -9.78349
194 3.00204 -9.88862
195 3.00184 -9.99368
196 3.00164 -10.0987
197 3.00143 -10.2036
198 3.00123 -10.3085
199 3.00102 -10.4133
200 3.00081 -10.518
201 3.0006 -10.6227
202 3.00039 -10.7273
203 3.00017 -10.8319
204 2.99995 -10.9363
205 2.99973 -11.0407
206 2.99951 -11.1451
207 2.99929 -11.2493
208 2.99906 -11.3535
209 2.99883 -11.4577
210 2.9986 -11.5617
211 2.99837 -11.6657
212 2.99814 -11.7696
213 2.9979 -11.8735
214 2.99766 -11.9772
215 2.99742 -12.0809
216 2.99718 -12.1845
217 2.99693 -12.2881
218 2.99669 -12.3915
219 2.99644 -12.4949
220 2.99619 -12.5982
221 2.99593 -12.7014
222 2.99568 -12.8046
223 2.99542 -12.9076
224 2.99516 -13.0106
225 2.9949 -13.1135
226 2.99464 -13.2163
227 2.99437 -13.3191
228 2.99411 -13.4217
229 2.99384 -13.5243
230 2.99356 -13.6268
231 2.99329 -13.7292
232 2.99302 -13.8315
233 2.99274 -13.9337
234 2.99246 -14.0358
235 2.99218 -14.1379
236 2.99189 -14.2398
237 2.99161 -14.3417
238 2.99132 -14.4435
239 2.99103 -14.5451
240 2.99074 -14.6467
241 2.99044 -14.7482
242 2.99015 -14.8496
243 2.98985 -14.9509
244 2.98955 -15.0522
245 2.98925 -15.1533
246 2.98894 -15.2543
247 2.98864 -15.3552
248 2.98833 -15.456
249 2.98802 -15.5567
250 2.98771 -15.6574
251 2.98739 -15.7579
252 2.98708 -15.8583
253 2.98676 -15.9586
254 2.98644 -16.0588
255 2.98612 -16.1589
256 2.98579 -16.2589
257 2.98547 -16.3588
258 2.98514 -16.4586
259 2.98481 -16.5583
260 2.98447 -16.6579
261 2.98414 -16.7573
262 2.9838 -16.8567
263 2.98347 -16.9559
264 2.98313 -17.0551
265 2.98278 -17.1541
266 2.98244 -17.253
