n	rho	drho
253 2.98194 -16.8084
254 2.98161 -16.9073
255 2.98127 -17.006
256 2.98092 -17.1047
257 2.98058 -17.2032
258 2.98024 -17.3016
259 2.97989 -17.4
260 2.97954 -17.4982
261 2.97919 -17.5962
262 2.97884 -17.6942
263 2.97848 -17.792
264 2.97813 -17.8898
265 2.97777 -17.9874
266 2.97741 -18.0848
267 2.97704 -18.1822
268 2.97668 -18.2794
269 2.97631 -18.3765
270 2.97594 -18.4735
271 2.97557 -18.5704
272 2.9752 -18.6671
273 2.97483 -18.7637
274 2.97445 -18.8602
275 2.97407 -18.9565
276 2.97369 -19.0527
277 2.97331 -19.1488
278 2.97293 -19.2448
279 2.97254 -19.3406
280 2.97215 -19.4363
281 2.97176 -19.5318
282 2.97137 -19.6272
283 2.97098 -19.7225
284 2.97058 -19.8176
285 2.97018 -19.9126
286 2.96979 -20.0075
287 2.96938 -20.1022
288 2.96898 -20.1968
289 2.96858 -20.2912
290 2.96817 -20.3855
291 2.96776 -20.4796
292 2.96735 -20.5736
293 2.96694 -20.6675
294 2.96652 -20.7612
295 2.96611 -20.8547
296 2.96569 -20.9481
297 2.96527 -21.0414
298 2.96485 -21.1345
299 2.96442 -21.2274
300 2.964 -21.3202
301 2.96357 -21.4128
302 2.96314 -21.5053
303 2.96271 -21.5976
304 2.96228 -21.6898
305 2.96184 -21.7818
306 2.96141 -21.8736
307 2.96097 -21.9653
308 2.96053 -22.0568
309 2.96009 -22.1482
310 2.95964 -22.2394
311 2.9592 -22.3304
312 2.95875 -22.4213
313 2.9583 -22.5119
314 2.95785 -22.6025
315 2.9574 -22.6928
316 2.95694 -22.783
317 2.95648 -22.873
318 2.95603 -22.9628
319 2.95557 -23.0525
320 2.9551 -23.142
321 2.95464 -23.2313
322 2.95418 -23.3204
323 2.95371 -23.4093
324 2.95324 -23.4981
325 2.95277 -23.5867
326 2.9523 -23.6751
327 2.95182 -23.7633
328 2.95134 -23.8514
329 2.95087 -23.9392
330 2.95039 -24.0269
331 2.94991 -24.1143
332 2.94942 -24.2016
333 2.94894 -24.2887
334 2.94845 -24.3756
335 2.94796 -24.4623
336 2.94747 -24.5488
337 2.94698 -24.6351
338 2.94649 -24.7213
339 2.94599 -24.8072
340 2.94549 -24.8929
341 2.945 -24.9784
342 2.9445 -25.0637
343 2.94399 -25.1489
344 2.94349 -25.2338
345 2.94298 -25.3185
346 2.94248 -25.403
347 2.94197 -25.4873
348 2.94146 -25.5713
349 2.94095 -25.6552
350 2.94043 -25.7389
351 2.93992 -25.8223
352 2.9394 -25.9055
353 2.93888 -25.9885
354 2.93836 -26.0713
355 2.93784 -26.1539
356 2.93731 -26.2363
357 2.93679 -26.3184
358 2.93626 -26.4003
359 2.93573 -26.482
360 2.9352 -26.5635
361 2.93467 -26.6447
362 2.93413 -26.7257
363 2.9336 -26.8065
364 2.93306 -26.887
365 2.93252 -26.9673
366 2.93198 -27.0474
367 2.93144 -27.1273
368 2.9309 -27.2069
369 2.93035 -27.2863
370 2.92981 -27.3654
371 2.92926 -27.4443
372 2.92871 -27.5229
373 2.92816 -27.6013
374 2.92761 -27.6795
375 2.92705 -27.7574
376 2.9265 -27.8351
377 2.92594 -27.9125
378 2.92538 -27.9897
379 2.92482 -28.0666
380 2.92426 -28.1432
381 2.92369 -28.2196
382 2.92313 -28.2958
383 2.92256 -28.3717
384 2.92199 -28.4473
385 2.92142 -28.5227
386 2.92085 -28.5978
387 2.92028 -28.6726
388 2.9197 -28.7472
389 2.91913 -28.8215
390 2.91855 -28.8956
391 2.91797 -28.9693
392 2.91739 -29.0429
393 2.91681 -29.1161
394 2.91623 -29.189
395 2.91564 -29.2617
396 2.91506 -29.3341
397 2.91447 -29.4062
398 2.91388 -29.4781
399 2.91329 -29.5496
400 2.9127 -29.6209
401 2.91211 -29.6919
402 2.91151 -29.7626
403 2.91092 -29.833
404 2.91032 -29.9031
405 2.90972 -29.9729
406 2.90912 -30.0425
407 2.90852 -30.1117
408 2.90792 -30.1806
409 2.90731 -30.2493
410 2.90671 -30.3176
411 2.9061 -30.3857
412 2.90549 -30.4534
413 2.90488 -30.5208
414 2.90427 -30.588
415 2.90366 -30.6548
416 2.90304 -30.7213
417 2.90243 -30.7875
418 2.90181 -30.8534
419 2.90119 -30.9189
420 2.90057 -30.9842
421 2.89995 -31.0491
422 2.89933 -31.1137
423 2.89871 -31.178
424 2.89809 -31.2419
425 2.89746 -31.3056
426 2.89683 -31.3689
427 2.89621 -31.4319
428 2.89558 -31.4945
429 2.89495 -31.5568
430 2.89431 -31.6188
431 2.89368 -31.6805
432 2.89305 -31.7418
433 2.89241 -31.8027
434 2.89177 -31.8633
435 2.89114 -31.9236
436 2.8905 -31.9836
437 2.88986 -32.0432
438 2.88922 -32.1024
439 2.88857 -32.1613
440 2.88793 -32.2198
441 2.88728 -32.278
442 2.88664 -32.3358
443 2.88599 -32.3933
444 2.88534 -32.4504
445 2.88469 -32.5072
446 2.88404 -32.5636
447 2.88339 -32.6196
448 2.88274 -32.6752
449 2.88208 -32.7305
450 2.88143 -32.7854
451 2.88077 -32.84
452 2.88011 -32.8941
453 2.87946 -32.9479
454 2.8788 -33.0013
455 2.87814 -33.0544
456 2.87747 -33.107
457 2.87681 -33.1593
458 2.87615 -33.2112
459 2.87548 -33.2626
460 2.87482 -33.3137
461 2.87415 -33.3645
462 2.87348 -33.4148
463 2.87281 -33.4647
464 2.87214 -33.5142
465 2.87147 -33.5633
466 2.8708 -33.6121
467 2.87013 -33.6604
468 2.86946 -33.7083
469 2.86878 -33.7558
470 2.86811 -33.8029
471 2.86743 -33.8496
472 2.86675 -33.8959
473 2.86607 -33.9417
474 2.86539 -33.9871
475 2.86471 -34.0322
476 2.86403 -34.0768
477 2.86335 -34.1209
478 2.86267 -34.1647
479 2.86198 -34.208
480 2.8613 -34.2509
481 2.86061 -34.2934
482 2.85993 -34.3354
483 2.85924 -34.377
484 2.85855 -34.4182
485 2.85786 -34.4589
486 2.85717 -34.4992
487 2.85648 -34.539
488 2.85579 -34.5784
489 2.8551 -34.6173
490 2.85441 -34.6558
491 2.85371 -34.6939
492 2.85302 -34.7314
493 2.85232 -34.7686
494 2.85163 -34.8052
495 2.85093 -34.8415
496 2.85024 -34.8772
497 2.84954 -34.9125
498 2.84884 -34.9473
499 2.84814 -34.9817
500 2.84744 -35.0155
501 2.84674 -35.049
502 2.84604 -35.0819
503 2.84534 -35.1144
504 2.84463 -35.1463
505 2.84393 -35.1778
506 2.84323 -35.2089
507 2.84252 -35.2394
508 2.84182 -35.2694
509 2.84111 -35.299
510 2.8404 -35.3281
511 2.8397 -35.3566
512 2.83899 -35.3847
513 2.83828 -35.4123
514 2.83757 -35.4394
515 2.83686 -35.4659
516 2.83616 -35.492
517 2.83545 -35.5176
518 2.83473 -35.5427
519 2.83402 -35.5672
520 2.83331 -35.5912
521 2.8326 -35.6148
522 2.83189 -35.6378
523 2.83117 -35.6603
524 2.83046 -35.6822
525 2.82975 -35.7037
526 2.82903 -35.7246
527 2.82832 -35.745
528 2.8276 -35.7649
529 2.82689 -35.7842
530 2.82617 -35.803
531 2.82546 -35.8212
532 2.82474 -35.839
533 2.82402 -35.8562
534 2.8233 -35.8728
535 2.82259 -35.8889
536 2.82187 -35.9045
537 2.82115 -35.9195
538 2.82043 -35.9339
539 2.81971 -35.9478
540 2.81899 -35.9612
541 2.81827 -35.9739
542 2.81756 -35.9862
543 2.81684 -35.9978
544 2.81612 -36.009
545 2.81539 -36.0195
546 2.81467 -36.0295
547 2.81395 -36.0389
548 2.81323 -36.0477
549 2.81251 -36.056
550 2.81179 -36.0636
551 2.81107 -36.0707
552 2.81035 -36.0773
553 2.80963 -36.0832
554 2.8089 -36.0886
555 2.80818 -36.0933
556 2.80746 -36.0975
557 2.80674 -36.1011
558 2.80602 -36.1041
559 2.80529 -36.1065
560 2.80457 -36.1083
561 2.80385 -36.1095
562 2.80313 -36.1101
563 2.80241 -36.1101
564 2.80168 -36.1095
565 2.80096 -36.1083
566 2.80024 -36.1065
567 2.79952 -36.1041
568 2.7988 -36.101
569 2.79807 -36.0973
570 2.79735 -36.0931
571 2.79663 -36.0882
572 2.79591 -36.0827
573 2.79519 -36.0765
574 2.79446 -36.0697
575 2.79374 -36.0623
576 2.79302 -36.0543
577 2.7923 -36.0457
578 2.79158 -36.0364
579 2.79086 -36.0264
580 2.79014 -36.0159
581 2.78942 -36.0047
582 2.7887 -35.9928
583 2.78798 -35.9803
584 2.78726 -35.9672
585 2.78654 -35.9534
586 2.78582 -35.939
587 2.7851 -35.9239
588 2.78438 -35.9082
589 2.78367 -35.8918
590 2.78295 -35.8747
591 2.78223 -35.857
592 2.78151 -35.8386
593 2.7808 -35.8196
594 2.78008 -35.7999
595 2.77937 -35.7795
596 2.77865 -35.7585
597 2.77794 -35.7368
598 2.77722 -35.7144
599 2.77651 -35.6914
600 2.77579 -35.6677
601 2.77508 -35.6433
602 2.77437 -35.6182
603 2.77366 -35.5924
604 2.77294 -35.566
605 2.77223 -35.5389
606 2.77152 -35.511
607 2.77081 -35.4825
608 2.7701 -35.4533
609 2.76939 -35.4235
610 2.76869 -35.3929
611 2.76798 -35.3616
612 2.76727 -35.3296
613 2.76657 -35.297
614 2.76586 -35.2636
615 2.76516 -35.2295
616 2.76445 -35.1948
617 2.76375 -35.1593
618 2.76304 -35.1231
619 2.76234 -35.0862
620 2.76164 -35.0486
621 2.76094 -35.0103
622 2.76024 -34.9713
623 2.75954 -34.9315
624 2.75884 -34.8911
625 2.75815 -34.8499
626 2.75745 -34.808
627 2.75675 -34.7654
628 2.75606 -34.722
629 2.75536 -34.678
630 2.75467 -34.6332
631 2.75398 -34.5877
632 2.75329 -34.5415
633 2.7526 -34.4945
634 2.75191 -34.4468
635 2.75122 -34.3984
636 2.75053 -34.3492
637 2.74985 -34.2993
638 2.74916 -34.2487
639 2.74848 -34.1973
640 2.74779 -34.1452
641 2.74711 -34.0924
642 2.74643 -34.0388
643 2.74575 -33.9845
644 2.74507 -33.9294
645 2.74439 -33.8736
646 2.74371 -33.8171
647 2.74304 -33.7598
648 2.74236 -33.7017
649 2.74169 -33.643
650 2.74102 -33.5834
651 2.74035 -33.5231
652 2.73968 -33.4621
653 2.73901 -33.4003
654 2.73834 -33.3377
655 2.73768 -33.2744
656 2.73701 -33.2104
657 2.73635 -33.1456
658 2.73568 -33.08
659 2.73502 -33.0137
660 2.73436 -32.9466
661 2.73371 -32.8787
662 2.73305 -32.8101
663 2.73239 -32.7408
664 2.73174 -32.6706
665 2.73109 -32.5997
666 2.73044 -32.5281
667 2.72979 -32.4557
668 2.72914 -32.3825
669 2.72849 -32.3086
670 2.72784 -32.2338
671 2.7272 -32.1584
672 2.72656 -32.0821
673 2.72592 -32.0051
674 2.72528 -31.9273
675 2.72464 -31.8488
676 2.724 -31.7695
677 2.72337 -31.6894
678 2.72274 -31.6086
679 2.72211 -31.5269
680 2.72148 -31.4445
681 2.72085 -31.3614
682 2.72022 -31.2775
683 2.7196 -31.1928
684 2.71897 -31.1073
685 2.71835 -31.021
686 2.71773 -30.934
687 2.71712 -30.8462
688 2.7165 -30.7577
689 2.71588 -30.6684
690 2.71527 -30.5783
691 2.71466 -30.4874
692 2.71405 -30.3958
693 2.71345 -30.3034
694 2.71284 -30.2102
695 2.71224 -30.1162
696 2.71164 -30.0215
697 2.71104 -29.926
698 2.71044 -29.8297
699 2.70984 -29.7327
700 2.70925 -29.6349
701 2.70866 -29.5363
702 2.70807 -29.437
703 2.70748 -29.3369
