n	rho	drho
0 3 4
1 3.00008 3.89295
2 3.00016 3.78589
3 3.00023 3.67882
4 3.0003 3.57173
5 3.00037 3.46462
6 3.00044 3.35751
7 3.00051 3.25038
8 3.00057 3.14324
9 3.00063 3.03609
10 3.00069 2.92893
11 3.00075 2.82176
12 3.00081 2.71458
13 3.00086 2.60739
14 3.00091 2.50019
15 3.00096 2.39298
16 3.00101 2.28577
17 3.00105 2.17855
18 3.00109 2.07132
19 3.00113 1.96409
20 3.00117 1.85685
21 3.00121 1.74961
22 3.00124 1.64236
23 3.00127 1.53511
24 3.0013 1.42785
25 3.00133 1.32059
26 3.00136 1.21333
27 3.00138 1.10607
28 3.0014 0.998808
29 3.00142 0.891543
30 3.00144 0.784278
31 3.00145 0.677014
32 3.00146 0.56975
33 3.00147 0.462487
34 3.00148 0.355225
35 3.00149 0.247966
36 3.00149 0.14071
37 3.00149 0.0334572
38 3.00149 -0.0737921
39 3.00149 -0.181037
40 3.00149 -0.288277
41 3.00148 -0.395512
42 3.00147 -0.502742
43 3.00146 -0.609964
44 3.00144 -0.71718
45 3.00143 -0.824389
46 3.00141 -0.93159
47 3.00139 -1.03878
48 3.00137 -1.14597
49 3.00135 -1.25314
50 3.00132 -1.3603
51 3.00129 -1.46746
52 3.00126 -1.5746
53 3.00123 -1.68173
54 3.00119 -1.78885
55 3.00116 -1.89596
56 3.00112 -2.00305
57 3.00108 -2.11014
58 3.00103 -2.2172
59 3.00099 -2.32425
60 3.00094 -2.43129
61 3.00089 -2.53831
62 3.00084 -2.64532
63 3.00079 -2.75231
64 3.00073 -2.85928
65 3.00067 -2.96623
66 3.00061 -3.07317
67 3.00055 -3.18009
68 3.00048 -3.28698
69 3.00042 -3.39386
70 3.00035 -3.50072
71 3.00028 -3.60756
72 3.0002 -3.71437
73 3.00013 -3.82117
74 3.00005 -3.92794
75 2.99997 -4.03469
76 2.99989 -4.14141
77 2.99981 -4.24811
78 2.99972 -4.35479
79 2.99963 -4.46144
80 2.99954 -4.56807
81 2.99945 -4.67466
82 2.99935 -4.78124
83 2.99926 -4.88778
84 2.99916 -4.9943
85 2.99906 -5.10079
86 2.99895 -5.20725
87 2.99885 -5.31368
88 2.99874 -5.42009
89 2.99863 -5.52646
90 2.99852 -5.6328
91 2.99841 -5.73911
92 2.99829 -5.84538
93 2.99817 -5.95163
94 2.99805 -6.05784
95 2.99793 -6.16402
96 2.99781 -6.27016
97 2.99768 -6.37627
98 2.99755 -6.48234
99 2.99742 -6.58838
100 2.99729 -6.69438
101 2.99715 -6.80034
102 2.99702 -6.90626
103 2.99688 -7.01215
104 2.99674 -7.118
105 2.99659 -7.22381
106 2.99645 -7.32958
107 2.9963 -7.43531
108 2.99615 -7.54099
109 2.996 -7.64664
110 2.99584 -7.75224
111 2.99569 -7.8578
112 2.99553 -7.96332
113 2.99537 -8.0688
114 2.99521 -8.17423
115 2.99504 -8.27961
116 2.99488 -8.38495
117 2.99471 -8.49024
118 2.99454 -8.59548
119 2.99436 -8.70068
