n	rho	drho
0 3 66
1 3.00132 65.8928
2 3.00264 65.7855
3 3.00395 65.6778
4 3.00526 65.57
5 3.00657 65.4619
6 3.00788 65.3536
7 3.00919 65.2451
8 3.01049 65.1364
9 3.01179 65.0274
10 3.01309 64.9182
11 3.01439 64.8088
12 3.01568 64.6992
13 3.01698 64.5894
14 3.01827 64.4794
15 3.01956 64.3692
16 3.02084 64.2588
17 3.02213 64.1482
18 3.02341 64.0374
19 3.02469 63.9264
20 3.02597 63.8152
21 3.02724 63.7038
22 3.02851 63.5922
23 3.02978 63.4804
24 3.03105 63.3685
25 3.03232 63.2563
26 3.03358 63.144
27 3.03485 63.0315
28 3.0361 62.9188
29 3.03736 62.8059
30 3.03862 62.6929
31 3.03987 62.5797
32 3.04112 62.4663
33 3.04237 62.3528
34 3.04361 62.2391
35 3.04486 62.1252
36 3.0461 62.0112
37 3.04734 61.897
38 3.04858 61.7826
39 3.04981 61.6681
40 3.05104 61.5534
41 3.05227 61.4386
42 3.0535 61.3236
43 3.05472 61.2085
44 3.05595 61.0932
45 3.05717 60.9777
46 3.05839 60.8622
47 3.0596 60.7464
48 3.06082 60.6306
49 3.06203 60.5146
50 3.06324 60.3984
51 3.06444 60.2821
52 3.06565 60.1657
53 3.06685 60.0491
54 3.06805 59.9324
55 3.06925 59.8156
56 3.07044 59.6986
57 3.07164 59.5816
58 3.07283 59.4643
59 3.07401 59.347
60 3.0752 59.2295
61 3.07638 59.1119
62 3.07756 58.9942
63 3.07874 58.8764
64 3.07992 58.7584
65 3.08109 58.6404
66 3.08227 58.5222
67 3.08343 58.4039
68 3.0846 58.2854
69 3.08577 58.1669
70 3.08693 58.0483
71 3.08809 57.9295
72 3.08925 57.8106
73 3.0904 57.6917
74 3.09155 57.5726
75 3.0927 57.4534
76 3.09385 57.3341
77 3.095 57.2147
78 3.09614 57.0952
79 3.09728 56.9757
80 3.09842 56.856
81 3.09955 56.7362
82 3.10069 56.6163
83 3.10182 56.4963
84 3.10295 56.3762
85 3.10407 56.2561
86 3.1052 56.1358
87 3.10632 56.0155
88 3.10744 55.895
89 3.10856 55.7745
90 3.10967 55.6539
91 3.11078 55.5332
92 3.11189 55.4124
93 3.113 55.2915
94 3.1141 55.1705
95 3.11521 55.0495
96 3.11631 54.9284
97 3.1174 54.8072
98 3.1185 54.6859
99 3.11959 54.5645
100 3.12068 54.4431
101 3.12177 54.3216
