n	rho	drho
0 3 60
1 3.0012 59.8929
2 3.0024 59.7855
3 3.00359 59.6779
4 3.00478 59.5702
5 3.00597 59.4622
6 3.00716 59.354
7 3.00835 59.2456
8 3.00953 59.137
9 3.01071 59.0282
10 3.01189 58.9192
11 3.01307 58.8101
12 3.01424 58.7007
13 3.01542 58.5911
14 3.01659 58.4814
15 3.01776 58.3714
16 3.01892 58.2613
17 3.02009 58.151
18 3.02125 58.0405
19 3.02241 57.9299
20 3.02357 57.819
21 3.02472 57.708
22 3.02587 57.5968
23 3.02703 57.4854
24 3.02817 57.3739
25 3.02932 57.2622
26 3.03046 57.1503
27 3.03161 57.0383
28 3.03275 56.9261
29 3.03388 56.8137
30 3.03502 56.7012
31 3.03615 56.5885
32 3.03728 56.4756
33 3.03841 56.3626
34 3.03954 56.2495
35 3.04066 56.1361
36 3.04178 56.0227
37 3.0429 55.9091
38 3.04402 55.7953
39 3.04513 55.6814
40 3.04625 55.5673
41 3.04736 55.4531
42 3.04846 55.3388
43 3.04957 55.2243
44 3.05067 55.1097
45 3.05177 54.9949
46 3.05287 54.88
47 3.05397 54.765
48 3.05506 54.6498
49 3.05616 54.5345
50 3.05724 54.4191
51 3.05833 54.3035
52 3.05942 54.1878
53 3.0605 54.072
54 3.06158 53.9561
55 3.06266 53.84
56 3.06373 53.7238
57 3.06481 53.6075
58 3.06588 53.4911
59 3.06695 53.3745
60 3.06801 53.2578
61 3.06908 53.1411
62 3.07014 53.0242
63 3.0712 52.9071
64 3.07225 52.79
65 3.07331 52.6728
66 3.07436 52.5554
67 3.07541 52.4379
68 3.07646 52.3204
69 3.0775 52.2027
70 3.07855 52.0849
71 3.07959 51.967
72 3.08063 51.849
73 3.08166 51.7309
74 3.08269 51.6127
75 3.08373 51.4944
76 3.08475 51.376
77 3.08578 51.2575
78 3.08681 51.1389
79 3.08783 51.0202
80 3.08885 50.9014
81 3.08986 50.7826
82 3.09088 50.6636
83 3.09189 50.5445
84 3.0929 50.4254
85 3.09391 50.3061
86 3.09491 50.1868
87 3.09591 50.0673
88 3.09691 49.9478
89 3.09791 49.8282
