n	rho	drho
0 3 54
1 3.00108 53.8929
2 3.00216 53.7855
3 3.00323 53.678
4 3.0043 53.5703
5 3.00537 53.4624
6 3.00644 53.3544
7 3.00751 53.2461
8 3.00857 53.1377
9 3.00963 53.029
10 3.01069 52.9203
11 3.01175 52.8113
12 3.0128 52.7021
13 3.01386 52.5928
14 3.01491 52.4833
15 3.01596 52.3737
16 3.017 52.2639
17 3.01805 52.1539
18 3.01909 52.0437
19 3.02013 51.9334
20 3.02117 51.8229
21 3.0222 51.7123
22 3.02324 51.6015
23 3.02427 51.4905
24 3.0253 51.3794
25 3.02632 51.2681
26 3.02735 51.1567
27 3.02837 51.0451
28 3.02939 50.9334
29 3.03041 50.8215
30 3.03142 50.7095
31 3.03243 50.5974
32 3.03344 50.4851
33 3.03445 50.3726
34 3.03546 50.26
35 3.03646 50.1473
36 3.03747 50.0344
37 3.03846 49.9214
38 3.03946 49.8082
39 3.04046 49.695
40 3.04145 49.5816
41 3.04244 49.468
42 3.04343 49.3543
43 3.04441 49.2405
44 3.0454 49.1266
45 3.04638 49.0125
46 3.04736 48.8983
47 3.04834 48.784
48 3.04931 48.6696
49 3.05028 48.555
50 3.05125 48.4403
51 3.05222 48.3255
52 3.05319 48.2106
53 3.05415 48.0956
54 3.05511 47.9804
55 3.05607 47.8651
56 3.05702 47.7498
57 3.05798 47.6343
58 3.05893 47.5186
59 3.05988 47.4029
60 3.06083 47.2871
61 3.06177 47.1711
62 3.06271 47.0551
63 3.06365 46.9389
64 3.06459 46.8227
65 3.06552 46.7063
66 3.06646 46.5898
67 3.06739 46.4733
68 3.06832 46.3566
69 3.06924 46.2398
70 3.07017 46.123
71 3.07109 46.006
72 3.07201 45.8889
73 3.07292 45.7717
74 3.07384 45.6545
75 3.07475 45.5371
76 3.07566 45.4197
77 3.07657 45.3021
78 3.07747 45.1845
79 3.07837 45.0668
80 3.07927 44.949
81 3.08017 44.8311
82 3.08107 44.7131
83 3.08196 44.595
84 3.08285 44.4768
85 3.08374 44.3586
86 3.08463 44.2402
87 3.08551 44.1218
88 3.08639 44.0033
89 3.08727 43.8847
90 3.08815 43.7661
91 3.08902 43.6473
92 3.08989 43.5285
93 3.09076 43.4096
94 3.09163 43.2906
95 3.09249 43.1716
96 3.09335 43.0525
97 3.09421 42.9332
98 3.09507 42.814
99 3.09593 42.6946
100 3.09678 42.5752
101 3.09763 42.4557
102 3.09848 42.3361
103 3.09932 42.2165
104 3.10017 42.0968
105 3.10101 41.977
106 3.10185 41.8571
107 3.10268 41.7372
108 3.10352 41.6172
109 3.10435 41.4972
110 3.10517 41.3771
111 3.106 41.2569
112 3.10683 41.1366
113 3.10765 41.0163
114 3.10847 40.896
115 3.10928 40.7755
116 3.1101 40.655
117 3.11091 40.5345
118 3.11172 40.4139
119 3.11253 40.2932
120 3.11333 40.1725
121 3.11413 40.0517
122 3.11493 39.9308
123 3.11573 39.8099
124 3.11652 39.689
125 3.11732 39.568
126 3.11811 39.4469
127 3.11889 39.3258
128 3.11968 39.2046
129 3.12046 39.0834
130 3.12124 38.9621
131 3.12202 38.8407
132 3.1228 38.7193
133 3.12357 38.5979
134 3.12434 38.4764
135 3.12511 38.3549
136 3.12588 38.2333
137 3.12664 38.1117
138 3.1274 37.99
139 3.12816 37.8682
140 3.12891 37.7465
141 3.12967 37.6246
142 3.13042 37.5028
143 3.13117 37.3809
144 3.13191 37.2589
145 3.13266 37.1369
146 3.1334 37.0149
147 3.13414 36.8928
148 3.13488 36.7706
149 3.13561 36.6485
150 3.13634 36.5262
151 3.13707 36.404
152 3.1378 36.2817
153 3.13852 36.1593
154 3.13924 36.037
155 3.13996 35.9145
156 3.14068 35.7921
157 3.1414 35.6696
158 3.14211 35.5471
159 3.14282 35.4245
160 3.14352 35.3019
161 3.14423 35.1792
162 3.14493 35.0566
163 3.14563 34.9338
164 3.14633 34.8111
165 3.14702 34.6883
166 3.14772 34.5655
167 3.14841 34.4426
168 3.14909 34.3197
169 3.14978 34.1968
170 3.15046 34.0739
171 3.15114 33.9509
172 3.15182 33.8279
173 3.1525 33.7048
174 3.15317 33.5817
175 3.15384 33.4586
176 3.15451 33.3355
177 3.15517 33.2123
178 3.15584 33.0891
179 3.1565 32.9659
180 3.15715 32.8426
181 3.15781 32.7193
182 3.15846 32.596
183 3.15911 32.4727
184 3.15976 32.3493
185 3.16041 32.2259
186 3.16105 32.1025
187 3.16169 31.979
188 3.16233 31.8556
189 3.16297 31.7321
190 3.1636 31.6085
191 3.16423 31.485
192 3.16486 31.3614
193 3.16548 31.2378
194 3.16611 31.1142
195 3.16673 30.9905
196 3.16735 30.8668
197 3.16796 30.7431
198 3.16858 30.6194
199 3.16919 30.4957
200 3.1698 30.3719
201 3.1704 30.2481
202 3.17101 30.1243
203 3.17161 30.0005
204 3.17221 29.8767
205 3.1728 29.7528
206 3.1734 29.6289
207 3.17399 29.505
208 3.17458 29.381
209 3.17516 29.2571
210 3.17575 29.1331
211 3.17633 29.0091
212 3.17691 28.8851
213 3.17748 28.7611
214 3.17806 28.6371
215 3.17863 28.513
216 3.1792 28.3889
217 3.17977 28.2648
218 3.18033 28.1407
219 3.18089 28.0166
220 3.18145 27.8924
221 3.18201 27.7683
222 3.18256 27.6441
223 3.18311 27.5199
224 3.18366 27.3957
225 3.18421 27.2715
226 3.18475 27.1472
227 3.18529 27.023
228 3.18583 26.8987
229 3.18637 26.7744
230 3.1869 26.6501
231 3.18744 26.5258
232 3.18797 26.4015
233 3.18849 26.2771
234 3.18902 26.1528
235 3.18954 26.0284
236 3.19006 25.904
237 3.19057 25.7796
238 3.19109 25.6552
239 3.1916 25.5308
240 3.19211 25.4064
241 3.19262 25.2819
242 3.19312 25.1575
243 3.19362 25.033
244 3.19412 24.9085
245 3.19462 24.784
246 3.19511 24.6595
247 3.19561 24.535
248 3.1961 24.4105
249 3.19658 24.286
250 3.19707 24.1614
251 3.19755 24.0369
252 3.19803 23.9123
253 3.19851 23.7877
254 3.19898 23.6631
255 3.19945 23.5386
256 3.19992 23.414
257 3.20039 23.2893
258 3.20085 23.1647
259 3.20132 23.0401
260 3.20177 22.9155
261 3.20223 22.7908
262 3.20269 22.6662
263 3.20314 22.5415
264 3.20359 22.4168
265 3.20404 22.2922
266 3.20448 22.1675
267 3.20492 22.0428
268 3.20536 21.9181
269 3.2058 21.7934
270 3.20623 21.6687
271 3.20667 21.544
272 3.2071 21.4193
273 3.20752 21.2945
274 3.20795 21.1698
275 3.20837 21.045
276 3.20879 20.9203
277 3.20921 20.7955
278 3.20962 20.6708
279 3.21003 20.546
280 3.21044 20.4213
281 3.21085 20.2965
282 3.21125 20.1717
283 3.21166 20.0469
284 3.21206 19.9221
285 3.21245 19.7973
286 3.21285 19.6725
287 3.21324 19.5477
288 3.21363 19.4229
289 3.21402 19.2981
290 3.2144 19.1733
291 3.21478 19.0485
292 3.21516 18.9236
293 3.21554 18.7988
294 3.21592 18.674
295 3.21629 18.5491
296 3.21666 18.4243
297 3.21702 18.2995
298 3.21739 18.1746
299 3.21775 18.0498
300 3.21811 17.9249
301 3.21847 17.8001
302 3.21882 17.6752
303 3.21918 17.5504
304 3.21953 17.4255
