n	rho	drho
0 3 21
1 3.00042 20.8929
2 3.00084 20.7858
3 3.00125 20.6785
4 3.00166 20.5712
5 3.00207 20.4639
6 3.00248 20.3564
7 3.00289 20.2489
8 3.00329 20.1413
9 3.00369 20.0337
10 3.00409 19.9259
11 3.00449 19.8181
12 3.00489 19.7103
13 3.00528 19.6024
14 3.00567 19.4944
15 3.00606 19.3863
16 3.00644 19.2782
17 3.00683 19.17
18 3.00721 19.0617
19 3.00759 18.9534
20 3.00797 18.845
21 3.00835 18.7366
22 3.00872 18.628
23 3.00909 18.5195
24 3.00946 18.4108
25 3.00983 18.3022
26 3.01019 18.1934
27 3.01056 18.0846
28 3.01092 17.9757
29 3.01127 17.8668
30 3.01163 17.7578
31 3.01198 17.6488
32 3.01234 17.5397
33 3.01269 17.4306
34 3.01303 17.3214
35 3.01338 17.2121
36 3.01372 17.1028
37 3.01406 16.9934
38 3.0144 16.884
39 3.01474 16.7746
40 3.01507 16.6651
41 3.0154 16.5555
42 3.01573 16.4459
43 3.01606 16.3362
44 3.01639 16.2265
45 3.01671 16.1168
46 3.01703 16.007
47 3.01735 15.8971
48 3.01767 15.7872
49 3.01798 15.6773
50 3.0183 15.5673
51 3.01861 15.4572
52 3.01891 15.3472
53 3.01922 15.237
54 3.01952 15.1269
55 3.01983 15.0167
56 3.02012 14.9064
57 3.02042 14.7961
58 3.02072 14.6858
59 3.02101 14.5754
60 3.0213 14.465
61 3.02159 14.3546
62 3.02187 14.2441
63 3.02216 14.1336
64 3.02244 14.023
65 3.02272 13.9124
66 3.023 13.8018
67 3.02327 13.6911
68 3.02354 13.5804
69 3.02381 13.4697
70 3.02408 13.3589
71 3.02435 13.2481
72 3.02461 13.1372
73 3.02487 13.0264
74 3.02513 12.9155
75 3.02539 12.8045
76 3.02564 12.6935
77 3.0259 12.5825
78 3.02615 12.4715
79 3.0264 12.3604
80 3.02664 12.2494
81 3.02689 12.1382
82 3.02713 12.0271
83 3.02737 11.9159
84 3.0276 11.8047
85 3.02784 11.6935
86 3.02807 11.5822
87 3.0283 11.4709
88 3.02853 11.3596
