n	rho	drho
0 3 47
1 3.00094 46.8929
2 3.00188 46.7856
3 3.00281 46.6781
4 3.00374 46.5705
5 3.00467 46.4627
6 3.0056 46.3548
7 3.00653 46.2467
8 3.00745 46.1384
9 3.00837 46.03
10 3.00929 45.9214
11 3.01021 45.8127
12 3.01112 45.7038
13 3.01204 45.5948
14 3.01295 45.4856
15 3.01386 45.3763
16 3.01476 45.2668
17 3.01567 45.1572
18 3.01657 45.0475
19 3.01747 44.9375
20 3.01837 44.8275
21 3.01926 44.7173
22 3.02016 44.607
23 3.02105 44.4965
24 3.02194 44.3859
25 3.02282 44.2752
26 3.02371 44.1643
27 3.02459 44.0533
28 3.02547 43.9421
29 3.02635 43.8309
30 3.02722 43.7194
31 3.0281 43.6079
32 3.02897 43.4963
33 3.02984 43.3845
34 3.0307 43.2726
35 3.03157 43.1605
36 3.03243 43.0484
37 3.03329 42.9361
38 3.03415 42.8237
39 3.035 42.7112
40 3.03585 42.5985
41 3.03671 42.4858
42 3.03755 42.3729
43 3.0384 42.2599
44 3.03924 42.1468
45 3.04009 42.0336
46 3.04093 41.9202
47 3.04176 41.8068
48 3.0426 41.6932
49 3.04343 41.5796
50 3.04426 41.4658
51 3.04509 41.3519
52 3.04592 41.238
53 3.04674 41.1239
54 3.04756 41.0097
55 3.04838 40.8954
56 3.0492 40.781
57 3.05001 40.6665
58 3.05082 40.5519
59 3.05163 40.4372
60 3.05244 40.3224
61 3.05325 40.2075
62 3.05405 40.0925
63 3.05485 39.9774
64 3.05565 39.8622
65 3.05644 39.7469
66 3.05724 39.6316
67 3.05803 39.5161
68 3.05882 39.4005
69 3.0596 39.2849
70 3.06039 39.1692
71 3.06117 39.0533
72 3.06195 38.9374
73 3.06273 38.8214
74 3.0635 38.7053
75 3.06428 38.5892
76 3.06505 38.4729
77 3.06582 38.3566
78 3.06658 38.2402
79 3.06735 38.1237
80 3.06811 38.0071
81 3.06887 37.8904
82 3.06962 37.7737
83 3.07038 37.6568
84 3.07113 37.5399
85 3.07188 37.4229
86 3.07263 37.3059
87 3.07337 37.1887
88 3.07411 37.0715
89 3.07485 36.9543
90 3.07559 36.8369
91 3.07633 36.7195
92 3.07706 36.602
