n	rho	drho
0 3 42
1 3.00084 41.8929
2 3.00168 41.7856
3 3.00251 41.6782
4 3.00334 41.5707
5 3.00417 41.463
6 3.005 41.3551
7 3.00583 41.2471
8 3.00665 41.139
9 3.00747 41.0307
10 3.00829 40.9223
11 3.00911 40.8138
12 3.00993 40.7051
13 3.01074 40.5962
14 3.01155 40.4873
15 3.01236 40.3782
16 3.01316 40.269
17 3.01397 40.1596
18 3.01477 40.0502
19 3.01557 39.9405
20 3.01637 39.8308
21 3.01716 39.7209
22 3.01796 39.6109
23 3.01875 39.5008
24 3.01954 39.3906
25 3.02032 39.2802
26 3.02111 39.1698
27 3.02189 39.0592
28 3.02267 38.9484
29 3.02345 38.8376
30 3.02422 38.7266
31 3.025 38.6156
32 3.02577 38.5044
33 3.02654 38.3931
34 3.0273 38.2817
35 3.02807 38.1701
36 3.02883 38.0585
37 3.02959 37.9468
38 3.03035 37.8349
39 3.0311 37.7229
40 3.03186 37.6109
41 3.03261 37.4987
42 3.03336 37.3864
43 3.0341 37.274
44 3.03485 37.1615
45 3.03559 37.0489
46 3.03633 36.9362
47 3.03707 36.8235
48 3.0378 36.7106
49 3.03854 36.5976
50 3.03927 36.4845
51 3.04 36.3713
52 3.04072 36.258
53 3.04145 36.1446
54 3.04217 36.0312
55 3.04289 35.9176
56 3.0436 35.8039
57 3.04432 35.6902
58 3.04503 35.5763
59 3.04574 35.4624
60 3.04645 35.3484
61 3.04716 35.2343
62 3.04786 35.1201
63 3.04856 35.0058
64 3.04926 34.8914
65 3.04996 34.777
66 3.05065 34.6624
67 3.05134 34.5478
68 3.05203 34.4331
69 3.05272 34.3183
70 3.05341 34.2034
71 3.05409 34.0885
72 3.05477 33.9734
73 3.05545 33.8583
74 3.05612 33.7431
75 3.0568 33.6279
76 3.05747 33.5125
77 3.05814 33.3971
78 3.05881 33.2816
79 3.05947 33.166
80 3.06013 33.0504
81 3.06079 32.9347
82 3.06145 32.8189
83 3.0621 32.703
84 3.06276 32.5871
85 3.06341 32.471
86 3.06406 32.355
87 3.0647 32.2388
88 3.06535 32.1226
89 3.06599 32.0063
90 3.06663 31.89
91 3.06726 31.7736
92 3.0679 31.6571
93 3.06853 31.5405
94 3.06916 31.4239
95 3.06979 31.3072
96 3.07041 31.1905
97 3.07103 31.0737
98 3.07165 30.9568
99 3.07227 30.8399
100 3.07289 30.7229
101 3.0735 30.6059
102 3.07411 30.4887
103 3.07472 30.3716
104 3.07533 30.2544
105 3.07593 30.1371
106 3.07653 30.0197
107 3.07713 29.9023
108 3.07773 29.7849
109 3.07832 29.6674
110 3.07891 29.5498
111 3.0795 29.4322
112 3.08009 29.3145
113 3.08068 29.1968
114 3.08126 29.079
115 3.08184 28.9611
116 3.08242 28.8432
117 3.08299 28.7253
118 3.08357 28.6073
119 3.08414 28.4893
120 3.08471 28.3712
121 3.08527 28.253
122 3.08584 28.1349
123 3.0864 28.0166
124 3.08696 27.8983
125 3.08751 27.78
126 3.08807 27.6616
127 3.08862 27.5432
128 3.08917 27.4247
129 3.08972 27.3062
130 3.09026 27.1877
131 3.09081 27.0691
132 3.09135 26.9504
133 3.09188 26.8317
134 3.09242 26.713
135 3.09295 26.5942
136 3.09348 26.4754
137 3.09401 26.3565
138 3.09454 26.2376
139 3.09506 26.1187
140 3.09558 25.9997
141 3.0961 25.8807
142 3.09662 25.7616
143 3.09713 25.6425
144 3.09764 25.5234
145 3.09815 25.4042
146 3.09866 25.285
147 3.09916 25.1657
148 3.09967 25.0464
149 3.10017 24.9271
150 3.10066 24.8077
151 3.10116 24.6883
152 3.10165 24.5689
153 3.10214 24.4494
154 3.10263 24.3299
155 3.10311 24.2104
156 3.1036 24.0908
157 3.10408 23.9712
158 3.10456 23.8516
159 3.10503 23.7319
160 3.1055 23.6122
161 3.10598 23.4925
162 3.10644 23.3728
163 3.10691 23.253
164 3.10737 23.1331
165 3.10784 23.0133
166 3.10829 22.8934
167 3.10875 22.7735
168 3.10921 22.6536
169 3.10966 22.5336
170 3.11011 22.4136
171 3.11055 22.2936
172 3.111 22.1735
173 3.11144 22.0535
174 3.11188 21.9334
175 3.11232 21.8132
176 3.11275 21.6931
177 3.11319 21.5729
178 3.11362 21.4527
179 3.11404 21.3325
180 3.11447 21.2122
181 3.11489 21.0919
182 3.11531 20.9716
183 3.11573 20.8513
184 3.11615 20.7309
185 3.11656 20.6106
186 3.11697 20.4902
187 3.11738 20.3697
188 3.11779 20.2493
189 3.11819 20.1288
190 3.11859 20.0084
191 3.11899 19.8879
192 3.11939 19.7673
193 3.11978 19.6468
194 3.12017 19.5262
195 3.12056 19.4056
196 3.12095 19.285
197 3.12133 19.1644
198 3.12172 19.0438
199 3.1221 18.9231
200 3.12247 18.8024
201 3.12285 18.6817
202 3.12322 18.561
203 3.12359 18.4403
204 3.12396 18.3195
205 3.12432 18.1988
206 3.12469 18.078
207 3.12505 17.9572
208 3.1254 17.8364
209 3.12576 17.7156
210 3.12611 17.5947
211 3.12646 17.4738
212 3.12681 17.353
213 3.12716 17.2321
214 3.1275 17.1112
215 3.12784 16.9903
216 3.12818 16.8693
217 3.12852 16.7484
218 3.12885 16.6274
219 3.12918 16.5065
220 3.12951 16.3855
221 3.12984 16.2645
222 3.13016 16.1435
223 3.13048 16.0225
224 3.1308 15.9014
225 3.13112 15.7804
226 3.13143 15.6593
227 3.13175 15.5383
228 3.13206 15.4172
229 3.13236 15.2961
230 3.13267 15.175
231 3.13297 15.0539
232 3.13327 14.9328
233 3.13357 14.8117
234 3.13386 14.6906
235 3.13415 14.5694
236 3.13444 14.4483
237 3.13473 14.3271
238 3.13502 14.206
239 3.1353 14.0848
240 3.13558 13.9636
241 3.13586 13.8424
242 3.13613 13.7212
243 3.13641 13.6
244 3.13668 13.4788
245 3.13695 13.3576
246 3.13721 13.2364
247 3.13748 13.1152
248 3.13774 12.994
249 3.138 12.8727
250 3.13825 12.7515
251 3.13851 12.6302
252 3.13876 12.509
253 3.13901 12.3877
254 3.13925 12.2665
255 3.1395 12.1452
256 3.13974 12.024
257 3.13998 11.9027
258 3.14021 11.7814
259 3.14045 11.6602
260 3.14068 11.5389
261 3.14091 11.4176
262 3.14114 11.2963
263 3.14136 11.175
264 3.14159 11.0538
265 3.1418 10.9325
266 3.14202 10.8112
267 3.14224 10.6899
268 3.14245 10.5686
269 3.14266 10.4473
270 3.14287 10.326
271 3.14307 10.2047
272 3.14328 10.0835
273 3.14348 9.96216
274 3.14367 9.84088
275 3.14387 9.71959
276 3.14406 9.5983
277 3.14425 9.47702
278 3.14444 9.35573
279 3.14463 9.23445
280 3.14481 9.11317
281 3.14499 8.9919
282 3.14517 8.87062
283 3.14535 8.74935
284 3.14552 8.62808
285 3.14569 8.50681
286 3.14586 8.38555
287 3.14603 8.26429
288 3.14619 8.14303
289 3.14635 8.02178
290 3.14651 7.90053
291 3.14667 7.77928
292 3.14682 7.65804
293 3.14698 7.53681
294 3.14713 7.41558
295 3.14727 7.29435
296 3.14742 7.17313
297 3.14756 7.05192
298 3.1477 6.93071
299 3.14784 6.80951
300 3.14797 6.68831
301 3.1481 6.56713
302 3.14823 6.44594
303 3.14836 6.32477
304 3.14849 6.2036
305 3.14861 6.08244
306 3.14873 5.96129
307 3.14885 5.84014
308 3.14896 5.719
309 3.14908 5.59788
310 3.14919 5.47676
311 3.1493 5.35564
312 3.1494 5.23454
313 3.14951 5.11345
314 3.14961 4.99237
315 3.14971 4.87129
316 3.1498 4.75023
317 3.1499 4.62917
318 3.14999 4.50813
319 3.15008 4.3871
320 3.15016 4.26607
321 3.15025 4.14506
322 3.15033 4.02406
323 3.15041 3.90307
324 3.15048 3.7821
325 3.15056 3.66113
326 3.15063 3.54018
327 3.1507 3.41924
328 3.15077 3.29831
329 3.15083 3.17739
330 3.1509 3.05649
331 3.15095 2.9356
332 3.15101 2.81473
333 3.15107 2.69387
334 3.15112 2.57302
335 3.15117 2.45219
336 3.15122 2.33137
337 3.15126 2.21056
338 3.15131 2.08977
339 3.15135 1.969
340 3.15139 1.84824
341 3.15142 1.7275
342 3.15145 1.60677
343 3.15149 1.48606
344 3.15151 1.36537
345 3.15154 1.24469
346 3.15156 1.12403
347 3.15159 1.00338
348 3.1516 0.882754
349 3.15162 0.762145
350 3.15163 0.641553
351 3.15165 0.52098
352 3.15166 0.400425
353 3.15166 0.279888
354 3.15167 0.15937
355 3.15167 0.038871
356 3.15167 -0.0816087
357 3.15167 -0.202069
358 3.15166 -0.322509
359 3.15165 -0.442929
360 3.15164 -0.563329
361 3.15163 -0.683709
362 3.15161 -0.804068
363 3.1516 -0.924405
364 3.15158 -1.04472
365 3.15156 -1.16502
366 3.15153 -1.28529
367 3.1515 -1.40554
368 3.15148 -1.52577
369 3.15144 -1.64597
370 3.15141 -1.76616
371 3.15137 -1.88632
372 3.15133 -2.00645
373 3.15129 -2.12657
374 3.15125 -2.24666
375 3.1512 -2.36672
376 3.15115 -2.48676
377 3.1511 -2.60678
378 3.15105 -2.72677
379 3.15099 -2.84673
380 3.15094 -2.96667
381 3.15088 -3.08658
382 3.15081 -3.20647
383 3.15075 -3.32633
384 3.15068 -3.44617
385 3.15061 -3.56598
386 3.15054 -3.68576
387 3.15046 -3.80551
388 3.15038 -3.92523
389 3.1503 -4.04493
390 3.15022 -4.1646
391 3.15014 -4.28424
392 3.15005 -4.40385
393 3.14996 -4.52343
394 3.14987 -4.64298
395 3.14978 -4.7625
396 3.14968 -4.882
397 3.14958 -5.00146
398 3.14948 -5.12089
399 3.14938 -5.24029
400 3.14927 -5.35966
401 3.14916 -5.47899
402 3.14905 -5.5983
403 3.14894 -5.71757
404 3.14882 -5.83681
405 3.1487 -5.95602
