n	rho	drho
0 3 17
1 3.00034 16.8929
2 3.00068 16.7858
3 3.00101 16.6786
4 3.00134 16.5714
5 3.00167 16.464
6 3.002 16.3567
7 3.00233 16.2493
8 3.00265 16.1418
9 3.00297 16.0342
10 3.00329 15.9266
11 3.00361 15.819
12 3.00393 15.7113
13 3.00424 15.6035
14 3.00455 15.4957
15 3.00486 15.3879
16 3.00517 15.2799
17 3.00547 15.172
18 3.00577 15.0639
19 3.00607 14.9559
20 3.00637 14.8478
21 3.00667 14.7396
22 3.00696 14.6314
23 3.00725 14.5231
24 3.00754 14.4148
25 3.00783 14.3064
26 3.00811 14.198
27 3.0084 14.0896
28 3.00868 13.9811
29 3.00896 13.8725
30 3.00923 13.764
31 3.00951 13.6553
32 3.00978 13.5467
33 3.01005 13.4379
34 3.01032 13.3292
35 3.01058 13.2204
36 3.01084 13.1116
37 3.01111 13.0027
38 3.01136 12.8938
39 3.01162 12.7848
40 3.01188 12.6758
41 3.01213 12.5668
42 3.01238 12.4577
43 3.01263 12.3486
44 3.01287 12.2395
45 3.01312 12.1303
46 3.01336 12.0211
47 3.0136 11.9118
48 3.01383 11.8025
49 3.01407 11.6932
50 3.0143 11.5839
51 3.01453 11.4745
52 3.01476 11.3651
53 3.01499 11.2556
54 3.01521 11.1462
55 3.01543 11.0366
56 3.01565 10.9271
57 3.01587 10.8175
58 3.01608 10.7079
59 3.0163 10.5983
60 3.01651 10.4887
61 3.01672 10.379
62 3.01692 10.2693
63 3.01713 10.1595
64 3.01733 10.0498
65 3.01753 9.94
66 3.01773 9.8302
67 3.01792 9.72036
68 3.01812 9.6105
69 3.01831 9.50062
70 3.0185 9.39072
71 3.01868 9.28079
72 3.01887 9.17084
73 3.01905 9.06087
74 3.01923 8.95088
75 3.01941 8.84087
76 3.01958 8.73084
77 3.01976 8.62079
78 3.01993 8.51072
79 3.0201 8.40063
80 3.02027 8.29052
81 3.02043 8.1804
82 3.02059 8.07026
83 3.02075 7.9601
84 3.02091 7.84993
85 3.02107 7.73974
86 3.02122 7.62953
87 3.02137 7.51931
88 3.02152 7.40908
89 3.02167 7.29883
90 3.02181 7.18857
91 3.02196 7.0783
92 3.0221 6.96801
93 3.02223 6.85772
94 3.02237 6.74741
95 3.0225 6.63709
96 3.02264 6.52676
97 3.02277 6.41642
98 3.02289 6.30607
99 3.02302 6.19571
100 3.02314 6.08534
101 3.02326 5.97497
102 3.02338 5.86458
103 3.0235 5.75419
104 3.02361 5.6438
105 3.02372 5.53339
106 3.02383 5.42299
107 3.02394 5.31257
108 3.02404 5.20215
109 3.02415 5.09173
110 3.02425 4.9813
111 3.02435 4.87087
112 3.02444 4.76044
113 3.02454 4.65
114 3.02463 4.53956
115 3.02472 4.42912
116 3.02481 4.31868
117 3.02489 4.20824
118 3.02497 4.0978
119 3.02505 3.98736
120 3.02513 3.87692
121 3.02521 3.76648
122 3.02528 3.65604
123 3.02536 3.5456
124 3.02543 3.43517
125 3.02549 3.32474
126 3.02556 3.21431
127 3.02562 3.10389
128 3.02568 2.99347
129 3.02574 2.88306
130 3.0258 2.77265
131 3.02585 2.66225
132 3.0259 2.55185
133 3.02595 2.44146
134 3.026 2.33108
135 3.02605 2.2207
136 3.02609 2.11033
