n	v_eff	rho
268 4680.23 4.66942
269 4683.7 4.67333
270 4687.13 4.67723
271 4690.53 4.68112
272 4693.91 4.68501
273 4697.25 4.68888
274 4700.56 4.69275
275 4703.84 4.69661
276 4707.09 4.70046
277 4710.32 4.7043
278 4713.51 4.70814
279 4716.68 4.71196
280 4719.81 4.71578
281 4722.92 4.71959
282 4726 4.72339
283 4729.05 4.72718
284 4732.08 4.73097
285 4735.08 4.73475
286 4738.05 4.73852
287 4740.99 4.74228
288 4743.91 4.74603
289 4746.8 4.74978
290 4749.67 4.75352
291 4752.51 4.75725
292 4755.33 4.76097
293 4758.12 4.76469
294 4760.88 4.7684
295 4763.62 4.7721
296 4766.33 4.77579
297 4769.03 4.77948
298 4771.69 4.78316
299 4774.33 4.78683
300 4776.95 4.7905
301 4779.55 4.79416
302 4782.12 4.79781
303 4784.67 4.80145
304 4787.19 4.80509
305 4789.7 4.80872
306 4792.18 4.81234
307 4794.64 4.81596
308 4797.07 4.81957
309 4799.49 4.82318
310 4801.88 4.82677
311 4804.25 4.83036
312 4806.6 4.83395
313 4808.93 4.83753
314 4811.23 4.8411
315 4813.52 4.84466
316 4815.78 4.84822
317 4818.03 4.85177
318 4820.25 4.85532
319 4822.46 4.85886
320 4824.64 4.86239
321 4826.81 4.86592
322 4828.95 4.86944
323 4831.08 4.87296
324 4833.18 4.87647
325 4835.27 4.87997
326 4837.34 4.88347
327 4839.38 4.88696
328 4841.41 4.89044
329 4843.43 4.89393
330 4845.42 4.8974
331 4847.39 4.90087
332 4849.35 4.90433
333 4851.29 4.90779
334 4853.21 4.91124
335 4855.11 4.91469
336 4857 4.91813
337 4858.87 4.92157
338 4860.72 4.925
339 4862.55 4.92842
340 4864.37 4.93184
341 4866.17 4.93526
342 4867.95 4.93867
343 4869.72 4.94207
344 4871.47 4.94547
345 4873.2 4.94886
346 4874.92 4.95225
347 4876.62 4.95564
348 4878.31 4.95901
349 4879.98 4.96239
350 4881.63 4.96576
351 4883.27 4.96912
352 4884.89 4.97248
353 4886.5 4.97584
