n	v_eff	rho
0 0 3
1 450 3.00098
2 453.03 3.00194
3 455.971 3.00286
4 458.822 3.00375
5 461.583 3.00461
6 464.252 3.00544
7 466.83 3.00624
8 469.315 3.00701
9 471.706 3.00775
10 474.004 3.00845
11 476.208 3.00913
12 478.316 3.00977
13 480.329 3.01038
14 482.247 3.01096
15 484.068 3.01151
16 485.792 3.01203
17 487.419 3.01251
18 488.948 3.01297
19 490.38 3.01339
20 491.713 3.01378
21 492.948 3.01414
22 494.084 3.01447
23 495.121 3.01477
24 496.059 3.01503
25 496.897 3.01527
26 497.635 3.01547
27 498.274 3.01564
28 498.812 3.01578
29 499.25 3.01588
30 499.588 3.01596
31 499.826 3.016
32 499.963 3.01601
33 500 3.01599
34 499.936 3.01594
35 499.772 3.01586
36 499.508 3.01574
37 499.143 3.0156
38 498.678 3.01542
39 498.113 3.01521
40 497.448 3.01497
41 496.683 3.01469
42 495.819 3.01439
43 494.855 3.01405
44 493.791 3.01368
45 492.629 3.01328
46 491.368 3.01285
47 490.008 3.01239
48 488.55 3.01189
49 486.995 3.01137
50 485.342 3.01081
51 483.592 3.01022
52 481.745 3.0096
53 479.802 3.00895
54 477.764 3.00827
55 475.63 3.00755
56 473.401 3.00681
57 471.078 3.00603
58 468.662 3.00523
59 466.152 3.00439
60 463.55 3.00352
61 460.856 3.00262
62 458.072 3.00169
63 455.196 3.00073
64 452.231 2.99973
65 449.178 2.99871
66 446.036 2.99765
67 442.807 2.99657
68 439.491 2.99545
69 436.09 2.99431
70 432.604 2.99313
71 429.035 2.99193
72 425.382 2.99069
73 421.649 2.98942
74 417.834 2.98813
75 413.94 2.9868
76 409.968 2.98544
77 405.918 2.98406
78 401.792 2.98264
79 397.592 2.98119
80 393.318 2.97972
81 388.971 2.97821
82 384.554 2.97668
83 380.067 2.97511
84 375.512 2.97352
85 370.89 2.9719
86 366.203 2.97025
87 361.452 2.96857
88 356.64 2.96686
89 351.766 2.96513
90 346.835 2.96336
91 341.846 2.96157
92 336.801 2.95975
93 331.704 2.9579
94 326.554 2.95603
95 321.355 2.95412
96 316.108 2.95219
97 310.816 2.95023
98 305.479 2.94825
99 300.101 2.94623
100 294.683 2.94419
101 289.228 2.94213
102 283.738 2.94003
103 278.215 2.93791
104 272.662 2.93577
105 267.081 2.9336
106 261.473 2.9314
107 255.843 2.92918
108 250.193 2.92693
109 244.524 2.92466
110 238.84 2.92236
111 233.143 2.92004
112 227.437 2.91769
113 221.724 2.91532
114 216.006 2.91292
115 210.288 2.9105
116 204.571 2.90806
117 198.859 2.9056
118 193.155 2.90311
119 187.463 2.9006
120 181.784 2.89806
121 176.124 2.89551
122 170.484 2.89293
