n	rho	drho
0 3 30
1 3.0006 29.8929
2 3.0012 29.7857
3 3.00179 29.6784
4 3.00238 29.571
5 3.00297 29.4635
6 3.00356 29.3559
7 3.00415 29.2481
8 3.00473 29.1403
9 3.00531 29.0324
10 3.00589 28.9244
11 3.00647 28.8163
12 3.00705 28.708
13 3.00762 28.5997
14 3.00819 28.4913
15 3.00876 28.3828
16 3.00932 28.2742
17 3.00989 28.1655
18 3.01045 28.0567
19 3.01101 27.9478
20 3.01157 27.8389
21 3.01212 27.7298
22 3.01268 27.6206
23 3.01323 27.5114
24 3.01378 27.4021
25 3.01433 27.2926
26 3.01487 27.1831
27 3.01541 27.0736
28 3.01595 26.9639
29 3.01649 26.8541
30 3.01703 26.7443
31 3.01756 26.6343
32 3.01809 26.5243
33 3.01862 26.4142
34 3.01915 26.3041
35 3.01967 26.1938
36 3.0202 26.0835
37 3.02072 25.9731
38 3.02124 25.8626
39 3.02175 25.752
40 3.02227 25.6414
41 3.02278 25.5307
42 3.02329 25.4199
43 3.02379 25.309
44 3.0243 25.1981
45 3.0248 25.087
46 3.0253 24.976
47 3.0258 24.8648
48 3.0263 24.7536
49 3.02679 24.6423
50 3.02728 24.5309
51 3.02777 24.4195
52 3.02826 24.308
53 3.02875 24.1964
54 3.02923 24.0848
55 3.02971 23.973
56 3.03019 23.8613
57 3.03066 23.7494
58 3.03114 23.6375
59 3.03161 23.5256
60 3.03208 23.4135
61 3.03255 23.3014
62 3.03301 23.1893
63 3.03347 23.0771
64 3.03393 22.9648
65 3.03439 22.8525
66 3.03485 22.7401
67 3.0353 22.6276
68 3.03575 22.5151
69 3.0362 22.4025
70 3.03665 22.2899
71 3.03709 22.1772
72 3.03754 22.0645
73 3.03798 21.9517
74 3.03841 21.8388
75 3.03885 21.7259
76 3.03928 21.613
77 3.03971 21.5
78 3.04014 21.3869
79 3.04057 21.2738
80 3.04099 21.1606
81 3.04142 21.0474
82 3.04184 20.9341
83 3.04225 20.8208
84 3.04267 20.7074
85 3.04308 20.594
86 3.04349 20.4806
87 3.0439 20.367
88 3.04431 20.2535
89 3.04471 20.1399
90 3.04511 20.0262
91 3.04551 19.9125
92 3.04591 19.7988
93 3.0463 19.685
94 3.0467 19.5712
95 3.04709 19.4573
96 3.04747 19.3434
97 3.04786 19.2294
98 3.04824 19.1154
99 3.04863 19.0014
100 3.049 18.8873
101 3.04938 18.7731
102 3.04975 18.659
103 3.05013 18.5448
104 3.0505 18.4305
105 3.05086 18.3162
106 3.05123 18.2019
107 3.05159 18.0876
108 3.05195 17.9732
109 3.05231 17.8587
110 3.05267 17.7443
111 3.05302 17.6298
112 3.05337 17.5152
113 3.05372 17.4007
114 3.05407 17.286
115 3.05441 17.1714
116 3.05476 17.0567
117 3.0551 16.942
118 3.05543 16.8273
119 3.05577 16.7125
120 3.0561 16.5977
121 3.05643 16.4829
122 3.05676 16.368
123 3.05709 16.2531
124 3.05741 16.1382
125 3.05773 16.0232
126 3.05805 15.9082
127 3.05837 15.7932
128 3.05868 15.6782
129 3.059 15.5631
130 3.05931 15.448
131 3.05961 15.3329
132 3.05992 15.2177
133 3.06022 15.1026
134 3.06052 14.9874
135 3.06082 14.8721
136 3.06112 14.7569
137 3.06141 14.6416
138 3.0617 14.5263
139 3.06199 14.411
140 3.06228 14.2956
141 3.06257 14.1803
142 3.06285 14.0649
143 3.06313 13.9495
144 3.06341 13.834
145 3.06368 13.7186
146 3.06395 13.6031
147 3.06423 13.4876
148 3.06449 13.3721
149 3.06476 13.2566
150 3.06502 13.141
151 3.06529 13.0255
152 3.06555 12.9099
153 3.0658 12.7943
154 3.06606 12.6786
155 3.06631 12.563
156 3.06656 12.4473
157 3.06681 12.3317
158 3.06705 12.216
159 3.0673 12.1003
160 3.06754 11.9846
161 3.06778 11.8688
162 3.06801 11.7531
163 3.06825 11.6373
164 3.06848 11.5215
165 3.06871 11.4057
166 3.06893 11.2899
167 3.06916 11.1741
168 3.06938 11.0583
169 3.0696 10.9425
170 3.06982 10.8266
171 3.07003 10.7108
172 3.07025 10.5949
173 3.07046 10.479
174 3.07067 10.3631
175 3.07087 10.2472
176 3.07108 10.1313
177 3.07128 10.0154
178 3.07148 9.89946
179 3.07167 9.78352
180 3.07187 9.66758
181 3.07206 9.55163
182 3.07225 9.43568
183 3.07244 9.31971
184 3.07262 9.20374
185 3.07281 9.08777
186 3.07299 8.97179
187 3.07316 8.85581
188 3.07334 8.73982
189 3.07351 8.62382
190 3.07368 8.50783
191 3.07385 8.39183
192 3.07402 8.27582
193 3.07418 8.15982
194 3.07435 8.04381
195 3.07451 7.92779
196 3.07466 7.81178
197 3.07482 7.69577
198 3.07497 7.57975
199 3.07512 7.46373
200 3.07527 7.34772
201 3.07542 7.2317
202 3.07556 7.11568
203 3.0757 6.99966
204 3.07584 6.88365
205 3.07598 6.76764
206 3.07611 6.65162
207 3.07624 6.53561
208 3.07637 6.41961
209 3.0765 6.3036
210 3.07662 6.1876
211 3.07675 6.0716
212 3.07687 5.95561
213 3.07698 5.83962
214 3.0771 5.72363
215 3.07721 5.60765
216 3.07732 5.49167
217 3.07743 5.3757
218 3.07754 5.25974
219 3.07764 5.14378
220 3.07775 5.02783
221 3.07784 4.91189
222 3.07794 4.79595
223 3.07804 4.68002
224 3.07813 4.5641
225 3.07822 4.44819
226 3.07831 4.33228
227 3.07839 4.21639
228 3.07848 4.1005
229 3.07856 3.98463
230 3.07864 3.86876
231 3.07871 3.75291
232 3.07879 3.63706
233 3.07886 3.52123
234 3.07893 3.40541
235 3.07899 3.2896
236 3.07906 3.1738
237 3.07912 3.05802
238 3.07918 2.94224
239 3.07924 2.82649
240 3.07929 2.71074
241 3.07935 2.59501
242 3.0794 2.4793
243 3.07945 2.36359
244 3.07949 2.24791
245 3.07954 2.13224
246 3.07958 2.01658
247 3.07962 1.90094
248 3.07965 1.78532
249 3.07969 1.66972
250 3.07972 1.55413
251 3.07975 1.43856
252 3.07978 1.32301
253 3.0798 1.20747
254 3.07983 1.09196
255 3.07985 0.976462
256 3.07986 0.860986
257 3.07988 0.745529
258 3.07989 0.630093
259 3.07991 0.514677
260 3.07991 0.399282
261 3.07992 0.283908
262 3.07993 0.168556
263 3.07993 0.0532257
264 3.07993 -0.0620819
265 3.07993 -0.177367
