n	rho	drho
0 3 56
1 3.00112 55.8929
2 3.00224 55.7855
3 3.00335 55.678
4 3.00446 55.5703
5 3.00557 55.4623
6 3.00668 55.3542
7 3.00779 55.2459
8 3.00889 55.1374
9 3.00999 55.0288
10 3.01109 54.9199
11 3.01219 54.8109
12 3.01328 54.7017
13 3.01438 54.5923
14 3.01547 54.4827
15 3.01656 54.3729
16 3.01764 54.263
17 3.01873 54.1529
18 3.01981 54.0426
19 3.02089 53.9322
20 3.02197 53.8216
21 3.02304 53.7108
22 3.02412 53.5999
23 3.02519 53.4888
24 3.02625 53.3776
25 3.02732 53.2661
26 3.02839 53.1546
27 3.02945 53.0428
28 3.03051 52.9309
29 3.03156 52.8189
30 3.03262 52.7067
31 3.03367 52.5944
32 3.03472 52.4819
33 3.03577 52.3693
34 3.03682 52.2565
35 3.03786 52.1435
36 3.0389 52.0305
37 3.03994 51.9173
38 3.04098 51.8039
39 3.04202 51.6904
40 3.04305 51.5768
41 3.04408 51.463
42 3.04511 51.3491
43 3.04613 51.2351
44 3.04716 51.1209
45 3.04818 51.0066
46 3.0492 50.8922
47 3.05021 50.7776
48 3.05123 50.6629
49 3.05224 50.5481
50 3.05325 50.4332
51 3.05426 50.3181
52 3.05526 50.203
53 3.05627 50.0876
54 3.05727 49.9722
55 3.05826 49.8567
56 3.05926 49.741
57 3.06025 49.6253
58 3.06125 49.5094
59 3.06223 49.3934
60 3.06322 49.2772
61 3.06421 49.161
62 3.06519 49.0447
63 3.06617 48.9282
64 3.06714 48.8117
65 3.06812 48.695
66 3.06909 48.5782
67 3.07006 48.4614
68 3.07103 48.3444
69 3.072 48.2273
70 3.07296 48.1101
71 3.07392 47.9928
72 3.07488 47.8754
73 3.07584 47.758
74 3.07679 47.6404
75 3.07774 47.5227
76 3.07869 47.4049
77 3.07964 47.2871
78 3.08058 47.1691
79 3.08152 47.051
80 3.08246 46.9329
81 3.0834 46.8147
82 3.08434 46.6963
83 3.08527 46.5779
84 3.0862 46.4594
85 3.08713 46.3408
86 3.08805 46.2221
87 3.08898 46.1034
88 3.0899 45.9845
89 3.09082 45.8656
90 3.09173 45.7466
91 3.09265 45.6275
92 3.09356 45.5083
93 3.09447 45.3891
94 3.09537 45.2697
95 3.09628 45.1503
96 3.09718 45.0308
97 3.09808 44.9113
98 3.09898 44.7916
99 3.09987 44.6719
